"id","name","name@es","name@ca","country_id","tax_payable_account_id","tax_receivable_account_id"
"tax_group_iva_0","VAT 0%","IVA 0%","IVA 0%","base.es","account_common_4750","account_common_4700"
"tax_group_recargo_0","VAT equivalence surcharge 0%","Recargo de Equivalencia 0%","Recàrrec d'equivalència 0%","base.es","account_common_4750","account_common_4700"
"tax_group_recargo_0-26","VAT equivalence surcharge 0.26%","Recargo de Equivalencia 0,26%","Recàrrec d'equivalència 0,26%","base.es","account_common_4750","account_common_4700"
"tax_group_recargo_0-5","VAT equivalence surcharge 0.5%","Recargo de Equivalencia 0,5%","Recàrrec d'equivalència 0,5%","base.es","account_common_4750","account_common_4700"
"tax_group_recargo_0-62","VAT equivalence surcharge 0.62%","Recargo de Equivalencia 0,62%","Recàrrec d'equivalència 0,62%","base.es","account_common_4750","account_common_4700"
"tax_group_recargo_1","VAT equivalence surcharge 1%","Recargo de Equivalencia 1%","Recàrrec d'equivalència 1%","base.es","account_common_4750","account_common_4700"
"tax_group_recargo_1-4","VAT equivalence surcharge 1.4%","Recargo de Equivalencia 1,4%","Recàrrec d'equivalència 1,4%","base.es","account_common_4750","account_common_4700"
"tax_group_iva_2","VAT 2%","IVA 2%","IVA 2%","base.es","account_common_4750","account_common_4700"
"tax_group_iva_4","VAT 4%","IVA 4%","IVA 4%","base.es","account_common_4750","account_common_4700"
"tax_group_iva_5","VAT 5%","IVA 5%","IVA 5%","base.es","account_common_4750","account_common_4700"
"tax_group_iva_7-5","VAT 7.5%","IVA 7,5%","IVA 7,5%","base.es","account_common_4750","account_common_4700"
"tax_group_recargo_5-2","VAT equivalence surcharge 5.2%","Recargo de Equivalencia 5,2%","Recàrrec d'equivalència 5,2%","base.es","account_common_4750","account_common_4700"
"tax_group_iva_10","VAT 10%","IVA 10%","IVA 10%","base.es","account_common_4750","account_common_4700"
"tax_group_iva_12","VAT 12%","IVA 12%","IVA 12%","base.es","account_common_4750","account_common_4700"
"tax_group_iva_21","VAT 21%","IVA 21%","IVA 21%","base.es","account_common_4750","account_common_4700"
"tax_group_iva_10-5","VAT 10,5% REAGYP","IVA 10,5% REAGYP","IVA 10,5% REAGYP","base.es","account_common_4750","account_common_4700"
"tax_group_iva_nd","VAT exempt","IVA no deducible","IVA no deduible","base.es","account_common_4750","account_common_4700"
"tax_group_no_base","Subtract Base Amount","Resta Base","Resta Base","base.es","account_common_4750","account_common_4700"
"tax_group_dua_exempt","Exempt DUA","DUA exento","DUA exempt","base.es","account_common_4750","account_common_4700"
