"id","code_prefix_start","name","name@es","name@ca"
"account_group_002","002","Presupuesto de gastos: modificaciones de crédito","Presupuesto de gastos: modificaciones de crédito","Presupuesto de gastos: modificaciones de crédito"
"account_group_003","003","Presupuesto de gastos: créditos definitivos","Presupuesto de gastos: créditos definitivos","Presupuesto de gastos: créditos definitivos"
"account_group_100","100","Patrimonio","Patrimonio","Patrimonio"
"account_group_110","110","Reservas","Reservas","Reservas"
"account_group_120","120","Resultados","Resultados","Resultados"
"account_group_150","150","Empréstitos y otras emisiones análogas a largo plazo","Empréstitos y otras emisiones análogas a largo plazo","Empréstitos y otras emisiones análogas a largo plazo"
"account_group_253","253","Activos por derivados financieros a largo plazo","Activos por derivados financieros a largo plazo","Activos por derivados financieros a largo plazo"
"account_group_400","400","Acreedores por obligaciones reconocidas. Presupuesto de gastos corriente","Acreedores por obligaciones reconocidas. Presupuesto de gastos corriente","Acreedores por obligaciones reconocidas. Presupuesto de gastos corriente"
"account_group_401","401","Acreedores por obligaciones reconocidas. Presupuestos de gastos cerrados","Acreedores por obligaciones reconocidas. Presupuestos de gastos cerrados","Acreedores por obligaciones reconocidas. Presupuestos de gastos cerrados"
"account_group_419","419","Otros acreedores no presupuestarios","Otros acreedores no presupuestarios","Otros acreedores no presupuestarios"
"account_group_430","430","Deudores por derechos reconocidos. Presupuesto de ingresos corriente","Deudores por derechos reconocidos. Presupuesto de ingresos corriente","Deudores por derechos reconocidos. Presupuesto de ingresos corriente"
"account_group_431","431","Deudores por derechos reconocidos. Presupuestos de ingresos cerrados","Deudores por derechos reconocidos. Presupuestos de ingresos cerrados","Deudores por derechos reconocidos. Presupuestos de ingresos cerrados"
"account_group_433","433","Derechos anulados de presupuesto corriente","Derechos anulados de presupuesto corriente","Derechos anulados de presupuesto corriente"
"account_group_434","434","Derechos anulados de presupuestos cerrados","Derechos anulados de presupuestos cerrados","Derechos anulados de presupuestos cerrados"
"account_group_438","438","Derechos cancelados de presupuesto corriente","Derechos cancelados de presupuesto corriente","Derechos cancelados de presupuesto corriente"
"account_group_439","439","Derechos cancelados de presupuestos cerrados","Derechos cancelados de presupuestos cerrados","Derechos cancelados de presupuestos cerrados"
"account_group_443","443","Deudores a corto plazo por aplazamiento y fraccionamiento","Deudores a corto plazo por aplazamiento y fraccionamiento","Deudores a corto plazo por aplazamiento y fraccionamiento"
"account_group_451","451","Derechos anulados por recursos de otros entes públicos","Derechos anulados por recursos de otros entes públicos","Derechos anulados por recursos de otros entes públicos"
"account_group_458","458","Derechos cancelados por recursos de otros entes públicos","Derechos cancelados por recursos de otros entes públicos","Derechos cancelados por recursos de otros entes públicos"
"account_group_470","470","Hacienda Pública, deudor por diversos conceptos","Hacienda Pública, deudor por diversos conceptos","Hacienda Pública, deudor por diversos conceptos"
"account_group_475","475","Hacienda Pública, acreedor por diversos conceptos","Hacienda Pública, acreedor por diversos conceptos","Hacienda Pública, acreedor por diversos conceptos"
"account_group_490","490","Deterioro de valor de créditos","Deterioro de valor de créditos","Deterioro de valor de créditos"
"account_group_516","516","Deudas a corto plazo con entidades del grupo, multigrupo y asociadas representadas en valores negociables","Deudas a corto plazo con entidades del grupo, multigrupo y asociadas representadas en valores negociables","Deudas a corto plazo con entidades del grupo, multigrupo y asociadas representadas en valores negociables"
"account_group_526","526","Pasivos por derivados financieros a corto plazo","Pasivos por derivados financieros a corto plazo","Pasivos por derivados financieros a corto plazo"
"account_group_530","530","Participaciones a corto plazo en entidades del grupo, multigrupo y asociadas","Participaciones a corto plazo en entidades del grupo, multigrupo y asociadas","Participaciones a corto plazo en entidades del grupo, multigrupo y asociadas"
"account_group_531","531","Valores representativos de deuda a corto plazo de entidades del grupo, multigrupo y asociadas","Valores representativos de deuda a corto plazo de entidades del grupo, multigrupo y asociadas","Valores representativos de deuda a corto plazo de entidades del grupo, multigrupo y asociadas"
"account_group_543","543","Activos por derivados financieros a corto plazo","Activos por derivados financieros a corto plazo","Activos por derivados financieros a corto plazo"
"account_group_558","558","Provisiones de fondos para pagos a justificar y anticipos de caja fija","Provisiones de fondos para pagos a justificar y anticipos de caja fija","Provisiones de fondos para pagos a justificar y anticipos de caja fija"
"account_group_575","575","Bancos e instituciones de crédito. Cuentas restringidas de pagos","Bancos e instituciones de crédito. Cuentas restringidas de pagos","Bancos e instituciones de crédito. Cuentas restringidas de pagos"
"account_group_576","576","Bancos e instituciones de crédito. Otras cuentas restringidas de pagos","Bancos e instituciones de crédito. Otras cuentas restringidas de pagos","Bancos e instituciones de crédito. Otras cuentas restringidas de pagos"
"account_group_594","594","Deterioro de valor de valores representativos de deuda a corto plazo de entidades del grupo, multigrupo y asociadas","Deterioro de valor de valores representativos de deuda a corto plazo de entidades del grupo, multigrupo y asociadas","Deterioro de valor de valores representativos de deuda a corto plazo de entidades del grupo, multigrupo y asociadas"
"account_group_606","606","Descuentos sobre compras por pronto pago","Descuentos sobre compras por pronto pago","Descuentos sobre compras por pronto pago"
"account_group_608","608","Devoluciones de compras y operaciones similares","Devoluciones de compras y operaciones similares","Devoluciones de compras y operaciones similares"
"account_group_609","609","«Rappels» por compras","«Rappels» por compras","«Rappels» por compras"
"account_group_644","644","Otros gastos sociales","Otros gastos sociales","Otros gastos sociales"
"account_group_651","651","Subvenciones","Subvenciones","Subvenciones"
"account_group_663","663","Intereses de deudas con entidades del grupo, multigrupo y asociadas","Intereses de deudas con entidades del grupo, multigrupo y asociadas","Intereses de deudas con entidades del grupo, multigrupo y asociadas"
"account_group_664","664","Pérdidas en instrumentos financieros a valor razonable","Pérdidas en instrumentos financieros a valor razonable","Pérdidas en instrumentos financieros a valor razonable"
"account_group_6645","6645","Pérdidas en derivados financieros designados instrumentos de cobertura","Pérdidas en derivados financieros designados instrumentos de cobertura","Pérdidas en derivados financieros designados instrumentos de cobertura"
"account_group_665","665","Pérdidas en instrumentos financieros al coste amortizado o al coste","Pérdidas en instrumentos financieros al coste amortizado o al coste","Pérdidas en instrumentos financieros al coste amortizado o al coste"
"account_group_666","666","Pérdidas en instrumentos financieros con entidades del grupo, multigrupo y asociadas","Pérdidas en instrumentos financieros con entidades del grupo, multigrupo y asociadas","Pérdidas en instrumentos financieros con entidades del grupo, multigrupo y asociadas"
"account_group_667","667","Pérdidas de créditos incobrables","Pérdidas de créditos incobrables","Pérdidas de créditos incobrables"
"account_group_707","707","Ingresos por activos construidos o adquiridos para otras entidades","Ingresos por activos construidos o adquiridos para otras entidades","Ingresos por activos construidos o adquiridos para otras entidades"
"account_group_731","731","Impuestos sobre el valor añadido","Impuestos sobre el valor añadido","Impuestos sobre el valor añadido"
"account_group_750","750","Transferencias","Transferencias","Transferencias"
"account_group_751","751","Subvenciones para gastos no financieros del ejercicio","Subvenciones para gastos no financieros del ejercicio","Subvenciones para gastos no financieros del ejercicio"
"account_group_752","752","Subvenciones para la cancelación de deudas genéricas","Subvenciones para la cancelación de deudas genéricas","Subvenciones para la cancelación de deudas genéricas"
"account_group_753","753","Subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta imputadas al resultado del ejercicio","Subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta imputadas al resultado del ejercicio","Subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta imputadas al resultado del ejercicio"
"account_group_7530","7530","Subvenciones para la financiación del inmovilizado no financiero imputadas al resultado del ejercicio por amortización","Subvenciones para la financiación del inmovilizado no financiero imputadas al resultado del ejercicio por amortización","Subvenciones para la financiación del inmovilizado no financiero imputadas al resultado del ejercicio por amortización"
"account_group_7531","7531","Subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta imputadas al resultado del ejercicio por enajenación o baja","Subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta imputadas al resultado del ejercicio por enajenación o baja","Subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta imputadas al resultado del ejercicio por enajenación o baja"
"account_group_754","754","Subvenciones para activos corrientes y gastos imputadas al ejercicio","Subvenciones para activos corrientes y gastos imputadas al ejercicio","Subvenciones para activos corrientes y gastos imputadas al ejercicio"
"account_group_755","755","Subvenciones para gastos financieros del ejercicio","Subvenciones para gastos financieros del ejercicio","Subvenciones para gastos financieros del ejercicio"
"account_group_756","756","Subvenciones para la financiación de operaciones financieras imputadas al ejercicio","Subvenciones para la financiación de operaciones financieras imputadas al ejercicio","Subvenciones para la financiación de operaciones financieras imputadas al ejercicio"
"account_group_763","763","Ingresos de inversiones en entidades del grupo, multigrupo y asociadas","Ingresos de inversiones en entidades del grupo, multigrupo y asociadas","Ingresos de inversiones en entidades del grupo, multigrupo y asociadas"
"account_group_764","764","Beneficios en instrumentos financieros a valor razonable","Beneficios en instrumentos financieros a valor razonable","Beneficios en instrumentos financieros a valor razonable"
"account_group_7645","7645","Beneficios en derivados financieros designados instrumentos de cobertura","Beneficios en derivados financieros designados instrumentos de cobertura","Beneficios en derivados financieros designados instrumentos de cobertura"
"account_group_765","765","Beneficios en instrumentos financieros al coste amortizado o al coste","Beneficios en instrumentos financieros al coste amortizado o al coste","Beneficios en instrumentos financieros al coste amortizado o al coste"
"account_group_766","766","Beneficios en instrumentos financieros con entidades del grupo, multigrupo y asociadas","Beneficios en instrumentos financieros con entidades del grupo, multigrupo y asociadas","Beneficios en instrumentos financieros con entidades del grupo, multigrupo y asociadas"
"account_group_793","793","Reversión del deterioro de existencias y otros activos en estado de venta","Reversión del deterioro de existencias y otros activos en estado de venta","Reversión del deterioro de existencias y otros activos en estado de venta"
"account_group_795","795","Exceso de provisiones","Exceso de provisiones","Exceso de provisiones"
"account_group_811","811","Imputación de beneficios por coberturas","Imputación de beneficios por coberturas","Imputación de beneficios por coberturas"
"account_group_840","840","Imputación de subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta","Imputación de subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta","Imputación de subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta"
"account_group_841","841","Imputación de subvenciones para la financiación de activos corrientes y gastos","Imputación de subvenciones para la financiación de activos corrientes y gastos","Imputación de subvenciones para la financiación de activos corrientes y gastos"
"account_group_842","842","Imputación de subvenciones para la financiación de operaciones financieras","Imputación de subvenciones para la financiación de operaciones financieras","Imputación de subvenciones para la financiación de operaciones financieras"
"account_group_911","911","Imputación de pérdidas por coberturas","Imputación de pérdidas por coberturas","Imputación de pérdidas por coberturas"
"account_group_940","940","Ingresos de subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta","Ingresos de subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta","Ingresos de subvenciones para la financiación del inmovilizado no financiero y de activos en estado de venta"
"account_group_941","941","Ingresos de subvenciones para la financiación de activos corrientes y gastos","Ingresos de subvenciones para la financiación de activos corrientes y gastos","Ingresos de subvenciones para la financiación de activos corrientes y gastos"
"account_group_942","942","Ingresos de subvenciones para la financiación de operaciones financieras","Ingresos de subvenciones para la financiación de operaciones financieras","Ingresos de subvenciones para la financiación de operaciones financieras"








