"id","name","name@es","code","account_type","reconcile"
"account_assoc_canary_100","Foundation Endowment","Dotación fundacional","100","liability_non_current","False"
"account_assoc_canary_1030","Founders, part not disbursed in foundations","Fundadores, parte no desembolsada en fundaciones","1030","liability_non_current","False"
"account_assoc_canary_1034","Associates, undisbursed part in associations","Asociados, parte no desembolsada en asociaciones","1034","liability_non_current","False"
"account_assoc_canary_1040","Founders, for pending non-monetary contributions, in foundations","Fundadores, por aportaciones no dinerarias pendientes, en fundaciones","1040","liability_non_current","False"
"account_assoc_canary_1044","Associates, for outstanding non-monetary contributions, in associations","Asociados, por aportaciones no dinerarias pendientes, en asociaciones","1044","liability_non_current","False"
"account_assoc_canary_120","Remainder","Remanente","120","liability_non_current","False"
"account_assoc_canary_121","Negative results from previous exercises","Resultados negativos de ejercicios anteriores","121","liability_non_current","False"
"account_assoc_canary_129","Result of the excersice","Resultado del ejercicio","129","equity_unaffected","False"
"account_assoc_canary_1300","State subsidies","Subvenciones del Estado","1300","liability_non_current","False"
"account_assoc_canary_1301","Subsidies from other Public Administrations","Subvenciones de otras Administraciones Públicas","1301","equity","False"
"account_assoc_canary_1320","Other grants","Otras subvenciones","1320","liability_non_current","False"
"account_assoc_canary_1321","Other donations and legacies","Otras donaciones y legados","1321","equity","False"
"account_assoc_canary_207","Rights over assets transferred in use","Derechos sobre activos cedidos en uso","207","asset_fixed","False"
"account_assoc_canary_2400","Monuments","Monumentos","2400","asset_fixed","False"
"account_assoc_canary_2401","Historic gardens","Jardines históricos","2401","asset_fixed","False"
"account_assoc_canary_2402","Historical ensembles","Conjuntos históricos","2402","asset_fixed","False"
"account_assoc_canary_2403","Historical sites","Sitios históricos","2403","asset_fixed","False"
"account_assoc_canary_2404","archaeological zones","Zonas arqueológicas","2404","asset_fixed","False"
"account_assoc_canary_2490","Advances on Historical Heritage real estate","Anticipos sobre bienes inmuebles del Patrimonio Histórico","2490","asset_fixed","False"
"account_assoc_canary_2491","Advances on Historical Heritage archives","Anticipos sobre archivos del Patrimonio Histórico","2491","asset_fixed","False"
"account_assoc_canary_2492","Advances on Historical Heritage libraries","Anticipos sobre bibliotecas del Patrimonio Histórico","2492","asset_fixed","False"
"account_assoc_canary_2493","Advances on Historical Heritage museums","Anticipos sobre museos del Patrimonio Histórico","2493","asset_fixed","False"
"account_assoc_canary_2494","Advances on movable property of Historical Heritage","Anticipos sobre bienes muebles del Patrimonio Histórico","2494","asset_fixed","False"
"account_assoc_canary_2807","Accumulated amortization of rights on assets transferred in use","Amortización acumulada de derechos sobre activos cedidos en uso","2807","asset_fixed","False"
"account_assoc_canary_2830","Transfers of use of intangible assets","Cesiones de uso del inmovilizado intangible","2830","asset_fixed","False"
"account_assoc_canary_2831","Assignments of use of tangible assets","Cesiones de uso del inmovilizado material","2831","asset_fixed","False"
"account_assoc_canary_2907","Impairment of value on assets transferred in use","Deterioro del valor sobre activos cedidos en uso","2907","asset_fixed","False"
"account_assoc_canary_2935","Impairment of long-term interests in other related parties","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","2935","asset_fixed","False"
"account_assoc_canary_296","Impairment of long-term equity interests","Deterioro de  valor de participaciones en el patrimonio neto a largo plazo","296","asset_fixed","False"
"account_assoc_canary_2990","Deterioration in value of Historical Heritage assets","Deterioro de valor de bienes del Patrimonio Histórico","2990","asset_fixed","False"
"account_assoc_canary_2991","File value deterioration","Deterioro de valor de archivos","2991","asset_fixed","False"
"account_assoc_canary_2992","Impairment of value of libraries","Deterioro de valor de bibliotecas","2992","asset_fixed","False"
"account_assoc_canary_2993","Deterioration in value of Museums","Deterioro de valor de Museos","2993","asset_fixed","False"
"account_assoc_canary_2994","Impairment of value of personal property","Deterioro de valor de bienes muebles","2994","asset_fixed","False"
"account_assoc_canary_412","Beneficiaries, creditors","Beneficiarios, acreedores","412","liability_payable","True"
"account_assoc_canary_447","Users, debtors","Usuarios, deudores","447","asset_receivable","True"
"account_assoc_canary_4480","Sponsors","Patrocinadores","4480","asset_receivable","True"
"account_assoc_canary_4482","Affiliates","Afiliados","4482","asset_receivable","True"
"account_assoc_canary_4489","Other debtors","Otros deudores","4489","asset_receivable","True"
"account_assoc_canary_464","Deliveries for expenses to be justified","Entregas para gastos a justificar","464","asset_receivable","True"
"account_assoc_canary_4707","Public Treasury, debtor for collaboration in the delivery and distribution of subsidies (art. 12 Subsidies Law)","Hacienda Pública, deudora por colaboración en la entrega y distribución de subvenciones (art.12 Ley de Subvenciones)","4707","asset_receivable","True"
