"id","name","name@es","name@ca","code","account_type","reconcile","non_trade","description","description@es","description@ca","asset_model_ids"
"account_common_101","Assigned capital","Fondo social","Fons social","101","equity","False","","","","",""
"account_common_102","Capital","Capital","Capital","102","equity","False","","","","",""
"account_common_108","Own shares or equity holdings in special situations","Acciones o participaciones propias en situaciones especiales","Accions o participacions pròpies en situacions especials","108","equity","False","","","","",""
"account_common_109","Own shares or equity holdings for reduction of capital","Acciones o participaciones propias para reducción de capital","Accions o participacions pròpies per a reducció de capital","109","equity","False","","","","",""
"account_common_110","Share premium or additional paid-in capital","Prima de emisión o asunción","Prima d’emissió o assumpció","110","equity","False","","","","",""
"account_common_1140","Reserves for parent company shares or equity holdings","Reservas para acciones o participaciones de la sociedad dominante","Reserves per a accions o participacions de la societat dominant","1140","equity","False","","","","",""
"account_common_1141","Statutory reserves","Reservas estatutarias","Reserves estatutàries","1141","equity","False","","","","",""
"account_common_1142","Redeemed capital reserve","Reserva por capital amortizado","Reserva per capital amortitzat","1142","equity","False","","","","",""
"account_common_1144","Reserves for own shares accepted as collateral","Reservas por acciones propias aceptadas en garantía","Reserves per accions pròpies acceptades en garantia","1144","equity","False","","","","",""
"account_common_115","Reserves for actuarial gains and losses and other adjustments","Reservas por pérdidas y ganancias actuariales y otros ajustes","Reserves per pèrdues i guanys actuarials i altres ajustos","115","equity","False","","","","",""
"account_common_118","Contributions from equity holders or owners","Aportaciones de socios o propietarios","Aportacions de socis o propietaris","118","equity","False","","","","",""
"account_common_119","Differences on translation of capital to euros","Diferencias por ajuste del capital a euros","Diferències per ajust del capital a euros","119","equity","False","","","","",""
"account_common_131","Capital donations and bequests","Donaciones y legados de capital","Donacions i llegats de capital","131","equity","False","","","","",""
"account_common_1370","Deferred tax income on permanent differences","Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios","Ingressos fiscals per diferències permanents a distribuir en diversos exercicis","1370","equity","False","","","","",""
"account_common_1371","Deferred tax income for tax deductions and tax credits","Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios","Ingressos fiscals per deduccions i bonificacions a distribuir en diversos exercicis","1371","equity","False","","","","",""
"account_common_141","Provisions for taxes","Provisión para impuestos","Provisió per a impostos","141","liability_non_current","True","","","","",""
"account_common_142","Provisions for other liabilities","Provisión para otras responsabilidades","Provisió per a altres responsabilitats","142","liability_non_current","True","","","","",""
"account_common_143","Provision for dismantlement, removal or restoration of fixed assets","Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado","Provisió per desmantellament, retirament o rehabilitació de l’immobilitzat","143","liability_non_current","True","","","","",""
"account_common_145","Provision for environmental actions","Provisión para actuaciones medioambientales","Provisió per a actuacions mediambientals","145","liability_non_current","True","","","","",""
"account_common_1533","Uncalled share capital or equity holdings, group companies","Desembolsos no exigidos, empresas del grupo","Desemborsaments no exigits, empreses del grup","1533","liability_non_current","False","","","","",""
"account_common_1534","Uncalled share capital or equity holdings, associates","Desembolsos no exigidos, empresas asociadas","Desemborsaments no exigits, empreses associades","1534","liability_non_current","False","","","","",""
"account_common_1535","Uncalled share capital or equity holdings, other related parties","Desembolsos no exigidos, otras partes vinculadas","Desemborsaments no exigits, altres parts vinculades","1535","liability_non_current","False","","","","",""
"account_common_1536","Other uncalled share capital or equity holdings","Otros desembolsos no exigidos","Altres desemborsaments no exigits","1536","liability_non_current","False","","","","",""
"account_common_1543","Uncalled non-monetary contributions, group companies","Aportaciones no dinerarias pendientes, empresas del grupo","Aportacions no dineràries pendents, empreses del grup","1543","liability_non_current","False","","","","",""
"account_common_1544","Uncalled non-monetary contributions, associates","Aportaciones no dinerarias pendientes, empresas asociadas","Aportacions no dineràries pendents, empreses associades","1544","liability_non_current","False","","","","",""
"account_common_1545","Uncalled non-monetary contributions, other related parties","Aportaciones no dinerarias pendientes, otras partes vinculadas","Aportacions no dineràries pendents, altres parts vinculades","1545","liability_non_current","False","","","","",""
"account_common_1546","Other uncalled non-monetary contributions","Otras aportaciones no dinerarias pendientes","Altres aportacions no dineràries pendents","1546","liability_non_current","False","","","","",""
"account_common_1603","Non-current debt with financial institutions, group companies","Deudas con entidades de crédito vinculadas, empresas del grupo","Deutes a llarg termini amb entitats de crèdit, empreses del grup","1603","liability_non_current","False","","","","",""
