"id","name","name@es"
"tax_group_igic_0","IGIC 0%","IGIC 0%"
"tax_group_igic_3","IGIC 3%","IGIC 3%"
"tax_group_igic_7","IGIC 7%","IGIC 7%"
"tax_group_igic_95","IGIC 9.5%","IGIC 9,5%"
"tax_group_igic_15","IGIC 15%","IGIC 15%"
"tax_group_igic_20","IGIC 20%","IGIC 20%"
"tax_group_igic_ex","EXEMPT IGIC","IGIC EXENTO"
"tax_group_igic_re_0","IGIC Equivalence Surcharge 0%","IGIC Recargo de Equivalencia 0%"
"tax_group_igic_re_03","IGIC Equivalence Surcharge 0.3%","IGIC Recargo de Equivalencia 0,3%"
"tax_group_igic_re_07","IGIC Equivalence Surcharge 0.7%","IGIC Recargo de Equivalencia 0,7%"
"tax_group_igic_re_095","IGIC Equivalence Surcharge 0.95%","IGIC Recargo de Equivalencia 0,95%"
"tax_group_igic_re_15","IGIC Equivalence Surcharge 1.5%","IGIC Recargo de Equivalencia 1,5%"
"tax_group_igic_re_20","IGIC Equivalence Surcharge 2%","IGIC Recargo de Equivalencia 2%"
"tax_group_igic_cmino","IGIC Retail Trade","IGIC Comercio Minorista"
"tax_group_igic_reav","REAV","REAV"
