"id","code_prefix_start","name"
"account_group_1020","10020","Capital social cooperativo: socios colaboradores y asociados o adheridos"
"account_group_107","107","Fondo de participaciones y otros fondos subordinados con vencimiento en la liquidación"
"account_group_1145","1145","Fondo de Reembolso o Actualización"
"account_group_148","148","Fondo de Educación, Formación y Promoción a largo plazo"
"account_group_1502","1502","Capital social cooperativo a largo plazo considerado pasivo financiero: socios colaboradores y asociados o adheridos"
"account_group_1530","1530","Desembolso no exigidos por Capital social cooperativo considerado como pasivo financiero"
"account_group_307","307","Mercaderías adquiridas a socios"
"account_group_317","317","Materias primas adquiridas a socios"
"account_group_5298","5298","Fondo de Educacion, Formacion y Promocion a corto plazo"
"account_group_605","605","Compras Efectuadas a socios"
"account_group_617","617","Variación de existencias adquiridas a socios"
"account_group_647","647","Retribución a los socios trabajadores"
"account_group_657","657","Dotación al Fondo de Educación, Formación y Promoción"
"account_group_637","737","Trabajos realizados para el Fondo de Educación, Formación y Promoción"
"account_group_756","756","Ingresos por operaciones con socios"
"account_group_757","757","Ingresos imputables al Fondo de Educación, Formación y Promoción"
