"id","name","name@es","name@ca","code","account_type","reconcile"
"account_full_1110","Equity from issue of compound financial instruments","Patrimonio neto por emision de instrumentos financieros compuestos","Patrimoni net per emissió d’instruments financers compostos","1110","equity","False"
"account_full_1111","Other equity instruments","Resto de instrumentos de patrimonio neto","Resta d’instruments de patrimoni net","111100","equity","False"
"account_full_1143","Goodwill reserve","Reserva por fondo de comercio","Reserva per fons de comerç","1143","equity","False"
"account_full_133","Valuation adjustments to available-for-sale financial assets","Ajustes por valoración en activos financieros disponibles para la venta","Ajustos per valoració en actius financers a valor raonable amb canvis en el patrimoni net","133","equity","False"
"account_full_1340","Cash flow hedges","Cobertura de flujos de efectivo","Cobertura de fluxos d’efectiu","1340","equity","False"
"account_full_1341","Hedges of a net investment in a foreign operation","Cobertura de una inversión neta en un negocio en el extranjero","Cobertura d’una inversió neta en un negoci a l’estranger","1341","equity","False"
"account_full_135","Translation differences","Diferencias de conversión","Diferències de conversió","135","equity","False"
"account_full_136","Valuation adjustments to non-current assets and disposal groups held for sale","Ajustes por valoración de activos no corrientes y grupos enajenables de elementos, mantenidos para la venta","Ajustos per valoració en actius no corrents i grups alienables d’elements, mantinguts per a la venda","136","equity","False"
"account_full_140","Provisions for long-term employee benefits","Provisión por retribuciones del personal","Provisió per retribucions a llarg termini al personal","140","liability_non_current","True"
"account_full_146","Provisions for restructuring costs","Provisión para reestructuraciones","Provisió per a reestructuracions","146","liability_non_current","True"
"account_full_147","Provisions for share-based payment transactions","Provisión por transacciones con pagos basados en instrumentos de patrimonio","Provisió per transaccions amb pagaments basats en instruments de patrimoni","147","liability_non_current","True"
"account_full_1765","Non-current liabilities arising from derivative financial instruments, trading portfolio","Pasivos por derivados financieros, carter de negociación","Passius per derivats financers a llarg termini, cartera de negociació","1765","liability_non_current","True"
"account_full_1768","Non-current liabilities arising from derivative financial instruments, hedging instruments","Pasivos por derivados financieros, instrumentos de cobertura","Passius per derivats financers a llarg termini, instruments de cobertura","1768","liability_non_current","True"
"account_full_204","Goodwill","Fondo de comercio","Fons de comerç","204","asset_fixed","False",""
"account_full_2405","Non-current investments in other related parties","Participaciones en otras partes vinculadas","Participacions a llarg termini en altres parts vinculades","2405","asset_fixed","False"
"account_full_2495","Non-current uncalled equity holdings in other related parties","Desembolsos pendientes sobre participaciones en otras partes vinculadas","Desemborsaments pendents sobre participacions a llarg termini en altres parts vinculades","2495","asset_fixed","False"
"account_full_2553","Non-current assets arising from derivative financial instruments, hedging instruments","Activos por derivados financieros, instrumentos de cobertura","Actius per derivats financers a llarg termini, instruments de cobertura","2553","asset_fixed","False"
"account_full_257","Reimbursement rights of insurance contracts for long-term employee benefits","Derechos de reembolso derivados de contratos de seguro relativos a retribuciones al personal","Drets de reemborsament derivats de contractes d’assegurança relatius a retribucions a llarg termini al personal","257","asset_fixed","False"
"account_full_2804","Accumulated amortization of goodwill","Amortización acumulada de fondo de comercio","Amortización acumulada de fondo de comercio","2804","asset_fixed","False"
"account_full_466","Employee benefits payable through defined contribution schemes","Remuneraciones mediante sistemas de aportación definida pendientes de pago","Remuneracions mitjançant sistemes d’aportació definida pendents de pagament","466","liability_payable","True"
"account_full_501","Current convertible bonds and obligations","Obligaciones y bonos convertibles a corto plazo","Obligacions i bons convertibles a curt termini","501","liability_current","False"
"account_full_5091","Redeemed convertible bonds and obligations","Obligaciones y bonos convertibles amortizados","Obligacions i bons convertibles amortitzats","5091","liability_current","True"
"account_full_5296","Current provisions for restructuring costs","Provisión a corto plazo para reestructuraciones de patrimonio","Provisió a curt termini per a reestructuracions","5296","liability_current","True"
"account_full_5297","Current provisions for share-based payment transactions","Provisión a corto plazo por transacciones con pagos basados en instrumentos","Provisió a curt termini per transaccions amb pagaments basats en instruments de patrimoni","5297","liability_current","True"
"account_full_5530","Equity holders of the dissolved company","Socios de sociedad disuelta","Socis de societat dissolta","5530","liability_current","False"
"account_full_5531","Equity holders, merger account","Socios, cuenta de fusión","Socis, compte de fusió","5531","asset_current","False"
"account_full_5532","Equity holders of the spin-off","Socios de sociedad escindida","Socis de societat escindida","5532","liability_current","False"
"account_full_5533","Equity holders, spin-off account","Socios, cuenta de escisión","Socis, compte d’escissió","5533","asset_current","False"
"account_full_5593","Current assets arising from derivative financial instruments, hedging instruments","Activos por derivados financieros a corto plazo, instrumentos de cobertura","Actius per derivats financers a curt termini, instruments de cobertura","5593","asset_current","False"
"account_full_5598","Current liabilities arising from derivative financial instruments, hedging instruments","Pasivos por derivados financieros a corto plazo, instrumentos de cobertura","Passius per derivats financers a curt termini, instruments de cobertura","5598","liability_current","False"
