"id","code","name","move_types","name@it"
"l10n_it_document_type_01","TD01","Invoice","[""out_invoice""]","Fattura"
"l10n_it_document_type_02","TD02","Deposit/advance on invoice","[""out_invoice""]","Acconto/anticipo su fattura"
"l10n_it_document_type_03","TD03","Deposit/advance on vendor bill","[""out_invoice""]","Acconto/anticipo su fattura fornitore"
"l10n_it_document_type_04","TD04","Credit note","[""out_refund"", ""in_refund""]","Nota di credito"
"l10n_it_document_type_05","TD05","Debit note","[""purchase_debit_note"", ""sale_debit_note""]","Nota di debito"
"l10n_it_document_type_06","TD06","Bill","[""out_invoice""]","Parcella"
"l10n_it_document_type_07","TD07","Simplified invoice","[""out_invoice""]","Fattura semplificata"
"l10n_it_document_type_08","TD08","Simplified credit note","[""out_refund""]","Nota di credito semplificata"
"l10n_it_document_type_09","TD09","Simplified debit note","[""sale_debit_note""]","Nota di debito semplificata"
"l10n_it_document_type_16","TD16","Reverse charged vendor bill integration for domestic reverse charge","[""in_invoice"", ""in_refund"", ""purchase_debit_note""]","Integrazione fattura fornitore con reverse charge interno"
"l10n_it_document_type_17","TD17","Reverse charged vendor bill integration for purchase of foreign services","[""in_invoice"", ""in_refund"", ""purchase_debit_note""]","Integrazione fattura fornitore con reverse charge per acquisto di servizi dall'estero"
"l10n_it_document_type_18","TD18","Reverse charged vendor bill integration for the purchase of intra-EU goods","[""in_invoice"", ""in_refund"", ""purchase_debit_note""]","Integrazione fattura fornitore con reverse charge per acquisto di beni intracomunitari"
"l10n_it_document_type_19","TD19","Reverse charged vendor bill integration for purchase of goods from foreign markets","[""in_invoice"", ""in_refund"", ""purchase_debit_note""]","Integrazione fattura fornitore con reverse charge per acquisto merci estere"
"l10n_it_document_type_20","TD20","Self-invoice for invoice correction","[""in_invoice"", ""in_refund"", ""purchase_debit_note""]","Autofattura per regolarizzazione e integrazione delle fatture"
"l10n_it_document_type_21","TD21","Self-invoice for exceeded threshold","[""in_invoice"", ""in_refund"", ""purchase_debit_note""]","Autofattura per splafonamento"
"l10n_it_document_type_22","TD22","Withdrawal of goods from VAT warehouse","[""in_invoice"", ""in_refund"", ""purchase_debit_note""]","Estrazione beni da Deposito IVA"
"l10n_it_document_type_23","TD23","Withdrawal of goods from VAT warehouse with VAT settlement","[""in_invoice"", ""in_refund"", ""purchase_debit_note""]","Estrazione beni da Deposito IVA con versamento dell'IVA"
"l10n_it_document_type_24","TD24","Deferred invoice","[""out_invoice""]","Fattura differita"
"l10n_it_document_type_25","TD25","Deferred invoice for dropshipping","[""out_invoice""]","Fattura differita per dropshipping"
"l10n_it_document_type_26","TD26","Transfer of depreciable assets and internal transfers","[""out_invoice""]","Cessione di beni ammortizzabili e per passaggi interni"
"l10n_it_document_type_27","TD27","Self-invoice for self-consumption, gifts or for free services","[""out_invoice""]","Autofattura per autoconsumo, cessioni di beni senza rivalsa o prestazioni gratuite"
"l10n_it_document_type_28","TD28","Self-invoice for purchases from San Marino with VAT (paper invoice)","[""in_invoice"", ""in_refund"", ""purchase_debit_note""]","Autofattura per acquisti da San Marino con IVA (fattura cartacea)"
