"id","code","name","account_type","account_class"
"0010","0010","Aufwendungen für das Ingangsetzen eines Betriebes","1","0"
"0011","0011","Aufwendungen für das Ingangsetzen eines Betriebes ig. Erwerb","1","0"
"0019","0019","Kumulierte Abschreibungen für das Ingangsetzen eines Betriebes","1","0"
"0020","0020","Aufwendungen für das Erweitern eines Betriebes","1","0"
"0021","0021","Aufwendungen für das Erweitern eines Betriebes ig. Erwerb","1","0"
"0029","0029","Kumulierte Abschreibungen für das Erweitern eines Betriebes","1","0"
"0100","0100","Konzessionen","1","0"
"0101","0101","Konzessionen ig. Erwerb","1","0"
"0109","0109","Kumulierte Abschreibungen für Konzessionen","1","0"
"0110","0110","Patentrechte","1","0"
"0111","0111","Patentrechte ig. Erwerb","1","0"
"0112","0112","Lizenzen","1","0"
"0113","0113","Lizenzen ig. Erwerb","1","0"
"0119","0119","Kumulierte Abschreibungen für Lizenzen und Patentrechte","1","0"
"0120","0120","Software","1","0"
"0121","0121","Software ig. Erwerb","1","0"
"0129","0129","Kumulierte Abschreibungen für Software","1","0"
"0130","0130","Marken","1","0"
"0131","0131","Warenzeichen","1","0"
"0132","0132","Musterschutzrechte","1","0"
"0133","0133","Sonstige Urheberrechte","1","0"
"0134","0134","Marken, Warenzeichen, Musterschutzrechte, sonstige Urheberrechte ig. Erwerb","1","0"
"0140","0140","Pacht- und Mietrechte","1","0"
"0141","0141","Pacht- und Mietrechte ig. Erwerb","1","0"
"0149","0149","Kumulierte Abschreibungen für gewerbliche Schutzrechte, ähnlich","1","0"
"0150","0150","Geschäfts(Firmen)wert","1","0"
"0151","0151","Geschäfts(Firmen)wert ig. Erwerb","1","0"
"0159","0159","Kumulierte Abschreibungen für Geschäfts(Firmen)-wert","1","0"
"0160","0160","Umgründungsmehrwert (immaterielles Anlagevermögen)","1","0"
"0169","0169","Kumulierte Abschreibungen für Umgründungsmehrwert (immaterielles Anlagevermögen)","1","0"
"0170","0170","Unterschiedsbetrag Kapitalkonsolidierung","1","0"
"0179","0179","Kumulierte Abschreibungen für Unterschiedsbetrag Kapitalkonsolidierung","1","0"
"0180","0180","Geleistete Anzahlungen für immaterielles Vermögen","1","0"
"0200","0200","Unbebaute Grundstücke","1","0"
"0205","0205","Grundstücke mit Substanzverzehr","1","0"
"0210","0210","Bebaute Grundstücke (Grundwert)","1","0"
"0219","0219","Kumulierte Abschreibungen für Grundstücke","1","0"
"0220","0220","Grundstücksgleiche Rechte","1","0"
"0229","0229","Kumulierte Abschreibungen für grundstücksgleiche Rechte","1","0"
