id,code,name,active
transaction_code_200,200,Payroll Deposit,1
transaction_code_201,201,Special Payroll,1
transaction_code_202,202,Vacation Payroll,1
transaction_code_203,203,Overtime Payroll,1
transaction_code_204,204,Advance Payroll,1
transaction_code_205,205,Commission Payroll,1
transaction_code_206,206,Bonus Payroll,1
transaction_code_207,207,Adjustment Payroll,1
transaction_code_230,230,Pension,1
transaction_code_231,231,Federal Pension,1
transaction_code_232,232,Provincial Pension,1
transaction_code_233,233,Private Pension,1
transaction_code_240,240,Annuity,1
transaction_code_250,250,Dividend,1
transaction_code_251,251,Common Dividend,1
transaction_code_252,252,Preferred Dividend,1
transaction_code_260,260,Investment,1
transaction_code_261,261,Mutual Funds,1
transaction_code_265,265,Spousal RSP Contribution,1
transaction_code_266,266,RESP Contribution,1
transaction_code_271,271,RSP Contribution,1
transaction_code_272,272,Retirement Income Fun,1
transaction_code_273,273,Tax Free Savings Account TFS/CLI,1
transaction_code_274,274,RDSP Contribution RDP/REI,1
transaction_code_280,280,Interest,1
transaction_code_281,281,Lottery Prize Payment,1
transaction_code_300,300,Restricted – Government Use Only - Federal Government,0
transaction_code_301,301,Restricted – Government Use Only - Agriculture Stabilization Payments,0
transaction_code_302,302,Restricted – Government Use Only - Canadian Dairy Commission,0
transaction_code_303,303,Restricted – Government Use Only - HRDC - Training,0
transaction_code_308,308,Restricted – Government Use Only - Child Tax Credit,0
transaction_code_309,309,Restricted – Government Use Only - Goods and Services Tax,0
transaction_code_310,310,Restricted – Government Use Only - Canada Pension Plan,0
transaction_code_311,311,Restricted – Government Use Only - Old Age Security,0
transaction_code_312,312,Restricted – Government Use Only - War Veterans' Allowances,0
transaction_code_313,313,Restricted – Government Use Only - Canadian Pension Commission,0
transaction_code_314,314,Restricted – Government Use Only - Family Allowances,0
transaction_code_315,315,Restricted – Government Use Only - Public Service Superannuation,0
transaction_code_316,316,Restricted – Government Use Only - Canadian Forces Superannuation,0
transaction_code_317,317,Restricted – Government Use Only - Tax Refunds,0
transaction_code_318,318,Restricted – Government Use Only - Employment Insurance,0
transaction_code_319,319,Restricted – Government Use Only - Dbt CCRA Government of Canada,0
transaction_code_320,320,Restricted – Government Use Only - Government Student Loans,0
transaction_code_321,321,Restricted – Government Use Only - CSB Interest,0
transaction_code_322,322,Restricted – Government Use Only - External Affairs,0
transaction_code_323,323,Restricted – Government Use Only - Canada Savings Plan,0
transaction_code_330,330,Insurance,1
transaction_code_331,331,Life Insurance,1
transaction_code_332,332,Auto Insurance,1
transaction_code_333,333,Property Insurance,1
transaction_code_334,334,Casualty Insurance,1
transaction_code_335,335,Mortgage Insurance,1
transaction_code_336,336,Health/Dental Claim Insurance,1
transaction_code_350,350,Loans,1
transaction_code_351,351,Personal Loans,1
transaction_code_352,352,Dealer Plan Loans,1
transaction_code_353,353,Farm Improvement Loans,1
transaction_code_354,354,Home Improvement Loans,1
transaction_code_355,355,Term Loans,1
transaction_code_356,356,Insurance Loans,1
transaction_code_370,370,Mortgage,1
transaction_code_371,371,Residential Mortgage,1
transaction_code_372,372,Commercial Mortgage,1
transaction_code_373,373,Farm Mortgage,1
transaction_code_380,380,Taxes,1
transaction_code_381,381,Income Taxes,1
transaction_code_382,382,Sales Taxes,1
transaction_code_383,383,Corporate Taxes,1
transaction_code_384,384,School Taxes,1
transaction_code_385,385,Property Taxes,1
transaction_code_386,386,Water Taxes,1
transaction_code_400,400,Rent/Leases,1
transaction_code_401,401,Residential Rent/Leases,1
transaction_code_402,402,Commercial Rent/Leases,1
transaction_code_403,403,Equipment Rent/Leases,1
transaction_code_404,404,Automobile Rent/Leases,1
transaction_code_405,405,Appliance Rent/Leases,1
transaction_code_420,420,Cash Management,1
transaction_code_430,430,Bill Payment,1
transaction_code_431,431,Telephone Bill Payment,1
transaction_code_432,432,Gasoline Bill Payment,1
transaction_code_433,433,Hydro Bill Payment,1
transaction_code_434,434,Cable Bill Payment,1
transaction_code_435,435,Fuel Bill Payment,1
transaction_code_436,436,Utility Bill Payment,1
transaction_code_437,437,Internet Access Payment,1
transaction_code_438,438,Water Bill Payment,1
transaction_code_439,439,Auto Payment,1
transaction_code_450,450,Misc. Payments,1
transaction_code_451,451,Customer Cheques,1
transaction_code_452,452,Expense Payment,1
transaction_code_460,460,Accounts Payable,1
transaction_code_470,470,Fees/Dues,1
transaction_code_480,480,Donations,1
transaction_code_600,600,Restricted – Government Use Only - Provincial Government,0
transaction_code_601,601,Restricted – Government Use Only - Family Support Plan,0
transaction_code_602,602,Restricted – Government Use Only - Housing Allowance,0
transaction_code_603,603,Restricted – Government Use Only - Income Security Benefits,0
transaction_code_604,604,Restricted – Government Use Only - Provincial Family Benefits,0
transaction_code_605,605,Restricted – Government Use Only - Combined Fed-Prov/Terr Payment,0
transaction_code_606,606,Restricted – Government Use Only - Workers' Compensation Board,0
transaction_code_607,607,Restricted – Government Use Only - Employment Assistance Allowance,0
transaction_code_608,608,Restricted – Government Use Only - Automobile Insurance Plan,0
transaction_code_609,609,Restricted – Government Use Only - Provincial Health Care Premium,0
transaction_code_610,610,Restricted – Government Use Only - Offences and Fines,0
transaction_code_650,650,Inter-FFunds Transfer Debit,1
transaction_code_700,700,Business PAD Reserved for Business Pre-Authorized Debits (PADs),1
