"id","code","name","account_type","reconcile","non_trade","name@sw"
"tz_102","102","Cash Equivalents","asset_cash","False","","Sawa za pesa"
"tz_104","104","Internal Transfers of Funds","asset_current","False","","Uhamisho wa Fedha wa Ndani"
"tz_106","106","Other current assets","asset_current","False","","Mali zingine za sasa"
"tz_107","107","Tax paid","asset_current","False","","Kodi imelipwa"
"tz_108","108","Tax receivable","asset_receivable","True","True","Kodi inayopokelewa"
"tz_110","110","Property, Plant And Equipment","asset_fixed","False","","Mali, Kiwanda na Vifaa"
"tz_111","111","Land And Land Improvements","asset_fixed","False","","Uboreshaji wa Ardhi na Ardhi"
"tz_112","112","Buildings, Structures And Improvements","asset_fixed","False","","Majengo, Miundo na Uboreshaji"
"tz_113","113","Machinery And Equipment","asset_fixed","False","","Mashine na Vifaa"
"tz_114","114","Furniture And Fixtures","asset_fixed","False","","Samani na Fixtures"
"tz_115","115","Right Of Use Assets (Classified As PP&E)","asset_fixed","False","","Haki ya Matumizi ya Mali (Imeainishwa kama PP"
"tz_116","116","Additional Property, Plant And Equipment","asset_fixed","False","","Mali ya Ziada, Mitambo na Vifaa"
"tz_117","117","Construction In Progress","asset_non_current","False","","Ujenzi Unaendelea"
"tz_121","121","Investment Property","asset_non_current","False","","Mali ya Uwekezaji"
"tz_122","122","Investment Property Under Construction Or Development","asset_non_current","False","","Mali ya Uwekezaji Chini ya Ujenzi au Maendeleo"
"tz_130","130","Goodwill","asset_non_current","False","","Nia njema"
"tz_135","135","Advances for Capital Assets","asset_non_current","False","","Maendeleo kwa Mali ya Mtaji"
"tz_140","140","Intangible Assets (Excluding Goodwill)","asset_non_current","False","","Mali Zisizogusika (Bila Nia Njema)"
"tz_141","141","Intellectual Property","asset_fixed","False","","Mali ya kiakili"
"tz_142","142","Computer Software","asset_fixed","False","","Programu ya Kompyuta"
"tz_143","143","Trade And Distribution Assets","asset_non_current","False","","Biashara na Usambazaji Mali"
"tz_144","144","Contracts And Rights","asset_non_current","False","","Mikataba na Haki"
"tz_145","145","Right To Use Assets (Classified By Type)","asset_non_current","False","","Haki ya Kutumia Mali (Imeainishwa Kwa Aina)"
"tz_146","146","Other Intangible Assets","asset_non_current","False","","Mali Nyingine Zisizogusika"
"tz_147","147","Acquisition In Progress","asset_non_current","False","","Upatikanaji Unaendelea"
"tz_148","148","Deferred tax assets","asset_non_current","False","","Mali ya ushuru iliyoahirishwa"
"tz_149","149","Available for sale investments","asset_non_current","False","","Inapatikana kwa uwekezaji wa mauzo"
"tz_150","150","Financial Assets (Investments)","asset_non_current","False","","Mali za Kifedha (Uwekezaji)"
"tz_151","151","Non-Derivative Financial Assets","asset_receivable","True","","Mali Zisizotokana na Fedha"
"tz_152","152","Derivative Financial Assets","asset_receivable","True","","Derivative Financial Assets"
"tz_153","153","Restricted Cash And Financial Assets","asset_cash","False","","Pesa Zilizozuiliwa na Mali za Kifedha"
"tz_154","154","Additional Financial Assets And Investments","asset_non_current","False","","Mali ya Ziada ya Fedha na Uwekezaji"
"tz_155","155","Trade receivables (PoS)","asset_receivable","True","","Mapokezi ya Biashara (PoS)"
"tz_156","156","Investments in associate","asset_receivable","True","","Uwekezaji kwa washirika"
"tz_160","160","Agricultural (Biological) Assets","asset_current","False","","Mali za Kilimo (Biolojia)"
"tz_161","161","Bearer Plants","asset_current","False","","Mimea ya kubeba"
"tz_162","162","Animals","asset_current","False","","Wanyama"
"tz_163","163","Other Agricultural Assets","asset_current","False","","Mali Nyingine za Kilimo"
"tz_170","170","Inventory","asset_current","False","","Mali"
"tz_171","171","Merchandise","asset_current","False","","Bidhaa"
"tz_172","172","Raw Material, Parts And Supplies","asset_current","False","","Malighafi, Sehemu na Ugavi"
