"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@sw","invoice_label@sw","fiscal_position_ids","original_tax_ids"
"VAT_S_TAXABLE_18","1","Taxable supply","Taxable supply","18%","18.0","percent","sale","tax_group_vat_18","100","base","invoice","02.base","","Ugavi wa ushuru","Ugavi wa ushuru","fiscal_position_tz_national",""
"","","","","","","","","","100","tax","invoice","03.tax","tz_307","","","",""
"","","","","","","","","","100","base","refund","02.base","","","","",""
"","","","","","","","","","100","tax","refund","03.tax","tz_307","","","",""
"VAT_S_ZERO_O","3","Zero rated supply","Zero rated supply","0%","0.0","percent","sale","tax_group_vat_0","100","base","invoice","06.base","","Ugavi uliokadiriwa sifuri","Ugavi uliokadiriwa sifuri","fiscal_position_tz_national",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","06.base","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"VAT_S_EXEMPT_O","4","Exempt supply","Exempt supply","0% Exempt","0.0","percent","sale","tax_group_vat_0","100","base","invoice","07.base","","Ugavi usioruhusiwa","Ugavi usioruhusiwa","fiscal_position_tz_exempt","VAT_S_IMPORTED_18,VAT_S_TAXABLE_18"
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","07.base","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"VAT_S_SPRECIAL_RELIEF_O","5","Special relief/deferred supply","Special relief/deferred supply","0% D","0.0","percent","sale","tax_group_vat_0","100","base","invoice","08.base","","Ugavi maalum wa unafuu/ulioahirishwa","Ugavi maalum wa unafuu/ulioahirishwa","fiscal_position_tz_national",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","08.base","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"VAT_S_IMPORTED_18","6","Imported service","Imported service","18% EX S","18.0","percent","sale","tax_group_vat_18","100","base","invoice","09.base","","Huduma iliyoingizwa","Huduma iliyoingizwa","fiscal_position_tz_international,fiscal_position_tz_national","VAT_S_TAXABLE_18"
"","","","","","","","","","100","tax","invoice","10.tax","tz_307","","","",""
"","","","","","","","","","100","base","refund","09.base","","","","",""
"","","","","","","","","","100","tax","refund","10.tax","tz_307","","","",""
"VAT_P_EXEMPT_O","7","Exempt purchase","Exempt purchase","0% Exempt","0.0","percent","purchase","tax_group_vat_0","100","base","invoice","14.base","","Ununuzi wa msamaha","Ununuzi wa msamaha","fiscal_position_tz_exempt","VAT_P_TAXABLE_18,VAT_P_IMPORTED_18,VAT_P_IMPORT_TAXABLE_18"
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","14.base","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"VAT_P_NCREDITABLE_O","8","Non-creditable purchase","Non-creditable purchase","0%","0.0","percent","purchase","tax_group_vat_0","100","base","invoice","15.base","","Ununuzi usio na mkopo","Ununuzi usio na mkopo","fiscal_position_tz_national",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","15.base","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"VAT_P_IMPORTED_18","10","Imported service","Imported service","18% EX S","18.0","percent","purchase","tax_group_vat_0","100","base","invoice","17.base","","Huduma iliyoingizwa","Huduma iliyoingizwa","fiscal_position_tz_international,fiscal_position_tz_national","VAT_P_TAXABLE_18"
"","","","","","","","","","100","tax","invoice","18.tax","tz_107","","","",""
"","","","","","","","","","100","base","refund","17.base","","","","",""
"","","","","","","","","","100","tax","refund","18.tax","tz_107","","","",""
"VAT_P_TAXABLE_18","11","Taxable supply","Taxable supply","18%","18.0","percent","purchase","tax_group_vat_0","100","base","invoice","20.base","","Ugavi wa ushuru","Ugavi wa ushuru","fiscal_position_tz_national",""
"","","","","","","","","","100","tax","invoice","21.tax","tz_107","","","",""
"","","","","","","","","","100","base","refund","20.base","","","","",""
"","","","","","","","","","100","tax","refund","21.tax","tz_107","","","",""
"VAT_P_IMPORT_TAXABLE_18","12","Import of taxable supplies","Import of taxable supplies","18% EX G","18.0","percent","purchase","tax_group_vat_0","100","base","invoice","23.base","","Uagizaji wa vifaa vinavyotozwa ushuru","Uagizaji wa vifaa vinavyotozwa ushuru","fiscal_position_tz_national",""
"","","","","","","","","","100","tax","invoice","24.tax","tz_107","","","",""
"","","","","","","","","","100","base","refund","23.base","","","","",""
"","","","","","","","","","100","tax","refund","24.tax","tz_107","","","",""
