"id","name","country_id","tax_payable_account_id","tax_receivable_account_id","name@pt"
"tax_group_iva_0","VAT 0%","base.pt","chart_2436","chart_2437","IVA 0%"
"tax_group_iva_4","VAT 4%","","chart_2436","chart_2437","IVA 4%"
"tax_group_iva_5","VAT 5%","","chart_2436","chart_2437","IVA 5%"
"tax_group_iva_6","VAT 6%","base.pt","chart_2436","chart_2437","IVA 6%"
"tax_group_iva_9","VAT 9%","","chart_2436","chart_2437","IVA 9%"
"tax_group_iva_12","VAT 12%","","chart_2436","chart_2437","IVA 12%"
"tax_group_iva_13","VAT 13%","base.pt","chart_2436","chart_2437","IVA 13%"
"tax_group_iva_16","VAT 16%","","chart_2436","chart_2437","IVA 16%"
"tax_group_iva_22","VAT 22%","","chart_2436","chart_2437","IVA 22%"
"tax_group_iva_23","VAT 23%","base.pt","chart_2436","chart_2437","IVA 23%"
