"id","code","name","internal_type","doc_code_prefix","country_id/id","name@es_419"
"dc_inv","0","Invoice","invoice","FC","base.uy","Factura"
"dc_boleta_venta_contado","0","Boleta","invoice","BO","base.uy",""
"dc_cn_inv","0","Credit Note","credit_note","NC","base.uy","Nota de Crédito"
"dc_dn_inv","0","Debit Note","debit_note","ND","base.uy","Nota de Débito"
"dc_recibo_cobranza","0","Collection Receipt","invoice","RC","base.uy","Recibo Cobranza"
"dc_inv_expo","0","Export Invoice","invoice","FCE","base.uy","Factura Exportación"
"dc_nc_expo","0","Export Credit Note","credit_note","NCE","base.uy","Nota de Crédito Exportación"
"dc_nd_expo","0","Export Debit Note","debit_note","NDE","base.uy","Nota de Débito Exportación"
"dc_remito","0","Delivery Guide","","REM","base.uy","Remito"
"dc_e_ticket","101","e-Ticket","invoice","e-TK","base.uy",""
"dc_cn_e_ticket","102","e-Ticket Credit Note","credit_note","e-NCTK","base.uy","Nota de Crédito de e-Ticket"
"dc_dn_e_ticket","103","e-Ticket Debit Note","debit_note","e-NDTK","base.uy","Nota de Débito de e-Ticket"
"dc_e_inv","111","e-Invoice","invoice","e-FC","base.uy","e-Factura"
"dc_cn_e_inv","112","e-Invoice Credit Note","credit_note","e-NC","base.uy","Nota de Crédito de e-Factura"
"dc_dn_e_inv","113","e-Invoice Debit Note","debit_note","e-ND","base.uy","Nota de Débito de e-Factura"
"dc_e_inv_exp","121","Export e-Invoice","invoice","e-FCE","base.uy","e-Factura Exportación"
"dc_cn_e_inv_exp","122","Export e-Invoice Credit Note","credit_note","e-NCE","base.uy","Nota de Crédito de e-Factura Exportación"
"dc_dn_e_inv_exp","123","Export e-Invoice Debit Note","debit_note","e-NDE","base.uy","Nota de Débito de e-Factura Exportación"
"dc_e_remito_expo","124","Export e-Delivery Guide","","e-REME","base.uy","e-Remito Exportación"
"dc_e_ticket_venta_por_cuenta_ajena","131","e-Ticket Sale By Third Party","invoice","e-TK-CA","base.uy","e-Ticket Venta por Cuenta Ajena"
"dc_nota_de_credito_e_ticket_venta_por_cuenta_ajena","132","e-Ticket Sale By Third Party Credit Note","credit_note","e-NCTK-CA","base.uy","Nota de Crédito e-Ticket Venta por Cuenta Ajena"
"dc_nota_de_debito_e_ticket_venta_por_cuenta_ajena","133","e-Ticket Sale By Third Party Debit Note","debit_note","e-NDTK-CA","base.uy","Nota de Débito e-Ticket Venta por Cuenta Ajena"
"dc_e_factura_venta_por_cuenta_ajena","141","e-Invoice Sale By Third Party","invoice","e-FC-CA","base.uy","e-Factura Venta por Cuenta Ajena"
"dc_nota_de_credito_e_factura_venta_por_cuenta_ajena","142","e-Invoice Sale By Third Party Credit Note","credit_note","e-NC-CA","base.uy","Nota de Crédito e-Factura Venta por Cuenta Ajena"
"dc_nota_de_debito_e_factura_venta_por_cuenta_ajena","143","e-Invoice Sale By Third Party Debit Note","debit_note","e-ND-CA","base.uy","Nota de Débito e-Factura Venta por Cuenta Ajena"
"dc_e_boleta","151","e-Boleta","invoice","e-BO","base.uy",""
"dc_nota_de_credito_e_boleta","152","Credit Note e-Boleta","credit_note","e-BO-NC","base.uy","Nota de Crédito e-Boleta"
"dc_nota_de_debito_e_boleta","153","Debit Note e-Boleta","debit_note","e-BO-ND","base.uy","Nota de Dédito e-Boleta"
"dc_e_remito","181","e-Delivery Guide","","e-REM","base.uy","e-Remito"
"dc_e_resguardo","182","e-Resguardo","","e-RES","base.uy",""
"dc_e_ticket_cont","201","Contingency e-Ticket","invoice","e-TK-C","base.uy","e-Ticket Contingencia"
"dc_cn_e_ticket_cont","202","Contingency e-Ticket Credit Note","credit_note","e-NCTK-C","base.uy","Nota de Credito de e-Ticket Contingencia"
"dc_dn_e_ticket_cont","203","Contingency e-Ticket Debit Note","debit_note","e-NDTK-C","base.uy","Nota de Debito de e-Ticket Contingencia"
