"id","active","name","bic","street","city","state/id","country/id","phone"
"res_bank_1","TRUE","Alpha Bank Romania","BUCUROBU","Calea Dorobantilor 237 B, sector1","BUCURESTI","RO_B","base.ro","(021) 209.99.99"
"res_bank_2","TRUE","Anglo-Romanian Bank Limited, Anglia Londra","ARBLROBU","Bd. Carol I nr.34-36, sector 2","BUCURESTI","RO_B","base.ro","+44(0)207 826 4200"
"res_bank_3","TRUE","ATE BANK ROMANIA","MINDROBU","Bd.Grivitei, nr. 24, sector 1","BUCURESTI","RO_B","base.ro","(021) 30.30.732"
"res_bank_4","TRUE","Banca Comercială CARPATICA","CARPRO22","str. Autogarii nr.1","SIBIU","RO_SB","base.ro","(0269) 23.39.85"
"res_bank_5","TRUE","Banca Comercială Română","RNCBROBU","Bd.Regina Elisabeta nr.5, sector 3","BUCURESTI","RO_B","base.ro","0801 0801 227"
"res_bank_6","TRUE","Banca C.R. Firenze","DAROROBU","Bd. Unirii nr.55, bl.E4a, Tronson 1, sector 3","BUCURESTI","RO_B","base.ro","(021) 201.19.30"
"res_bank_7","TRUE","Banca de Export-Import a României EXIMBANK","EXIMROBU","Spl. Independentei nr.15, sector 5","BUCURESTI","RO_B","base.ro","(021) 336.61.62"
"res_bank_8","TRUE","Banca di Roma","BROMROBU","Intrarea Murmurului nr. 2-4, sector 1","BUCURESTI","RO_B","base.ro","(021) 232.08.18"
"res_bank_9","TRUE","Banca Italo Romena","BITRROBU","Bd. Dimitrie Cantemir nr.1, bl.B2, sc.2, parter si mezanin, sector 4","BUCURESTI","RO_B","base.ro","(021) 330.78.76"
"res_bank_10","TRUE","Banca Românească","BRMAROBU","bd.Unirii nr.35, bl.A3, sector 3","BUCURESTI","RO_B","base.ro","(021) 321.16.01"
"res_bank_11","TRUE","Banca Transilvania","BTRLRO22","George Baritiu nr.8","CLUJ-NAPOCA","RO_CJ","base.ro","(0264) 407 150"
"res_bank_12","TRUE","BANC POST","BPOSROBU","Calea Vitan nr.6, 6A, Tronson B si C, et.3-7, sector 3","BUCURESTI","RO_B","base.ro","(021) 308.09.01"
"res_bank_13","TRUE","BLOM Bank Egypt","MIRBROBU","Bd. Unirii nr.66 bl. K 3 sector 3","BUCURESTI","RO_B","base.ro","(021) 302.72.00"
"res_bank_14","TRUE","BRD - Groupe Société Générale","BRDEROBU","Bd. Ion Mihalache nr.1-7, sector 1","BUCURESTI","RO_B","base.ro","(021) 301.61.00"
"res_bank_15","TRUE","C.E.C.","CECEROBU","Calea Victoriei nr.13, sector 3","BUCURESTI","RO_B","base.ro","(021) 311.11.19."
"res_bank_16","TRUE","Citibank România","CITIROBU","bd. Iancu de Hunedoara nr. 8, sector 1","BUCURESTI","RO_B","base.ro","(021) 210.18.50"
"res_bank_17","TRUE","CREDIT COOP CASA CENTRALA","CRCOROBU","Calea Plevnei nr.200","BUCURESTI","RO_B","base.ro","(021) 317.74.05"
"res_bank_18","TRUE","CREDIT EUROPE BANK","FNNBROBU","Bd. Timisoara Nr. 26Z, Sector 6","BUCURESTI","RO_B","base.ro","(021) 406.40.00"
"res_bank_19","TRUE","EGNATIA Bank","EGNAROBX","str. General Constantin Budisteanu nr.28C, P+1, sector 1","BUCURESTI","RO_B","base.ro","(021) 303.21.00"
"res_bank_20","TRUE","Emporiki Bank - Romania","BSEAROBU","str.Berzei nr.19, sector 1","BUCURESTI","RO_B","base.ro","(021) 310.39.55"
"res_bank_21","TRUE","GarantiBank International NV","UGBIROBU","str.Paris nr.30, sector 1","BUCURESTI","RO_B","base.ro","(021) 230.84.30"
"res_bank_22","TRUE","HVB BANCA PENTRU LOCUINTE S.A","HVBLROBU","str.Dr.Grigore Mora nr.37, sector 1","BUCURESTI","RO_B","base.ro","(021) 300 11 22"
"res_bank_23","TRUE","ING Bank N.V., Amsterdam","INGBROBU","sos.Kiseleff nr.11-13, sector 1","BUCURESTI","RO_B","base.ro","(021) 222.16.00"
"res_bank_24","TRUE","Leumi Bank Romania","DAFBRO22","B-dul Aviatorilor nr.45, sector 1","BUCURESTI","RO_B","base.ro","(021) 206.70.75"
"res_bank_25","TRUE","Libra Bank","BRELROBU","str. dr. Grigore Mora nr.11, sector 1","BUCURESTI","RO_B","base.ro","(021) 20.88.000"
"res_bank_26","TRUE","Millenium Bank","MILBROBU","Piaţa Presei Libere nr. 3-5, Clădirea City Gate, Turnul Sudic, parter si et. 13-17","BUCURESTI","RO_B","base.ro","(021) 308 13 00"
"res_bank_27","TRUE","OTP Bank România S.A.","OTPVROBU","str.Buzesti nr.66-68, sector 1","BUCURESTI","RO_B","base.ro","(021) 307.57.00"
"res_bank_28","TRUE","Piraeus Bank Romania","PIRBROBU","bd.Carol I nr.34-36, et. VI, sector 2","BUCURESTI","RO_B","base.ro","(021) 250.67.98"
"res_bank_29","TRUE","Porsche Bank Romania","PORLROBU","sos.Pipera-Tunari nr.2, cladirea PORSCHE, parter, etaj 1 si 2","VOLUNTARI","RO_B","base.ro","(021) 208.26.00"
"res_bank_30","TRUE","ProCredit Bank","MIROROBU","str.Buzesti nr.62-64, et.1 si et.2, sector 1","BUCURESTI","RO_B","base.ro","(021) 201.60.00"
"res_bank_31","TRUE","Raiffeisen Banca pentru Locuinţe","RZBLROBU","str. Nicolae Caramfil nr.79, sector 1","BUCURESTI","RO_B","base.ro","(021) 233.30.00"
"res_bank_32","TRUE","Raiffeisen Bank","RZBRROBU","Piata Charles de Gaulle nr.15, et.4,5,6,7 si 8, sector 1","BUCURESTI","RO_B","base.ro","(021) 323.00.31"
"res_bank_33","TRUE","RBS Bank (Romania) S.A.(fosta ABN-AMRO)","ABNAROBU","Piata Montreal nr.10, WTCB - E etajul 2, sector 1","BUCURESTI","RO_B","base.ro","(021) 20.20.400"
"res_bank_34","TRUE","Romanian International Bank","ROINROBU","bd.Unirii nr.68, bl. K2, sector 3","BUCURESTI","RO_B","base.ro","(021) 323.10.35."
"res_bank_35","TRUE","ROMEXTERRA Bank","CRDZROBU","Bdul 1 Decembrie 1918 nr.93","TARGU MURES","RO_MS","base.ro","(0265) 16.66.41"
"res_bank_36","TRUE","Sanpaolo Imi Bank Romania","WBANRO22","str.Revolutiei nr.88","ARAD","RO_AR","base.ro","(0257) 30.82.00"
"res_bank_37","TRUE","Trezoreria Statului","TREZROBU","Splaiul Unirii 6-8","BUCURESTI","RO_B","base.ro","(021)  317.27.70"
"res_bank_38","TRUE","UniCredit Tiriac Bank","BACXROBU","Str. Ghetarilor nr.23-25, sector 1","BUCURESTI","RO_B","base.ro","(021) 200.20.20"
"res_bank_39","TRUE","Volksbank Romania","VBBUROBU","sos. Mihai Bravu nr.171, sector 2","BUCURESTI","RO_B","base.ro","(021) 303.93.00"
