"id","code_prefix_start","code_prefix_end","name","name@et"
"ee_group_1","1","","Assets","Varad"
"ee_group_10","10","","Current Assets","Käibevarad"
"ee_group_100","100","","Cash","Raha"
"ee_group_101","101","","Financial Investments","Finantsinvesteeringud"
"ee_group_102","102","","Receivables and Prepayments","Nõuded ja ettemaksed"
"ee_group_1020","1020","","Trade Receivables","Nõuded ostjate vastu"
"ee_group_1021","1021","","Receivables from Related Parties","Nõuded seotud osapoolte vastu"
"ee_group_1022","1022","","Prepaid and Deferred Taxes","Maksude ettemaksed ja tagasinõuded"
"ee_group_1023","1023","","Loan Receivables","Laenunõuded"
"ee_group_1024","1024","","Other Receivables","Muud nõuded"
"ee_group_1025","1025","","Prepayments","Ettemaksed"
"ee_group_103","103","","Inventory","Varud"
"ee_group_1030","1030","","Raw and Other Materials","Tooraine ja materjal"
"ee_group_1031","1031","","Work in Progress","Lõpetamata toodang"
"ee_group_1032","1032","","Finished Goods","Valmistoodang"
"ee_group_1033","1033","","Goods for Resale","Müügiks ostetud kaubad"
"ee_group_1034","1034","","Prepayments to Suppliers","Ettemaksed varude eest"
"ee_group_104","104","","Biological Assets","Bioloogilised varad"
"ee_group_11","11","","Non-Current Assets","Põhivarad"
"ee_group_110","110","","Investments in Subsidiaries and Affiliates","Investeeringud tütar- ja sidusettevõtjatesse"
"ee_group_1100","1100","","Shares and Participations in Subsidiaries","Tütarettevõtjate aktsiad ja osad"
"ee_group_1101","1101","","Shares and Participations in Affiliates","Sidusettevõtjate aktsiad ja osad"
"ee_group_111","111","","Financial Investments","Finantsinvesteeringud"
"ee_group_112","112","","Receivables and Prepayments","Nõuded ja ettemaksed"
"ee_group_1120","1120","","Long-Term Trade Receivables","Nõuded ostjate vastu"
"ee_group_1121","1121","","Long-Term Receivables from Related Parties","Nõuded seotud osapoolte vastu"
"ee_group_1122","1122","","Long-Term Prepaid and Deferred Taxes","Maksude ettemaksed ja tagasinõuded"
"ee_group_1123","1123","","Long-Term Loan Receivables","Laenunõuded"
"ee_group_1124","1124","","Other Long-Term Receivables","Muud nõuded"
"ee_group_1125","1125","","Long-Term Prepayments","Pikaajalised ettemaksed"
"ee_group_113","113","","Real Estate Investments","Kinnisvarainvesteeringud"
"ee_group_114","114","","Tangible Non-Current Assets","Materiaalsed põhivarad"
"ee_group_115","115","","Biological Assets","Bioloogilised varad"
"ee_group_116","116","","Intangible Non-Current Assets","Immateriaalsed põhivarad"
"ee_group_2","2","","Liabilities","Kohustised"
"ee_group_20","20","","Current Liabilities","Lühiajalised kohustised"
"ee_group_200","200","","Loan Liabilities","Laenukohustised"
"ee_group_201","201","","Payables and Prepayments","Võlad ja ettemaksed"
"ee_group_2010","2010","","Accounts Payable","Võlad tarnijatele"
"ee_group_2011","2011","","Employee Payables","Võlad töövõtjatele"
"ee_group_2012","2012","","Taxes Payable","Maksuvõlad"
"ee_group_2013","2013","","Other Payables","Muud võlad"
"ee_group_2014","2014","","Deferred Revenue","Tulevaste perioodide tulud"
"ee_group_2015","2015","","Other Received Prepayments","Muud saadud ettemaksed"
"ee_group_202","202","","Provisions","Eraldised"
"ee_group_2020","2020","","Warranty Provisions","Garantiieraldis"
"ee_group_2021","2021","","Tax Provisions","Maksueraldis"
"ee_group_2022","2022","","Other Provisions","Muud eraldised"
"ee_group_203","203","","Government Grants","Sihtfinantseerimine"
"ee_group_21","21","","Non-Current Liabilities","Pikaajalised kohustised"
"ee_group_210","210","","Long-Term Loan Liabilities","Laenukohustised"
"ee_group_211","211","","Long-Term Payables and Prepayments","Võlad ja ettemaksed"
"ee_group_2110","2110","","Long-Term Accounts Payable","Võlad tarnijatele"
"ee_group_2111","2111","","Long-Term Employee Payables","Võlad töövõtjatele"
"ee_group_2112","2112","","Long-Term Taxes Payable","Maksuvõlad"
"ee_group_2113","2113","","Other Long-Term Payables","Muud võlad"
"ee_group_2114","2114","","Long-Term Deferred Revenue","Tulevaste perioodide tulud"
"ee_group_2115","2115","","Other Received Long-Term Prepayments","Muud saadud ettemaksed"
"ee_group_212","212","","Long-Term Provisions","Eraldised"
"ee_group_2120","2120","","Long-Term Warranty Provisions","Garantiieraldis"
"ee_group_2121","2121","","Long-Term Tax Provisions","Maksueraldis"
"ee_group_2122","2122","","Other Long-Term Provisions","Muud eraldised"
"ee_group_213","213","","Long-Term Government Grants","Sihtfinantseerimine"
"ee_group_3","3","","Equity","Omakapital"
"ee_group_30","30","","Share Capital (Nominal Value)","Aktsiakapital või osakapital nimiväärtuses"
"ee_group_31","31","","Unregistered Share Capital or Equity","Registreerimata aktsiakapital või osakapital"
"ee_group_32","32","","Unpaid Share Capital","Sissemaksmata osakapital"
"ee_group_33","33","","Share Premium","Ülekurss"
"ee_group_34","34","","Own Shares","Oma aktsiad või osad"
"ee_group_35","35","","Statutory Reserve Capital","Kohustuslik reservkapital"
