"code","name","opening_balance","code_mapping_ids/company_id","code_mapping_ids/code"
"100000","Issued capital",12500,"Company 2","100001"
,,,"Company 3","100002"
"101000","Uncalled capital",3500,,
"110000","Share premium account",,,
"120000","Revaluation surpluses on intangible fixed assets",,,
"121000","Revaluation surpluses on tangible fixed assets",,,
"400000","Trade debtors within one year - Customer",,,
"455000","Remuneration and social security - Remuneration",,,
"550003","Bank",-3500,"Company 2","550004"
,,,"Company 3","550005"
"570001","Cash",,,
"600000","Purchases of raw material",-12500,,
"620200","Remuneration and direct social benefits - Employees",,,
"654000","Financial charges - Exchange differences",,,
"700000","Sales rendered in Belgium (marchandises)",,,
"700200","Sales rendered for export (marchandises)",,,
