"name","company_ids","code_mapping_ids/company_id","code_mapping_ids/code"
"Issued capital","company_1_data,Company 2","company_1_data","100000"
,,"Company 2","100001"
"Uncalled capital","company_1_data,Company 2","company_1_data","101010"
,,"Company 2","101010"
"Share premium account","company_1_data,Company 2","company_1_data","110000"
,,"Company 2","110000"
"Revaluation surpluses on intangible fixed assets","company_1_data,Company 2","company_1_data","120000"
,,"Company 2","120000"
"Revaluation surpluses on tangible fixed assets","company_1_data,Company 2","company_1_data","121010"
,,"Company 2","121010"
"Trade debtors within one year - Customer","company_1_data,Company 2","company_1_data","400010"
,,"Company 2","400010"
"Remuneration and social security - Remuneration","company_1_data,Company 2","company_1_data","455000"
,,"Company 2","455000"
"Bank of Company 1","company_1_data","company_1_data","550003"
"Bank of Company 2","Company 2","Company 2","550003"
"Cash","company_1_data,Company 2","company_1_data","570001"
,,"Company 2","570001"
"Purchases of raw material","company_1_data,Company 2","company_1_data","600010"
,,"Company 2","600010"
"Remuneration and direct social benefits - Employees","company_1_data,Company 2","company_1_data","620200"
,,"Company 2","620200"
"Financial charges - Exchange differences","company_1_data,Company 2","company_1_data","654000"
,,"Company 2","654000"
"Sales rendered in Belgium (marchandises)","company_1_data,Company 2","company_1_data","700000"
,,"Company 2","700000"
"Sales rendered for export (marchandises)","company_1_data,Company 2","company_1_data","700200"
,,"Company 2","700200"
