"id","description","type_tax_use","name","amount_type","amount","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id"
"ST16","Sales VAT (16%)","sale","Sales VAT (16%)","percent","16.0","tax_group_16","base","invoice","+16% Sales Base","",""
"","","","","","","","tax","invoice","+16% Sales Tax","100","ke2200"
"","","","","","","","base","refund","-16% Sales Base","",""
"","","","","","","","tax","refund","-16% Sales Tax","100","ke2200"
"ST8","Sales VAT (8%)","sale","Sales VAT (8%)","percent","8.0","tax_group_8","base","invoice","+8% Sales Base","",""
"","","","","","","","tax","invoice","+8% Sales Tax","100","ke2200"
"","","","","","","","base","refund","-8% Sales Base","",""
"","","","","","","","tax","refund","-8% Sales Tax","100","ke2200"
"ST0","Sales VAT Zero Rated","sale","Sales VAT Zero Rated (0%)","percent","0.0","tax_group_0","base","invoice","+Zero Rated Sales Base","",""
"","","","","","","","tax","invoice","","100",""
"","","","","","","","base","refund","-Zero Rated Sales Base","",""
"","","","","","","","tax","refund","","100",""
"STEX","Sales VAT Exempt","sale","Sales VAT Exempt","percent","0.0","tax_group_0","base","invoice","+Exempt Sales Base","",""
"","","","","","","","tax","invoice","","100",""
"","","","","","","","base","refund","-Exempt Sales Base","",""
"","","","","","","","tax","refund","","100",""
"SWT3","3%","sale","3% WHT","percent","-3.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke1120"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke1120"
"SWT5","5%","sale","5% WHT","percent","-5.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke1120"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke1120"
"SWT10","10%","sale","10% WHT","percent","-10.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke1120"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke1120"
"SWT12","12%","sale","12% WHT","percent","-12.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke1120"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke1120"
"SWT15","15%","sale","15% WHT","percent","-15.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke1120"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke1120"
"SWT20","20%","sale","20% WHT","percent","-20.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke1120"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke1120"
"SWT25","25%","sale","25% WHT","percent","-25.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke1120"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke1120"
"SWT30","30%","sale","30% WHT","percent","-30.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke1120"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke1120"
"PT16","Purchases VAT (16%)","purchase","Purchases VAT (16%)","percent","16.0","tax_group_16","base","invoice","+16% Purchases Base","",""
"","","","","","","","tax","invoice","+16% Purchases Tax","100","ke1110"
"","","","","","","","base","refund","-16% Purchases Base","",""
"","","","","","","","tax","refund","-16% Purchases Tax","100","ke1110"
"PT8","Purchases VAT (8%)","purchase","Purchases VAT (8%)","percent","8.0","tax_group_8","base","invoice","+8% purchases Base","",""
"","","","","","","","tax","invoice","+8% Purchases Tax","100","ke1110"
"","","","","","","","base","refund","-8% purchases Base","",""
"","","","","","","","tax","refund","-8% Purchases Tax","100","ke1110"
"PT0","Purchases VAT Zero rated","purchase","Purchases VAT Zero rated (0%)","percent","0.0","tax_group_0","base","invoice","+Zero Rated Purchases Base","",""
"","","","","","","","tax","invoice","","100",""
"","","","","","","","base","refund","-Zero Rated Purchases Base","",""
"","","","","","","","tax","refund","","100",""
"PTEX","Purchase VAT Exempt","purchase","Purchase VAT Exempt","percent","0.0","tax_group_0","base","invoice","+Exempt Purchases Base","",""
"","","","","","","","tax","invoice","","100",""
"","","","","","","","base","refund","-Exempt Purchases Base","",""
"","","","","","","","tax","refund","","100",""
"PWT3","3%","purchase","3% WHT","percent","-3.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke2203"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke2203"
"PWT5","5%","purchase","5% WHT","percent","-5.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke2203"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke2203"
"PWT10","10%","purchase","10% WHT","percent","-10.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke2203"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke2203"
"PWT12","12%","purchase","12% WHT","percent","-12.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke2203"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke2203"
"PWT15","15%","purchase","15% WHT","percent","-15.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke2203"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke2203"
"PWT20","20%","purchase","20% WHT","percent","-20.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke2203"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke2203"
"PWT25","25%","purchase","25% WHT","percent","-25.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke2203"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke2203"
"PWT30","30%","purchase","30% WHT","percent","-30.0","tax_group_withholding","base","invoice","","",""
"","","","","","","","tax","invoice","","","ke2203"
"","","","","","","","base","refund","","",""
"","","","","","","","tax","refund","","","ke2203"
