"id","name","code","account_type","reconcile","tag_ids","non_trade","name@es","description","description@es","asset_model_ids"
"cuenta102_02","Foreign currency bank transfers","102.02.01","asset_current","True","l10n_mx.tag_debit_balance_account","","Transferencias bancarias moneda extranjera","","",""
"cuenta105_01","Domestic customers","105.01.01","asset_receivable","True","l10n_mx.tag_debit_balance_account","","Clientes nacionales","","",""
"cuenta105_02","National customers (PoS)","105.01.02","asset_receivable","True","l10n_mx.tag_debit_balance_account","","Clientes nacionales (PoS)","","",""
"cuenta105_02_01","Foreign Customers","105.02.01","asset_receivable","True","l10n_mx.tag_debit_balance_account","","Clientes Extranjeros","Debts of customers outside of Mexico","Cuentas por cobrar de clientes fuera de México",""
"cuenta107_01_01","Officers and Employees","107.01.01","asset_receivable","True","l10n_mx.tag_debit_balance_account","","Funcionarios y Empleados","Loans to your employees","Préstamos al personal",""
"cuenta107_05_01","Goods Shipped - No Invoices","107.05.01","asset_current","True","l10n_mx.tag_debit_balance_account","","Mercancías Enviadas - No Facturas","","",""
"cuenta108_01","Allowance for doubtful accounts national","108.01.01","asset_current","True","l10n_mx.tag_debit_balance_account","","Estimación de cuentas incobrables nacional","","",""
"cuenta108_02","Allowance for doubtful accounts foreign","108.02.01","asset_current","True","l10n_mx.tag_debit_balance_account","","Estimación de cuentas incobrables extranjero","","",""
"cuenta110_01","Employment subsidy to apply","110.01.01","asset_current","True","l10n_mx.tag_debit_balance_account","","Subsidio al empleo por aplicar","","",""
"cuenta113_01","VAT credit","113.01.01","asset_receivable","True","l10n_mx.tag_debit_balance_account","True","IVA a favor","","",""
"cuenta113_02_01","ISR Credit","113.02.01","asset_receivable","True","l10n_mx.tag_debit_balance_account","True","ISR a favor","","",""
"cuenta113_02_02","ISR Withheld","113.02.02","asset_current","False","l10n_mx.tag_debit_balance_account","","ISR Retenido","","",""
"cuenta113_08","Other taxes credit","113.08.01","asset_receivable","True","l10n_mx.tag_debit_balance_account","True","Otros impuestos a favor","","",""
"cuenta115_01","Inventory","115.01.01","asset_current","False","l10n_mx.tag_debit_balance_account","","Inventario","Goods stored in your warehouse, as part of your activity","Bienes almacenados en su almacén, como parte de su actividad",""
"cuenta115_02","Raw materials","115.02.01","asset_current","False","l10n_mx.tag_debit_balance_account","","Materia prima","All goods purchased as raw materials used by your activity","Todos los bienes comprados como materia prima utilizada por su actividad",""
"cuenta115_03","Production in progress","115.03.01","asset_current","False","l10n_mx.tag_debit_balance_account","","Producción en proceso","","",""
"cuenta115_04","Finished products","115.04.01","asset_current","False","l10n_mx.tag_debit_balance_account","","Productos terminados","","",""
"cuenta115_05","Goods in transit","115.05.01","asset_current","True","l10n_mx.tag_debit_balance_account","","Mercancías en tránsito","Merchandise pending receipt if periodic valuation is used","Mercancía pendiente por recibir si se usa valoración periódica",""
"cuenta115_06","Goods held by third parties","115.06.01","asset_current","False","l10n_mx.tag_debit_balance_account","","Mercancías en poder de terceros","","",""
"cuenta118_01","Creditable VAT paid","118.01.01","asset_current","False","l10n_mx.tag_debit_balance_account","","IVA acreditable pagado","","",""
"cuenta118_01_02","Creditable VAT paid at 8%","118.01.02","asset_current","False","l10n_mx.tag_debit_balance_account","","IVA acreditable pagado al 8%","","",""
"cuenta118_02","Creditable import VAT paid","118.02.01","asset_current","False","l10n_mx.tag_debit_balance_account","","IVA acreditable de importación pagado","","",""
"cuenta118_03","IEPS creditable paid","118.03.01","asset_current","False","l10n_mx.tag_debit_balance_account","","IEPS acreditable pagado","","",""
"cuenta119_01","VAT due","119.01.01","asset_current","True","l10n_mx.tag_debit_balance_account","","IVA pendiente de pago","","",""
"cuenta119_01_02","Freight VAT due","119.01.02","asset_current","True","l10n_mx.tag_debit_balance_account","","Flete IVA pendiente de pago","","",""
"cuenta119_01_03","Honorarium VAT due","119.01.03","asset_current","True","l10n_mx.tag_debit_balance_account","","Honorarios IVA pendiente de pago","","",""
"cuenta119_01_04","Lease VAT due","119.01.04","asset_current","True","l10n_mx.tag_debit_balance_account","","Arrendamiento IVA pendiente de pago","","",""
"cuenta119_02","Importation VAT due","119.02.01","asset_current","True","l10n_mx.tag_debit_balance_account","","IVA de importación pendiente de pago","","",""
"cuenta119_03","IEPS due","119.03.01","asset_current","True","l10n_mx.tag_debit_balance_account","","IEPS pendiente","","",""
"cuenta120_01","Advance to national suppliers","120.01.01","asset_current","True","l10n_mx.tag_debit_balance_account","","Anticipo a proveedores nacional","","",""
"cuenta120_02","Advance payment to foreign suppliers","120.02.01","asset_current","True","l10n_mx.tag_debit_balance_account","","Anticipo a proveedores extranjero","","",""
"cuenta153_01_01","Machinery & equipment","153.01.01","asset_fixed","False","l10n_mx.tag_debit_balance_account","","Maquinaria y Equipo","Heavy machinery like cranes, harvesters, generators or specialized tools","Maquinaria pesada como grúas, cosechadoras, generadores o herramientas especiales","asset_5_years_1"
"cuenta154_01_01","Vehicles","154.01.01","asset_fixed","False","l10n_mx.tag_debit_balance_account","","Vehículos","Purchase of a car, including second hand or after-lease contract","Compra de un coche, incluyendo segunda mano o después de un contrato de arrendamiento","asset_5_years_4"
"cuenta155_01_01","Furniture & Office Equipment","155.01.01","asset_fixed","False","l10n_mx.tag_debit_balance_account","","Mobiliario y Equipo de Oficina","Furniture like desks, chairs, and sofas and office equipment like whiteboards, printers and shredders.","Mobiliario como escritorios, sillas y sofás y equipos de oficina como pizarras, impresoras y destructoras de papel","asset_5_years_3"
"cuenta156_01_01","Technology","156.01.01","asset_fixed","False","l10n_mx.tag_debit_balance_account","","Tecnología","Computers, tablets and similar machines","Computadoras, tabletas y otros equipos de cómputo","asset_3_years_1"
"cuenta168_01_01","Renewable Energy Technology Installation","168.01.01","asset_fixed","False","l10n_mx.tag_debit_balance_account","","Instalación de Tecnología de Energía Renovable","Machinery and equipment for energy generation from renewable sources or efficient electricity cogeneration systems","Maquinaria y equipo para la generación de energía a partir de fuentes renovables o sistemas eficientes de cogeneración de electricidad","asset_10_years"
"cuenta169_01_01","Other Machines & Equipment","169.01.01","asset_fixed","False","l10n_mx.tag_debit_balance_account","","Otra Maquinaria y Equipo","Other type of machinery or various equipment","Otro tipo de maquinaria o equipo diverso","asset_5_years_2"
"cuenta170_01_01","Upgrades and Retrofits","170.01.01","asset_fixed","False","l10n_mx.tag_debit_balance_account","","Adaptaciones y Mejoras","Upgrades to machinery, vehicles and equipment.","Mejoras en maquinaria, vehículos y equipos","asset_3_years_2"
"cuenta171_02_01","Acumulated Depreciation Machines & equipment","171.02.01","expense_depreciation","False","l10n_mx.tag_debit_balance_account","","Depreciación Acumulada Maquinaria y equipo","Cumulative depreciation General industrial machinery and heavy equipment used in production that does not fall into a more specific category","Depreciación acumulada Maquinaria industrial general y equipo pesado utilizado en producción que no cae en una categoría más específica",""
"cuenta171_03_01","Acumulated Depreciation Vehicles","171.03.01","expense_depreciation","False","l10n_mx.tag_debit_balance_account","","Depreciación Acumulada de Vehículos","Cumulative depreciation of all company vehicles, including cars, trucks, buses, and forklifts","Depreciación acumulada de todos los vehículos de la compañía, incluyendo autos, camiones, autobuses y montacargas.",""
"cuenta171_04_01","Acumulated Depreciation Furniture & office equipment","171.04.01","expense_depreciation","False","l10n_mx.tag_debit_balance_account","","Depreciación Acumulada Mobiliario y Equipo de Oficina","Cumulative depreciation for desks, chairs, filing cabinets, and other office furnishings","Depreciación acumulada de escritorios, sillas, archivadores y otros muebles de oficina",""
"cuenta171_05_01","Acumulated Depreciation Technology","171.05.01","expense_depreciation","False","l10n_mx.tag_debit_balance_account","","Tecnología de Depreciación Acumulada","The cumulative depreciation of computer equipment such as laptops, servers, desktops, and peripherals","La depreciación acumulada de equipos informáticos como portátiles, servidores, ordenadores de sobremesa y periféricos.",""
"cuenta171_16_01","Acumulated Depreciation Renewable Energy Technology Installation","171.16.01","expense_depreciation","False","l10n_mx.tag_debit_balance_account","","Depreciación Acumulada Instalación de Tecnología de Energía Renovable","Cumulative depreciation of machinery and equipment used for generating energy from renewable sources (e.g., solar panels, wind turbines)","Depreciación acumulada de la maquinaria y equipos utilizados para generar energía a partir de fuentes renovables (por ejemplo, paneles solares, turbinas eólicas)",""
"cuenta171_17_01","Acumulated Depreciation Upgrades and Retrofits","171.17.01","expense_depreciation","False","l10n_mx.tag_debit_balance_account","","Depreciación Acumulada Mejoras y Adaptaciones","Cumulative depreciation of significant improvements or adaptations made to existing assets (e.g., building renovations)","Depreciación acumulada de mejoras o adaptaciones significativas realizadas a activos existentes (p. ej., renovaciones de edificios)",""
"cuenta171_18_01","Acumulated Depreciation Other Machines & equipment","171.18.01","expense_depreciation","False","l10n_mx.tag_debit_balance_account","","Depreciación Acumulada Otra Maquinaria y Equipo","Cumulative depreciation of machinery that is not strictly ""production"" or ""renewable energy""","Depreciación acumulada de la maquinaria que no es estrictamente de ""producción"" o de ""energía renovable""",""
"cuenta173_01","Deferred Expenses","173.01.01","asset_current","True","l10n_mx.tag_debit_balance_account","","Gastos diferidos","Deferred expenses greater than one year that yield benefits over time","Gastos diferidos mayores a un año que generan beneficios con el tiempo","asset_1_year"
"cuenta179_01_01","Brands and Patents","179.01.01","asset_fixed","False","l10n_mx.tag_debit_balance_account","","Marcas y Patentes","Exclusive right granted by a state for a limited time to an inventor in exchange for publicly disclosing the invention.","Derecho exclusivo concedido por tiempo limitado a un inventor a cambio de divulgar públicamente la invención","asset_6_6_years"
"cuenta183_01_01","Acumulated Amortization of Deffered Expenses","183.01.01","expense_depreciation","False","l10n_mx.tag_debit_balance_account","","Amortización Acumulada de Gastos Diferidos","Cumulative amortization of deferred charges, such as prepaid insurance or installation expenses that are amortized over time","Amortización acumulada de cargos diferidos, como el seguro prepagado o los gastos de instalación que se amortizan con el tiempo",""
"cuenta183_07_01","Acumulated Amortization Brands and Patents","183.07.01","expense_depreciation","False","l10n_mx.tag_debit_balance_account","","Amortización Acumulada Marcas y Patentes","Cumulative amortization (value consumption) of intangible assets like purchased brands, trademarks, or patents","Amortización acumulada (consumo de valor) de activos intangibles como marcas compradas, marcas registradas o patentes",""
"cuenta201_01","National suppliers","201.01.01","liability_payable","True","l10n_mx.tag_credit_balance_account","","Proveedores nacionales","","",""
