"id","name","code_prefix_start","name@es"
"account_group_activos","Active","1","Activos"
"account_subgroup_activo_a_corto_plazo","Short-term assets","100.01","Activo a corto plazo"
"account_subgroup_caja","Cash","101","Caja"
"account_subgroup_caja_y_efectivo","Cash in hand","101.01","Caja y efectivo"
"account_subgroup_bancos","Bank","102","Banco"
"account_subgroup_bancos_nacionales","National banks","102.01","Bancos nacionales"
"account_subgroup_bancos_extranjeros","Foreign banks","102.02","Bancos extranjeros"
"account_subgroup_inversiones","Investments","103","Inversiones"
"account_subgroup_inversiones_temporales","Temporary investments","103.01","Inversiones temporales"
"account_subgroup_inversiones_en_fideicomisos","Investments in trusts","103.02","Inversiones en fideicomisos"
"account_subgroup_otras_inversiones","Other investments","103.03","Otras inversiones"
"account_subgroup_otros_instrumentos_financieros","Other financial instruments","104","Otros instrumentos financieros"
"account_subgroup_otros_instrumentos_financieros_1","Other financial instruments","104.01","Otros instrumentos financieros"
"account_subgroup_clientes","Clients","105","Clientes"
"account_subgroup_clientes_nacionales","National customers","105.01","Clientes nacionales"
"account_subgroup_clientes_extranjeros","Foreign customers","105.02","Clientes extranjeros"
"account_subgroup_clientes_nacionales_parte_relacionada","National customers related party","105.03","Clientes nacionales parte relacionada"
"account_subgroup_clientes_extranjeros_parte_relacionada","Foreign customers related party","105.04","Clientes extranjeros parte relacionada"
"account_subgroup_cuentas_y_documentos_por_cobrar_a_corto_plazo","Short-term accounts and notes receivable","106","Cuentas y documentos por cobrar a corto plazo"
"account_subgroup_cuentas_y_documentos_por_cobrar_a_corto_plazo_nacional","Domestic short-term accounts and notes receivable","106.01","Cuentas y documentos por cobrar a corto plazo nacional"
"account_subgroup_cuentas_y_documentos_por_cobrar_a_corto_plazo_extranjero","Foreign short-term accounts and notes receivable","106.02","Cuentas y documentos por cobrar a corto plazo extranjero"
"account_subgroup_cuentas_y_documentos_por_cobrar_a_corto_plazo_nacional_parte_relacionada","Domestic short-term accounts and notes receivable related party","106.03","Cuentas y documentos por cobrar a corto plazo nacional parte relacionada"
"account_subgroup_cuentas_y_documentos_por_cobrar_a_corto_plazo_extranjero_parte_relacionada","Foreign short-term accounts and notes receivable foreign related party","106.04","Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada"
"account_subgroup_intereses_por_cobrar_a_corto_plazo_nacional","Short-term interest receivable domestic","106.05","Intereses por cobrar a corto plazo nacional"
"account_subgroup_intereses_por_cobrar_a_corto_plazo_extranjero","Foreign short-term interest receivable","106.06","Intereses por cobrar a corto plazo extranjero"
"account_subgroup_intereses_por_cobrar_a_corto_plazo_nacional_parte_relacionada","Short-term interest receivable domestic related party","106.07","Intereses por cobrar a corto plazo nacional parte relacionada"
"account_subgroup_intereses_por_cobrar_a_corto_plazo_extranjero_parte_relacionada","Foreign short-term interest receivable foreign related party","106.08","Intereses por cobrar a corto plazo extranjero parte relacionada"
"account_subgroup_otras_cuentas_y_documentos_por_cobrar_a_corto_plazo","Other short-term accounts and notes receivable","106.09","Otras cuentas y documentos por cobrar a corto plazo"
"account_subgroup_otras_cuentas_y_documentos_por_cobrar_a_corto_plazo_parte_relacionada","Other short-term accounts and notes receivable related party","106.10","Otras cuentas y documentos por cobrar a corto plazo parte relacionada"
"account_subgroup_deudores_diversos","Sundry debtors","107","Deudores diversos"
