"id","name","sequence","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@hr"
"fiscal_position_hr_exempt","Exempt taxpayer","","","","","","VAT_S_IN_ROC_5","VAT_S_other_exempt_O","Oslobođeni porezni obveznik"
"","","","","","","","VAT_S_IN_ROC_13","VAT_S_other_exempt_O",""
"","","","","","","","VAT_S_IN_ROC_25","VAT_S_other_exempt_O",""
"","","","","","","","VAT_S_IN_ROC_5","VAT_P_O",""
"","","","","","","","VAT_S_IN_ROC_13","VAT_P_O",""
"","","","","","","","VAT_S_IN_ROC_25","VAT_P_O",""
"fiscal_position_hr_national","Domestic","10","1","1","base.hr","","","","Domaći"
"fiscal_position_hr_person_private","Partner private","20","1","","","base.europe","","","Partner privatno"
"fiscal_position_hr_eu","EU partner","30","1","1","","base.europe","VAT_S_IN_ROC_5","VAT_S_EU_G","ja partner"
"","","","","","","","VAT_S_IN_ROC_13","VAT_S_EU_G",""
"","","","","","","","VAT_S_IN_ROC_25","VAT_S_EU_G",""
"","","","","","","","VAT_P_IN_ROC_5","VAT_P_G_IN_EU_5",""
"","","","","","","","VAT_P_IN_ROC_13","VAT_P_G_IN_EU_13",""
"","","","","","","","VAT_P_IN_ROC_25","VAT_P_G_IN_EU_25",""
"fiscal_position_hr_eu_out","Partner outside the EU","40","1","","","","VAT_S_IN_ROC_5","VAT_S_EX_O","Partner izvan EU"
"","","","","","","","VAT_S_IN_ROC_13","VAT_S_EX_O",""
"","","","","","","","VAT_S_IN_ROC_25","VAT_S_EX_O",""
"","","","","","","","VAT_P_IN_ROC_5","VAT_P_NOT_IN_EU_5",""
"","","","","","","","VAT_P_IN_ROC_13","VAT_P_NOT_IN_EU_13",""
"","","","","","","","VAT_P_IN_ROC_25","VAT_P_NOT_IN_EU_25",""
