"id","code","uom_code","name"
"tariff_fraction_0101210100","0101210100","07","Reproductores de raza pura."
"tariff_fraction_0101290200","0101290200","06","Sin pedigree, para reproducción."
"tariff_fraction_0101290300","0101290300","06","Para abasto, cuando la importación la realicen empacadoras Tipo Inspección Federal."
"tariff_fraction_0101299901","0101299901","06","Para saltos o carreras."
"tariff_fraction_0101299999","0101299999","06","Los demás."
"tariff_fraction_0101300100","0101300100","07","Asnos."
"tariff_fraction_0101909900","0101909900","07","Los demás."
"tariff_fraction_0102210100","0102210100","07","Reproductores de raza pura."
"tariff_fraction_0102290100","0102290100","06","Vacas lecheras."
"tariff_fraction_0102290200","0102290200","06","Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción arancelaria 0102.29.01."
"tariff_fraction_0102299900","0102299900","06","Los demás."
"tariff_fraction_0102310100","0102310100","07","Reproductores de raza pura."
"tariff_fraction_0102399900","0102399900","07","Los demás."
"tariff_fraction_0102909900","0102909900","07","Los demás."
"tariff_fraction_0103100100","0103100100","07","Reproductores de raza pura."
"tariff_fraction_0103910100","0103910100","07","Con pedigree o certificado de alto registro."
"tariff_fraction_0103919900","0103919900","07","Los demás."
"tariff_fraction_0103920100","0103920100","07","Con pedigree o certificado de alto registro."
"tariff_fraction_0103929900","0103929900","07","Los demás."
"tariff_fraction_0104100100","0104100100","06","Con pedigree o certificado de alto registro."
"tariff_fraction_0104109901","0104109901","06","Para abasto."
"tariff_fraction_0104109999","0104109999","06","Los demás."
"tariff_fraction_0104200100","0104200100","07","Con pedigree o certificado de alto registro."
"tariff_fraction_0104200200","0104200200","07","Borrego cimarrón."
"tariff_fraction_0104209900","0104209900","07","Los demás."
"tariff_fraction_0105110301","0105110301","06","Aves reproductoras de la línea de postura."
"tariff_fraction_0105110302","0105110302","06","Aves reproductoras de la línea de engorda."
"tariff_fraction_0105110303","0105110303","06","Aves progenitoras de la línea de engorda."
"tariff_fraction_0105110391","0105110391","06","Las demás de postura."
"tariff_fraction_0105110392","0105110392","06","Las demás de engorda."
"tariff_fraction_0105119900","0105119900","06","Los demás."
"tariff_fraction_0105120100","0105120100","06","Pavos (gallipavos)."
"tariff_fraction_0105130100","0105130100","07","Patos."
"tariff_fraction_0105140100","0105140100","07","Gansos."
"tariff_fraction_0105150100","0105150100","07","Pintadas."
"tariff_fraction_0105940100","0105940100","07","Gallos de pelea."
"tariff_fraction_0105949900","0105949900","07","Los demás."
"tariff_fraction_0105999900","0105999900","07","Los demás."
"tariff_fraction_0106110100","0106110100","07","Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus."
"tariff_fraction_0106119900","0106119900","07","Los demás."
"tariff_fraction_0106120100","0106120100","07","Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)."
"tariff_fraction_0106130100","0106130100","07","Camellos y demás camélidos (Camelidae)."
"tariff_fraction_0106140100","0106140100","07","Conejos y liebres."
"tariff_fraction_0106190200","0106190200","07","Venado rojo (Cervus elaphus); gamo (Dama dama)."
"tariff_fraction_0106199901","0106199901","07","Perros."
"tariff_fraction_0106199999","0106199999","07","Los demás."
"tariff_fraction_0106200400","0106200400","07","Reptiles (incluidas las serpientes y tortugas de mar)."
"tariff_fraction_0106310100","0106310100","06","Aves de rapiña."
"tariff_fraction_0106320100","0106320100","07","Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)."
"tariff_fraction_0106330100","0106330100","07","Avestruces; emúes (Dromaius novaehollandiae)."
"tariff_fraction_0106399900","0106399900","07","Las demás."
"tariff_fraction_0106410100","0106410100","01","Abejas."
"tariff_fraction_0106499900","0106499900","01","Los demás."
"tariff_fraction_0106900200","0106900200","01","Lombriz Rebellus (Lumbricus rubellus)."
"tariff_fraction_0106900300","0106900300","01","Lombriz acuática."
"tariff_fraction_0106900400","0106900400","01","Ácaros Phytoseiulus persimilis."
"tariff_fraction_0106909900","0106909900","06","Los demás."
"tariff_fraction_0201100100","0201100100","01","En canales o medias canales."
"tariff_fraction_0201209100","0201209100","01","Los demás cortes (trozos) sin deshuesar."
"tariff_fraction_0201300100","0201300100","01","Deshuesada."
"tariff_fraction_0202100100","0202100100","01","En canales o medias canales."
"tariff_fraction_0202209100","0202209100","01","Los demás cortes (trozos) sin deshuesar."
"tariff_fraction_0202300100","0202300100","01","Deshuesada."
"tariff_fraction_0203110100","0203110100","01","En canales o medias canales."
"tariff_fraction_0203120101","0203120101","01","Paletas y sus trozos."
"tariff_fraction_0203120102","0203120102","01","Piernas y sus trozos."
"tariff_fraction_0203199900","0203199900","01","Las demás."
"tariff_fraction_0203210100","0203210100","01","En canales o medias canales."
"tariff_fraction_0203220101","0203220101","01","Paletas y sus trozos."
"tariff_fraction_0203220102","0203220102","01","Piernas y sus trozos."
"tariff_fraction_0203299900","0203299900","01","Las demás."
"tariff_fraction_0204100100","0204100100","01","Canales o medias canales de cordero, frescas o refrigeradas."
"tariff_fraction_0204210100","0204210100","01","En canales o medias canales."
"tariff_fraction_0204229100","0204229100","01","Los demás cortes (trozos) sin deshuesar."
"tariff_fraction_0204230100","0204230100","01","Deshuesadas."
"tariff_fraction_0204300100","0204300100","01","Canales o medias canales de cordero, congeladas."
"tariff_fraction_0204410100","0204410100","01","En canales o medias canales."
"tariff_fraction_0204429100","0204429100","01","Los demás cortes (trozos) sin deshuesar."
"tariff_fraction_0204430100","0204430100","01","Deshuesadas."
"tariff_fraction_0204500100","0204500100","01","Carne de animales de la especie caprina."
"tariff_fraction_0205000100","0205000100","01","Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada."
"tariff_fraction_0206100100","0206100100","01","De la especie bovina, frescos o refrigerados."
"tariff_fraction_0206210100","0206210100","01","Lenguas."
"tariff_fraction_0206220100","0206220100","01","Hígados."
"tariff_fraction_0206299900","0206299900","01","Los demás."
"tariff_fraction_0206300100","0206300100","01","Pieles de cerdo enteras o en recortes, refrigerados, excepto el cuero precocido en trozos (""pellets"")."
"tariff_fraction_0206309900","0206309900","01","Los demás."
"tariff_fraction_0206410100","0206410100","01","Hígados."
"tariff_fraction_0206490100","0206490100","01","Pieles de cerdo enteras o en recortes, excepto el cuero precocido en trozos (""pellets"")."
"tariff_fraction_0206499900","0206499900","01","Los demás."
"tariff_fraction_0206809100","0206809100","01","Los demás, frescos o refrigerados."
"tariff_fraction_0206909100","0206909100","01","Los demás, congelados."
"tariff_fraction_0207110100","0207110100","01","Sin trocear, frescos o refrigerados."
"tariff_fraction_0207120100","0207120100","01","Sin trocear, congelados."
"tariff_fraction_0207130401","0207130401","01","Mecánicamente deshuesados (pastas)."
"tariff_fraction_0207130402","0207130402","01","Carcasas."
"tariff_fraction_0207130403","0207130403","01","Piernas, muslos o piernas unidas al muslo."
"tariff_fraction_0207130404","0207130404","01","Alas y sus partes."
"tariff_fraction_0207130405","0207130405","01","Pechuga, sus trozos y recortes, con hueso."
"tariff_fraction_0207130406","0207130406","01","Filetes de pechuga y pechuga, sus trozos y recortes, sin hueso (deshuesada)."
"tariff_fraction_0207130499","0207130499","01","Los demás."
"tariff_fraction_0207140200","0207140200","01","Hígados."
"tariff_fraction_0207149901","0207149901","01","Mecánicamente deshuesados (pastas)."
"tariff_fraction_0207149902","0207149902","01","Piernas, muslos o piernas unidas al muslo."
"tariff_fraction_0207149903","0207149903","01","Alas y sus partes."
"tariff_fraction_0207149904","0207149904","01","Pechuga, sus trozos y recortes, con hueso."
"tariff_fraction_0207149905","0207149905","01","Filetes de pechuga y pechuga, sus trozos y recortes, sin hueso (deshuesada)."
"tariff_fraction_0207149999","0207149999","01","Los demás."
"tariff_fraction_0207240100","0207240100","01","Sin trocear, frescos o refrigerados."
"tariff_fraction_0207250100","0207250100","01","Sin trocear, congelados."
"tariff_fraction_0207260301","0207260301","01","Mecánicamente deshuesados (pastas)."
"tariff_fraction_0207260399","0207260399","01","Los demás."
"tariff_fraction_0207270200","0207270200","01","Hígados."
"tariff_fraction_0207279901","0207279901","01","Mecánicamente deshuesados (pastas)."
"tariff_fraction_0207279999","0207279999","01","Los demás."
"tariff_fraction_0207410100","0207410100","01","Sin trocear, frescos o refrigerados."
"tariff_fraction_0207420100","0207420100","01","Sin trocear, congelados."
"tariff_fraction_0207430100","0207430100","01","Hígados grasos, frescos o refrigerados."
"tariff_fraction_0207449100","0207449100","01","Los demás, frescos o refrigerados."
"tariff_fraction_0207450100","0207450100","01","Hígados."
"tariff_fraction_0207459900","0207459900","01","Los demás."
"tariff_fraction_0207510100","0207510100","01","Sin trocear, frescos o refrigerados."
"tariff_fraction_0207520100","0207520100","01","Sin trocear, congelados."
"tariff_fraction_0207530100","0207530100","01","Hígados grasos, frescos o refrigerados."
