"id","name","description","invoice_label","tax_scope","type_tax_use","amount","amount_type","tax_group_id","fiscal_position_ids","original_tax_ids","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/factor","repartition_line_ids/account_id","repartition_line_ids/tag_ids","name@cs","description@cs","invoice_label@cs","invoice_legal_notes"
"l10n_cz_other_transaction_deduction","0% Exempt","Other Taxable Fulfillment With Applicable Tax-exemption","Tax exemption according to VAT Law no. 235/2004","","sale","0","percent","tax_group_vat_0","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 26","0 % Osvobozeno","Ostatní uskutečněná plnění s nárokem na odpočet daně","Osvobozeno od daně podle zákona o DPH č. 235/2004",""
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 26","","","",""
"","","","","","","","","","","","100","tax","refund","1","","","","","",""
"l10n_cz_12_purchase_goods_eu","12% EU G","12% - EU Purchase of Goods","12% VAT","consu","purchase","12","percent","tax_group_vat_12","fiscal_position_intra_community","","100","base","invoice","1","","VAT 4 Base","12% EU G","12% - Pořízení zboží z jiného státu EU","12% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343112","VAT 4 Tax","","","",""
"","","","","","","","","","","","-100","tax","invoice","-1","chart_cz_343212","","chart_cz_343212","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 4 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343112","VAT 4 Tax","","","",""
"","","","","","","","","","","","-100","tax","refund","-1","","","","","",""
"l10n_cz_supply_goods_eu","0% EU G","0% Intra-Community (Goods)","The buyer is obligated to fill in the VAT amounts and pay the tax.","consu","sale","0","percent","tax_group_vat_0","fiscal_position_intra_community","l10n_cz_21_domestic_supplies,l10n_cz_12_domestic_supplies","100","base","invoice","1","","VAT 20","0% EU G","0 % uvnitř Společenství (zboží)","Daň odvede zákazník","Exempt intra-community supplies - Article 138 of the Directive 2006/112/EC"
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 20","","","",""
"","","","","","","","","","","","100","tax","refund","1","","","","","",""
"l10n_cz_21_acquisition_goods_eu","21% EU G","21% - EU Purchase of Goods","21% VAT","consu","purchase","21","percent","tax_group_vat_21","fiscal_position_intra_community","","100","base","invoice","1","","VAT 3 Base","21% EU G","21% - Pořízení zboží z jiného státu EU","21% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343121","VAT 3 Tax","","","",""
"","","","","","","","","","","","-100","tax","invoice","-1","chart_cz_343221","","chart_cz_343221","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 3 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343121","VAT 3 Tax","","","",""
"","","","","","","","","","","","-100","tax","refund","-1","","","","","",""
"l10n_cz_12_receipt_service_person_eu","12% EU S","12% - EU Purchase of Services","12% VAT","service","purchase","12","percent","tax_group_vat_12","fiscal_position_intra_community","","100","base","invoice","1","","VAT 6 Base","12% EU S","12% - Přijetí služby od osoby reg. k dani v jiném EU státě","12% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343112","VAT 6 Tax","","","",""
"","","","","","","","","","","","-100","tax","invoice","-1","chart_cz_343212","","chart_cz_343212","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 6 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343112","VAT 6 Tax","","","",""
"","","","","","","","","","","","-100","tax","refund","-1","","","","","",""
"l10n_cz_21_receipt_service_person_eu","21% EU S","21% - EU Purchase of Services","21% VAT","service","purchase","21","percent","tax_group_vat_21","fiscal_position_intra_community","","100","base","invoice","1","","VAT 5 Base","21% - Přijetí služby od osoby reg. k dani v jiném EU státě","21% DPH","",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343121","VAT 5 Tax","","","",""
"","","","","","","","","","","","-100","tax","invoice","-1","chart_cz_343221","","chart_cz_343221","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 5 Base","21% EU S","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343121","VAT 5 Tax","","","",""
"","","","","","","","","","","","-100","tax","refund","-1","","","","","",""
"l10n_cz_supply_service_eu","0% EU S","0% Intra-Community (Services)","The buyer is obligated to fill in the VAT amounts and pay the tax.","service","sale","0","percent","tax_group_vat_0","fiscal_position_intra_community","l10n_cz_21_domestic_supplies,l10n_cz_12_domestic_supplies,l10n_cz_other_transaction_deduction","100","base","invoice","1","","VAT 21","0% EU S","0 % uvnitř Společenství (služby)","Daň odvede zákazník","VAT Reverse charge - Article 196 of the Directive 2006/112/EC"
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 21","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343221","","","","",""
"l10n_cz_21_import_goods","21% EX G","21% - Purchase of Goods Outside EU","21% VAT","consu","purchase","21","percent","tax_group_vat_21","fiscal_position_extra_community","l10n_cz_21_receipt_domestic_supplies","100","base","invoice","1","","VAT 7 Base","21% EX G","21% - Dovoz zboží","21% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343121","VAT 7 Tax","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 7 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343121","VAT 7 Tax","","","",""
"l10n_cz_exempt_importation_goods","0% EX G","Import of Tax-exempt Goods","0% VAT","consu","purchase","0","percent","tax_group_vat_0","fiscal_position_extra_community","","100","base","invoice","1","","VAT 32","0% EX G","Osvobozený dovoz zboží","0% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 32","","","",""
"","","","","","","","","","","","100","tax","refund","1","","VAT 32","","","",""
"l10n_cz_investment_gold","0% Gold","Investment Gold","0% VAT","consu","sale","0","percent","tax_group_vat_0","fiscal_position_domestic_cz,fiscal_position_eu_private_cz","","100","base","invoice","1","","VAT 26","0% Zlato","Investiční zlato","0% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","","","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 26","","","",""
"","","","","","","","","","","","100","tax","refund","1","","","","","",""
"l10n_cz_12_import_goods","12% EX G","12% - Purchase of Goods Outside EU","12% VAT","consu","purchase","12","percent","tax_group_vat_12","fiscal_position_extra_community","l10n_cz_12_receipt_domestic_supplies","100","base","invoice","1","","VAT 8 Base","12% EX G","12% - Dovoz zboží","12% DPH",""
"","","","","","","","","","","","100","tax","invoice","1","chart_cz_343112","VAT 8 Tax","","","",""
"","","","","","","","","","","","100","base","refund","1","","VAT 8 Base","","","",""
"","","","","","","","","","","","100","tax","refund","1","chart_cz_343112","VAT 8 Tax","","","",""
"l10n_cz_21_receipt_service_person_non_eu","21% EX S","21% - Purchase of Services Outside EU","21% VAT","service","purchase","21","percent","tax_group_vat_21","fiscal_position_extra_community","l10n_cz_21_receipt_domestic_supplies","100","base","invoice","1","","VAT 12 Base","21% EX S","21% - Přijetí služby od osoby mimo EU","21% DPH",""
