"id","code_prefix_start","name"
"chart_cz_0","0","Dlouhodobý majetek"
"chart_cz_01","01","Dlouhodobý nehmotný majetek"
"chart_cz_012","012","Nehmotné výsledky výzkumu a vývoje"
"chart_cz_013","013","Software"
"chart_cz_014","014","Ostatní ocenitelná práva"
"chart_cz_015","015","Goodwill"
"chart_cz_016","016","Povolenky na emise"
"chart_cz_017","017","Preferenční limity"
"chart_cz_019","019","Ostatní dlouhodobý nehmotný majetek"
"chart_cz_02","02","Dlouhodobý hmotný majetek - odpisovaný"
"chart_cz_021","021","Stavby"
"chart_cz_022","022","Hmotné movité věci a jejich soubory"
"chart_cz_025","025","Pěstitelské celky trvalých porostů"
"chart_cz_026","026","Dospělá zvířata a jejich skupiny"
"chart_cz_027","027","Oceňovací rozdíl k nabytému majetku"
"chart_cz_029","029","Jiný dlouhodobý hmotný majetek"
"chart_cz_03","03","Dlouhodobý hmotný majetek - neodpisovaný"
"chart_cz_031","031","Pozemky"
"chart_cz_032","032","Umělecká díla a sbírky"
"chart_cz_04","04","Nedokončený dlouhodobý nehmotný a hmotný majetek"
"chart_cz_041","041","Pořízení dlouhodobého nehmotného majetku"
"chart_cz_042","042","Pořízení dlouhodobého hmotného majetku"
"chart_cz_043","043","Pořízení dlouhodobého finančního majetku"
"chart_cz_05","05","Poskytnuté zálohy na dlouhodobý majetek"
"chart_cz_051","051","Poskytnuté zálohy na dlouhodobý nehmotný majetek"
"chart_cz_052","052","Poskytnuté zálohy na dlouhodobý hmotný majetek"
"chart_cz_055","055","Poskytnuté zálohy na dlouhodobý finanční majetek"
"chart_cz_06","06","Dlouhodobý finanční majetek"
"chart_cz_061","061","Podíly - ovládaná a ovládajicí osoba"
"chart_cz_062","062","Podíly v účetních jednotkách pod podstatným vplyvem"
"chart_cz_063","063","Ostatní dlouhodobé cenné papíry a podíly"
"chart_cz_065","065","Dluhové cenné papíry držené do splatnosti"
"chart_cz_066","066","Zápůjčky a úvéry - ovládaná neno ovládajicí osoba"
"chart_cz_067","067","Zápůjčky a úvéry - podstatní vliv"
"chart_cz_068","068","Ostatní zápůjčky a úvéry"
"chart_cz_069","069","Jiný dlouhodobý finanční majetek"
"chart_cz_07","07","Oprávky k dlouhodobému nehmotnému majetku"
"chart_cz_072","072","Oprávky k nehmotným výsledkům výzkumu a vývoje"
"chart_cz_073","073","Oprávky k softwaru"
"chart_cz_074","074","Oprávky k ocenitelným právům"
"chart_cz_075","075","Oprávky ke goodwillu"
"chart_cz_079","079","Oprávky k ostatnímu dlouhodobému nehmotnému majetku"
"chart_cz_08","08","Oprávky k dlouhodobému hmotnému majetku"
"chart_cz_081","081","Oprávky k stavbám"
