id,code,name,note,account_type,reconcile,chart_template_id:id
account_template_101010101,1.01.01.01.01,"Caixa Matriz","Contas que registram valores em dinheiro e em cheques em caixa, recebidos e ainda não depositados, pagáveis irrestrita e imediatamente do estabelecimento matriz.",asset_cash,,l10n_br_account_chart_template
account_template_101010102,1.01.01.01.02,"Caixa Filiais","Contas que registram valores em dinheiro e em cheques em caixa, recebidos e ainda não depositados, pagáveis irrestrita e imediatamente dos estabelecimentos filiais.",asset_cash,,l10n_br_account_chart_template
account_template_101010201,1.01.01.02.01,"Bancos Conta Movimento - No País","Contas que registram disponibilidades, mantidas em instituições financeiras no país, não classificáveis em outras contas deste plano referencial. Aplicações financeiras devem receber classificação entre as contas específicas de instrumentos financeiros, p.ex. grupo 1.01.01.05.",asset_current,,l10n_br_account_chart_template
account_template_101010202,1.01.01.02.02,"Bancos Conta Movimento - No Exterior","Contas que registram disponibilidades, mantidas em instituições financeiras no exterior, não classificáveis em outras contas deste plano referencial. Aplicações financeiras devem receber classificação entre as contas específicas de instrumentos financeiros, p.ex. grupo 1.01.01.09.",asset_current,,l10n_br_account_chart_template
account_template_101010401,1.01.01.04.01,"Numerários em Trânsito","Contas que registram valores de numerários em trânsito decorrentes de remessas e/ou recebimentos para filiais, depósitos ou semelhantes, por meio de cheques, ordem de pagamentos etc., ou, ainda, de clientes ou terceiros.",asset_receivable,TRUE,l10n_br_account_chart_template
account_template_101010402,1.01.01.04.02,"Numerários em Trânsito (PoS)","PoS. Contas que registram valores de numerários em trânsito decorrentes de remessas e/ou recebimentos para filiais, depósitos ou semelhantes, por meio de cheques, ordem de pagamentos etc., ou, ainda, de clientes ou terceiros.",asset_receivable,TRUE,l10n_br_account_chart_template
account_template_101010501,1.01.01.05.01,"Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País","Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no país, sobre os quais há a intenção de negociação no curto prazo ou se a mensuração pelo valor justo diminuir ou eliminar alguma inconsistência de mensuração de acordo com a gestão financeira da empresa (fair value option) e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Os derivativos utilizados como hedge devem ser registrados no grupo 1.01.01.06.",asset_current,,l10n_br_account_chart_template
account_template_101010502,1.01.01.05.02,"Títulos Disponíveis para Venda - No País","Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no país, sobre os quais não há definição de quando nem quais condições vai negociá-los e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Contrapartida das alterações no seu valor justo, bem como custos de transação, devem ser reconhecidos no Patrimônio Líquido até a realização do ativo.",asset_current,,l10n_br_account_chart_template
account_template_101010503,1.01.01.05.03,"Títulos Mantidos até o Vencimento - No País","Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no país, não derivativos, com pagamentos fixos ou determináveis e com vencimento fixo, para os quais há a intenção e a capacidade de se manter até o vencimento e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo. Ações e outros títulos patrimonias não devem receber esta classificação. Títulos públicos e de renda fixa constumam receber esta classificação.",asset_current,,l10n_br_account_chart_template
account_template_101010510,1.01.01.05.10,"Debêntures emitidas por Partes Relacionadas - No País","Contas que registram as debêntures emitidas por empresas com sede no país, relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",asset_current,,l10n_br_account_chart_template
account_template_101010511,1.01.01.05.11,"Debêntures Emitidas por Partes Não Relacionadas - No País","Contas que registram as debêntures emitidas por empresas com sede no país, não relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",asset_current,,l10n_br_account_chart_template
account_template_101010515,1.01.01.05.15,"Outros Empréstimos e Recebíveis - No País","Contas que registram outros empréstimos e recebíveis cuja contraparte tenha sede ou domicílio no país e que não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Registram-se neste grupo ativos financeiros com pagamentos fixos ou determináveis não cotados em um mercado ativo. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo. Instrumentos financeiros representativos da indenização, decorrente da exploração de serviços públicos, constumam receber esta classificação(item 22, OCPC 05).",asset_current,,l10n_br_account_chart_template
account_template_101010550,1.01.01.05.50,"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Valores Mobiliários - No País","Contas que registram os ajustes a valor presente efetuados sobre os ativos financeiros no país. Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014).",asset_current,,l10n_br_account_chart_template
account_template_101010555,1.01.01.05.55,"(-) Perdas por Redução ao Valor Recuperável (Impairment)- Valores Mobiliários - No País","Contas que registram as perdas incorridas com base em evidências objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. Os títulos para negociação não estão sujeitos a teste de “impairment”. Esta conta também registra as eventuais reversões, não se admitindo para títulos patrimoniais. Referidos valores deverão ser adicionados ao Lucro Real, mantidos na Parte B do Lalur até ocorrência da alienação ou baixa do ativo, quando poderão ser excluídos do Lucro Real (art. 32, Lei nº 12.973/2014).",asset_current,,l10n_br_account_chart_template
