id,city_id:id,start,end
zip_range_0001,city_br_320,75345-000,75349-999
zip_range_0002,city_br_321,38540-000,38549-999
zip_range_0003,city_br_322,72940-000,72959-999
zip_range_0004,city_br_323,35620-000,35620-999
zip_range_0005,city_br_190,68440-000,68444-999
zip_range_0006,city_br_324,63240-000,63249-999
zip_range_0007,city_br_325,46690-000,46699-999
zip_range_0008,city_br_326,48680-000,48699-999
zip_range_0009,city_br_327,86460-000,86464-999
zip_range_0010,city_br_328,89636-000,89637-999
zip_range_0011,city_br_329,68527-000,68529-999
zip_range_0012,city_br_330,89830-000,89831-999
zip_range_0013,city_br_331,35365-000,35366-999
zip_range_0014,city_br_332,53500-001,53599-999
zip_range_0015,city_br_333,77693-000,77694-999
zip_range_0016,city_br_334,35438-000,35438-999
zip_range_0017,city_br_292,65930-000,65934-999
zip_range_0018,city_br_335,48360-000,48369-999
zip_range_0019,city_br_336,68690-000,68694-999
zip_range_0020,city_br_337,62785-000,62789-999
zip_range_0021,city_br_338,62580-000,62589-999
zip_range_0022,city_br_339,59370-000,59373-999
zip_range_0023,city_br_340,64748-000,64749-999
zip_range_0024,city_br_341,96445-000,96449-999
zip_range_0025,city_br_342,63560-000,63569-999
zip_range_0026,city_br_343,78480-000,78489-999
zip_range_0027,city_br_344,69945-000,69949-999
zip_range_0028,city_br_345,75960-000,75969-999
zip_range_0029,city_br_346,59650-000,59654-999
zip_range_0030,city_br_347,35147-000,35147-999
zip_range_0031,city_br_348,17800-000,17809-999
zip_range_0032,city_br_349,76155-000,76159-999
zip_range_0033,city_br_350,15230-000,15239-999
zip_range_0034,city_br_351,83490-000,83499-999
zip_range_0035,city_br_352,48435-000,48439-999
zip_range_0036,city_br_353,56800-000,56819-999
zip_range_0037,city_br_354,59510-000,59512-999
zip_range_0038,city_br_355,29600-000,29614-999
zip_range_0039,city_br_356,65505-000,65509-999
zip_range_0040,city_br_357,56360-000,56379-999
zip_range_0041,city_br_358,68890-000,68899-999
zip_range_0042,city_br_359,55495-000,55499-999
zip_range_0043,city_br_360,64440-000,64444-999
zip_range_0044,city_br_361,88420-000,88429-999
zip_range_0045,city_br_362,89188-000,89189-999
zip_range_0046,city_br_363,68533-000,68534-999
zip_range_0047,city_br_364,39790-000,39794-999
zip_range_0048,city_br_365,78635-000,78637-999
zip_range_0049,city_br_366,57490-000,57499-999
zip_range_0050,city_br_367,58748-000,58749-999
zip_range_0051,city_br_368,64460-000,64464-999
zip_range_0052,city_br_369,79680-000,79689-999
zip_range_0053,city_br_370,38110-000,38119-999
zip_range_0054,city_br_371,89654-000,89659-999
zip_range_0055,city_br_372,65578-000,65579-999
zip_range_0056,city_br_373,29820-000,29829-999
zip_range_0057,city_br_374,48170-000,48179-999
zip_range_0058,city_br_375,73780-000,73789-999
zip_range_0059,city_br_376,75665-000,75669-999
zip_range_0060,city_br_377,59995-000,59999-999
zip_range_0061,city_br_378,55550-000,55554-999
zip_range_0062,city_br_379,99965-000,99969-999
zip_range_0063,city_br_380,13860-000,13869-999
zip_range_0064,city_br_381,37273-000,37274-999
zip_range_0065,city_br_382,55340-000,55344-999
zip_range_0066,city_br_383,13890-000,13899-999
zip_range_0067,city_br_384,89883-000,89884-999
zip_range_0068,city_br_385,13940-000,13949-999
zip_range_0069,city_br_386,18770-000,18774-999
zip_range_0070,city_br_387,13525-000,13529-999
zip_range_0071,city_br_388,39880-000,39884-999
zip_range_0072,city_br_389,89843-000,89844-999
zip_range_0073,city_br_137,72910-001,72929-999
zip_range_0074,city_br_390,88150-000,88159-999
zip_range_0075,city_br_391,39990-000,39994-999
zip_range_0076,city_br_392,96540-000,96544-999
zip_range_0077,city_br_393,17120-000,17149-999
zip_range_0078,city_br_394,83850-000,83859-999
zip_range_0079,city_br_395,29795-000,29799-999
zip_range_0080,city_br_396,58778-000,58779-999
zip_range_0081,city_br_397,77908-000,77909-999
zip_range_0082,city_br_398,35200-000,35219-999
zip_range_0083,city_br_399,45220-000,45224-999
zip_range_0084,city_br_400,63575-000,63579-999
zip_range_0085,city_br_401,37450-000,37451-999
zip_range_0086,city_br_402,98750-000,98757-999
zip_range_0087,city_br_403,37458-000,37459-999
zip_range_0088,city_br_404,58388-000,58389-999
zip_range_0089,city_br_405,58125-000,58127-999
zip_range_0090,city_br_406,58390-000,58392-999
zip_range_0091,city_br_407,55260-000,55269-999
zip_range_0092,city_br_408,64655-000,64659-999
zip_range_0093,city_br_199,48000-001,48107-999
zip_range_0094,city_br_409,18220-000,18224-999
zip_range_0095,city_br_410,37596-000,37599-999
zip_range_0096,city_br_411,65250-000,65254-999
zip_range_0097,city_br_412,62120-000,62129-999
zip_range_0098,city_br_413,58460-000,58462-999
zip_range_0099,city_br_414,79530-000,79539-999
zip_range_0100,city_br_415,45910-000,45919-999
zip_range_0101,city_br_416,65610-000,65614-999
zip_range_0102,city_br_417,98950-000,98954-999
zip_range_0103,city_br_418,29500-000,29539-999
zip_range_0104,city_br_419,97540-001,97559-999
zip_range_0105,city_br_420,64675-000,64677-999
zip_range_0106,city_br_421,98905-000,98909-999
zip_range_0107,city_br_422,36660-000,36669-999
zip_range_0108,city_br_423,68200-000,68209-999
zip_range_0109,city_br_424,59965-000,59969-999
zip_range_0110,city_br_425,72930-000,72939-999
zip_range_0111,city_br_426,37130-001,37139-999
zip_range_0112,city_br_427,29240-000,29254-999
zip_range_0113,city_br_428,19180-000,19189-999
zip_range_0114,city_br_429,36272-000,36274-999
zip_range_0115,city_br_430,88450-000,88459-999
zip_range_0116,city_br_431,58399-000,58399-999
zip_range_0117,city_br_432,58320-000,58321-999
zip_range_0118,city_br_433,55890-000,55899-999
zip_range_0119,city_br_434,77455-000,77457-999
zip_range_0120,city_br_435,45640-000,45640-999
zip_range_0121,city_br_436,77310-000,77314-999
zip_range_0122,city_br_437,68230-000,68249-999
zip_range_0123,city_br_438,39900-000,39911-999
zip_range_0124,city_br_439,59760-000,59769-999
zip_range_0125,city_br_253,83500-001,83534-999
zip_range_0126,city_br_440,99523-000,99524-999
zip_range_0127,city_br_441,75615-000,75619-999
zip_range_0128,city_br_442,35138-000,35139-999
zip_range_0129,city_br_443,98480-000,98499-999
zip_range_0130,city_br_444,37940-000,37944-999
zip_range_0131,city_br_445,78580-000,78586-999
zip_range_0132,city_br_446,76954-000,76955-999
zip_range_0133,city_br_447,15430-000,15439-999
zip_range_0134,city_br_241,68370-001,68379-999
zip_range_0135,city_br_448,65310-000,65314-999
zip_range_0136,city_br_449,85280-000,85299-999
zip_range_0137,city_br_450,63195-000,63199-999
zip_range_0138,city_br_451,37145-000,37147-999
zip_range_0139,city_br_452,55490-000,55494-999
zip_range_0140,city_br_453,14350-000,14389-999
zip_range_0141,city_br_454,69350-000,69354-999
zip_range_0142,city_br_455,99430-000,99434-999
zip_range_0143,city_br_456,16310-000,16339-999
zip_range_0144,city_br_457,65413-000,65414-999
zip_range_0145,city_br_458,65398-000,65399-999
zip_range_0146,city_br_459,76952-000,76953-999
zip_range_0147,city_br_460,78780-000,78784-999
zip_range_0148,city_br_461,89730-000,89734-999
zip_range_0149,city_br_462,78665-000,78667-999
zip_range_0150,city_br_463,36979-000,36979-999
zip_range_0151,city_br_464,59507-000,59507-999
zip_range_0152,city_br_465,95773-000,95774-999
zip_range_0153,city_br_466,78770-000,78772-999
zip_range_0154,city_br_467,76560-000,76579-999
zip_range_0155,city_br_468,36976-000,36978-999
zip_range_0156,city_br_469,64360-000,64364-999
zip_range_0157,city_br_470,78410-000,78414-999
zip_range_0158,city_br_471,87528-000,87529-999
zip_range_0159,city_br_472,76862-000,76862-999
zip_range_0160,city_br_473,73770-000,73779-999
zip_range_0161,city_br_474,87750-000,87759-999
zip_range_0162,city_br_475,65810-000,65819-999
zip_range_0163,city_br_476,87580-000,87594-999
zip_range_0164,city_br_477,36260-000,36264-999
zip_range_0165,city_br_478,29760-000,29769-999
zip_range_0166,city_br_479,62970-000,62979-999
zip_range_0167,city_br_480,78785-000,78789-999
zip_range_0168,city_br_481,87550-000,87554-999
zip_range_0169,city_br_482,64290-000,64294-999
zip_range_0170,city_br_483,18125-000,18129-999
zip_range_0171,city_br_484,69540-000,69549-999
zip_range_0172,city_br_485,35249-000,35249-999
zip_range_0173,city_br_486,15540-000,15549-999
zip_range_0174,city_br_487,19160-000,19179-999
zip_range_0175,city_br_488,17410-000,17419-999
zip_range_0176,city_br_489,17430-000,17439-999
zip_range_0177,city_br_490,35950-000,35959-999
zip_range_0178,city_br_160,94800-001,94899-999
zip_range_0179,city_br_491,77480-000,77482-999
zip_range_0180,city_br_492,76930-000,76931-999
zip_range_0181,city_br_493,39140-000,39149-999
zip_range_0182,city_br_494,64923-000,64924-999
zip_range_0183,city_br_495,73950-000,73969-999
zip_range_0184,city_br_496,86150-000,86159-999
zip_range_0185,city_br_497,69343-000,69344-999
zip_range_0186,city_br_498,79990-000,79994-999
zip_range_0187,city_br_499,68950-000,68959-999
zip_range_0188,city_br_500,65293-000,65293-999
zip_range_0189,city_br_501,87850-000,87859-999
zip_range_0190,city_br_502,55515-000,55519-999
zip_range_0191,city_br_503,96635-000,96639-999
zip_range_0192,city_br_504,76493-000,76494-999
zip_range_0193,city_br_505,64400-000,64409-999
zip_range_0194,city_br_506,65923-000,65923-999
zip_range_0195,city_br_507,45300-000,45304-999
zip_range_0196,city_br_508,69620-000,69629-999
zip_range_0197,city_br_509,44230-000,44244-999
