"id","sequence","description","invoice_label","name","amount","amount_type","children_tax_ids","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","description@tr","price_include_override"
"tr_s_0_ex","1","Zero-rated exports","0%","0% EX","0","percent","","sale","tr_tax_group_kdv_0","base","invoice","","+SAL_BASE_0","0% EX"
"","","","","","","","","","","tax","invoice","tr391","",""
"","","","","","","","","","","base","refund","","-SAL_BASE_0",""
"","","","","","","","","","","tax","refund","tr391","",""
"tr_s_wh_20_2_10","2","Sales VAT with Withholding Tax 20% (2/10)","","WH 20% (2/10)","","group","tr_wh_20_2_10,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDV'si %20 (2/10)",""
"tr_wh_20_5_10","4","Withheld VAT 20% (Withholding 5/10)","-10%","WH 20% (5/10)","-10","percent","","none","tr_tax_group_wh_10","base","invoice","","+SAL_20_BASE_5_10","Tevkif KDV %20 (Tevkifat 5/10)","tax_excluded"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_5_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_5_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_5_10","",""
"tr_s_wh_20_5_10","5","Sales VAT with Withholding Tax 20% (5/10)","","WH 20% (5/10)","","group","tr_wh_20_5_10,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDV'si %20 (5/10)",""
"tr_wh_s_20","6","Withholding Sales Tax 20%","-20%","WH 20%","-20","percent","","sale","tr_tax_group_wh_20","base","invoice","","","İhracat Kayıtlı Satış KDV'si (-20%)","tax_excluded"
"","","","","","","","","","","tax","invoice","tr391001","","",""
"","","","","","","","","","","base","refund","","-SAL_BASE_20","",""
"","","","","","","","","","","tax","refund","tr391001","-SAL_TAX_20","",""
"tr_p_0","7","Purchase 0%","0%","0%","0","percent","","purchase","tr_tax_group_kdv_0","base","invoice","","+PUR_BASE_0","%0 satın al",""
"","","","","","","","","","","tax","invoice","tr191","+PUR_TAX_0","",""
"","","","","","","","","","","base","refund","","-PUR_BASE_0","",""
"","","","","","","","","","","tax","refund","tr191","-PUR_TAX_0","",""
"tr_wh_20_7_10","8","Withheld VAT 20% (Withholding 7/10)","-14%","WH 20% (7/10)","-14","percent","","none","tr_tax_group_wh_14","base","invoice","","+SAL_20_BASE_7_10","Tevkif KDV %20 (Tevkif 7/10)","tax_excluded"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_7_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_7_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_7_10","",""
"tr_s_wh_20_7_10","9","Sales VAT with Withholding 20% (7/10)","","WH 20% (7/10)","","group","tr_wh_20_7_10,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDV'si %20 (7/10)",""
"tr_wh_20_9_10","10","Withheld VAT 20% (Withholding 9/10)","-18%","WH 20% (9/10)","-18","percent","","none","tr_tax_group_wh_18","base","invoice","","+SAL_20_BASE_9_10","Tevkif KDV %20 (Tevkif 9/10)","tax_excluded"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_9_10","",""
