"id","parent_id","code_prefix_start","code_prefix_end","name","name@tr"
"tr_group_1","","1","1","Current Assets","DÖNEN VARLIKLAR"
"tr_group_10","tr_group_1","10","10","Liquid Assests","HAZIR DEĞERLER"
"tr_group_11","tr_group_1","11","11","Marketable Securities","MENKUL KIYMETLER"
"tr_group_12","tr_group_1","12","12","Trade Receivables","TİCARİ ALACAKLAR"
"tr_group_13","tr_group_1","13","13","Other Receivables","DİĞER ALACAKLAR"
"tr_group_15","tr_group_1","15","15","Stocks","STOKLAR"
"tr_group_18","tr_group_1","18","18","Prepaid Expenses And Income Accruals For The Following Months","GELECEK AYLARA AİT GİDERLER VE GELİR TAHAKKUKLARI"
"tr_group_19","tr_group_1","19","19","Other Current Assets","DİĞER DÖNEN VARLIKLAR"
"tr_group_2","","2","2","Non-Current Assets","DURAN VARLIKLAR"
"tr_group_22","tr_group_2","22","22","Trade Receivables","TİCARİ ALACAKLAR"
"tr_group_23","tr_group_2","23","23","Other Receivables","DİĞER ALACAKLAR"
"tr_group_24","tr_group_2","24","24","Financial Non-Current Assets","MALİ DURAN VARLIKLAR"
"tr_group_25","tr_group_2","25","25","Tangible Non-Current Assets","MADDİ DURAN VARLIKLAR"
"tr_group_26","tr_group_2","26","26","Intangible Non-Current Assets","MADDİ OLMAYAN DURAN VARLIKLAR"
"tr_group_27","tr_group_2","27","27","Assets Subject To Depletion","ÖZEL TÜKENMEYE TABİ VARLIKLAR"
"tr_group_28","tr_group_2","28","28","Prepaid Expenses And Income Accruals For The Following Years","GELECEK YILLARA AİT GİDERLER VE GELİR TAHAKKUKLARI"
"tr_group_29","tr_group_2","29","29","Other Non-Current Assets","DİĞER DURAN VARLIKLAR"
"tr_group_3","","3","3","Short-Term Liabilities","KISA VADELİ YABANCI KAYNAKLAR"
"tr_group_30","tr_group_3","30","30","Financial Liabilities","MALİ BORÇLAR"
"tr_group_32","tr_group_3","32","32","Trade Payables","TİCARİ BORÇLAR"
"tr_group_33","tr_group_3","33","33","Other Payables","DİĞER BORÇLAR"
"tr_group_34","tr_group_3","34","34","Advances Taken","ALINAN AVANSLAR"
"tr_group_36","tr_group_3","36","36","Taxes Payable And Other Liabilities","ÖDENECEK VERGİ VE DİĞER YÜKÜMLÜLÜKLER"
"tr_group_37","tr_group_3","37","37","Provisions For Liabilities And Expenses","BORÇ VE GİDER KARŞILIKLARI"
"tr_group_38","tr_group_3","38","38","Deferred Income And Expenses Accruals For The Following Months","GELECEK AYLARA AİT GELİRLER VE GİDER TAHAKKUKLARI"
"tr_group_39","tr_group_3","39","39","Other Short-Term Liabilities","DİĞER KISA VADELİ YABANCI KAYNAKLAR"
"tr_group_4","","4","4","Long-Term Liabilities","UZUN VADELİ YABANCI KAYNAKLAR"
"tr_group_40","tr_group_4","40","40","Financial Liabilities","MALİ BORÇLAR"
"tr_group_42","tr_group_4","42","42","Trade Payables","TİCARİ BORÇLAR"
"tr_group_43","tr_group_4","43","43","Other Payables","DİĞER BORÇLAR"
"tr_group_44","tr_group_4","44","44","Advances Taken","ALINAN AVANSLAR"
"tr_group_47","tr_group_4","47","47","Provisions For Liabilities And Expenses","BORÇ VE GİDER KARŞILIKLARI"
"tr_group_48","tr_group_4","48","48","Deferred Income And Expenses Accruals For The Following Years","GELECEK YILLARA AİT GELİRLER VE GİDER TAHAKKUKLARI"
"tr_group_49","tr_group_4","49","49","Other Long-Term Liabilities","DİĞER UZUN VADELİ YABANCI KAYNAKLAR"
"tr_group_5","","5","5","Shareholders’ Equity","ÖZ KAYNAKLAR"
"tr_group_50","tr_group_5","50","50","Paid-Up Share Capital","ÖDENMİŞ SERMAYE"
"tr_group_52","tr_group_5","52","52","Capital Reserves","SERMAYE YEDEKLERİ"
"tr_group_54","tr_group_5","54","54","Retained Earnings",""
"tr_group_57","tr_group_5","57","57","Previous Years’ Profits","GEÇMİŞ YILLAR KÂRLARI"
"tr_group_58","tr_group_5","58","58","Previous Years’ Losses","GEÇMİŞ YILLAR ZARARLARI (-)"
"tr_group_59","tr_group_5","59","59","Profit (Loss) For The Period","DÖNEM NET KÂRI (ZARARI)"
"tr_group_6","","6","6","Income Statement","GELİR TABLOSU HESAPLARI"
"tr_group_60","tr_group_6","60","60","Gross Sales","BRÜT SATIŞLAR"
"tr_group_61","tr_group_6","61","61","Sales Discount (-)","SATIŞ İNDİRİMLERİ (-)"
"tr_group_62","tr_group_6","62","62","Cost Of Sales (-)","SATIŞLARIN MALİYETİ (-)"
"tr_group_63","tr_group_6","63","63","Operating Expenses (-)","FAALİYET GİDERLERİ (-)"
"tr_group_64","tr_group_6","64","64","Income And Profit From Other Operations","DİĞER FAALİYETLERDEN OLAĞAN GELİR VE KÂRLAR"
"tr_group_65","tr_group_6","65","65","Expense And Loss From Other Operations (-)","DİĞER FAALİYETLERDEN OLAĞAN GİDER VE ZARARLAR (-)"
"tr_group_66","tr_group_6","66","66","Financial Expenses (-)","FİNANSMAN GİDERLERİ (-)"
"tr_group_67","tr_group_6","67","67","Extraordinary Income And Profit","OLAĞANDIŞI GELİR VE KÂRLAR"
"tr_group_68","tr_group_6","68","68","Extraordinary Expense And Loss (-)","OLAĞANDIŞI GİDER VE ZARARLAR (-)"
"tr_group_69","tr_group_6","69","69","Net Profit (Loss) For The Period","DÖNEM NET KÂRI (ZARARI)"
"tr_group_7","","7","7","Cost Accounting (Alternative 7/A)","MALİYET HESAPLARI (7/A SEÇENEĞİ)"
"tr_group_70","tr_group_7","70","70","Transitory Accounts For Cost Accounting","MALİYET MUHASEBESİ BAĞLANTI HESAPLARI"
"tr_group_71","tr_group_7","71","71","Direct Raw Materials And Supplies","DİREKT İLKMADDE VE MALZEME GİDERLERİ"
"tr_group_72","tr_group_7","72","72","Direct Labour Expenses","DİREKT İŞÇİLİK GİDERLERİ"
"tr_group_73","tr_group_7","73","73","General Production Expenses","GENEL ÜRETİM GİDERLERİ"
"tr_group_74","tr_group_7","74","74","Cost Of Production Of Services","HİZMET ÜRETİM MALİYETİ"
