"id","name","code","account_type","tag_ids","active","reconcile","non_trade","name@tr"
"tr101","Cheques Received","101","asset_current","","","False","","ALINAN ÇEKLER"
"tr102997","Non-collected Payments","102997","asset_current","","","True","","TAHSIL EDILMEYEN ÖDEMELER"
"tr102998","Unconfirmed Payments","102998","asset_current","","","True","","TASDIK EDILMEMIŞ ÖDEMELER"
"tr102999","Bank Temporary Suspended Account","102999","asset_current","","","False","","BANKA GEÇICI MUALLAK HESABI"
"tr103","Cheques Given And Payment Orders (-)","103","asset_current","","","True","","VERİLEN ÇEKLER VE ÖDEME EMİRLERİ (-)"
"tr108","Other Liquid Assets","108","asset_current","","","False","","DİĞER HAZIR DEĞERLER"
"tr110","Common Stocks","110","asset_current","","","False","","HİSSE SENETLERİ"
"tr111","Private Sector Bonds, Shares And Notes","111","asset_current","","","False","",""
"tr112","Public Sector Bonds, Shares And Notes","112","asset_current","","","False","",""
"tr118","Other Marketable Securities","118","asset_current","","","False","","DİĞER MENKUL KIYMETLER"
"tr119","Provision For Diminution In Value Of Marketable Securities (-)","119","asset_current","","","False","","MENKUL KIYMETLER DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI (-)"
"tr120","Customers","120","asset_receivable","","","True","","ALICILAR"
"tr121","Notes Receivable","121","asset_current","","","False","","ALACAK SENETLERİ"
"tr122","Discount Of Notes Receivable (-)","122","asset_current","","","False","","ALACAK SENETLERİ REESKONTU (-)"
"tr123","Buyers (POS)","123","asset_receivable","","","True","","ALICILAR (POS)"
"tr124","Unearned Lease Interest Income (-)","124","asset_current","","","False","","KAZANILMAMIŞ FİNANSAL KİRALAMA FAİZ GELİRLERİ (-)"
"tr126","Deposits And Guarantees Given","126","asset_current","","","False","","VERİLEN DEPOZİTO VE TEMİNATLAR"
"tr127","Other Trade Receivables","127","asset_current","","","False","","DİĞER TİCARİ ALACAKLAR"
"tr128","Doubtful Trade Receivables","128","asset_current","","","False","","ŞÜPHELİ TİCARİ ALACAKLAR"
"tr129","Provision For Doubtful Trade Receivables (-)","129","asset_current","","","False","","ŞÜPHELİ TİCARİ ALACAKLAR KARŞILIĞI (-)"
"tr131","Receivables From Shareholders","131","asset_current","","","False","","ORTAKLARDAN ALACAKLAR"
"tr132","Receivables From Subsidaries","132","asset_current","","","False","","İŞTİRAKLERDEN ALACAKLAR"
"tr133","Receivables From Affiliated Companies","133","asset_current","","","False","","BAĞLI ORTAKLIKLARDAN ALACAKLAR"
"tr135","Receivables From Personnel","135","asset_current","","","False","","PERSONELDEN ALACAKLAR"
"tr136","Other Receivable (-)","136","asset_current","","","False","","DİĞER ÇEŞİTLİ ALACAKLAR"
"tr137","Discount Of Other Notes Receivables","137","asset_current","","","False","","DİĞER ALACAK SENETLERİ REESKONTU (-)"
"tr138","Other Doubtful Receivables","138","asset_current","","","False","","ŞÜPHELİ DİĞER ALACAKLAR"
"tr139","Provision For Other Doubtful Receivables (-)","139","asset_current","","","False","","ŞÜPHELİ DİĞER ALACAKLAR KARŞILIĞI (-)"
"tr150","Raw Materials And Supplies","150","asset_current","","","False","","İLK MADDE VE MALZEME"
"tr151","Work-In-Process – Production","151","asset_current","","","False","","YARI MAMULLER - ÜRETİM"
"tr152","Finished Goods","152","asset_current","","","False","","MAMÜLLER"
"tr153","Commercial Goods","153","asset_current","","","False","","TİCARİ MALLAR"
"tr157","Other Stocks","157","asset_current","","","False","","DİĞER STOKLAR"
"tr158","Provision For Diminution In Value Of Stocks (-)","158","asset_current","","","False","","STOK DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI (-)"
"tr159","Stock Advances Given","159","asset_current","","","False","","VERİLEN SİPARİŞ AVANSLARI"
"tr180","Prepaid Expenses For The Following Months","180","asset_current","","","False","","GELECEK AYLARA AİT GİDERLER"
"tr181","Income Accruals","181","asset_current","","","False","","GELİR TAHAKKUKLARI"
"tr190","Deferred Vat","190","asset_current","","","False","","DEVREDEN KATMA DEĞER VERGİSİ (KDV)"
"tr191","Deductible Vat","191","asset_current","","","False","","İNDİRİLECEK KATMA DEĞER VERGİSİ (KDV)"
"tr192","Other Vat","192","asset_current","","","False","","DİĞER KATMA DEĞER VERGİSİ"
"tr193","Prepaid Taxes And Funds","193","asset_receivable","","","True","True","PEŞİN ÖDENEN VERGİLER VE FONLAR"
"tr195","Work Advances","195","asset_current","","","False","","İŞ AVANSLAR"
"tr196","Advances Given To Personnel","196","asset_current","","","False","","PERSONEL AVANSLARI"
"tr197","Stock Count And Delivery Shortages","197","asset_current","","","False","","SAYIM VE TESELLÜM NOKSANLARI"
"tr198","Other Current Assets","198","asset_current","","","False","","DİĞER DÖNEN VARLIKLAR"
"tr199","Provision For Other Current Assets (-)","199","asset_current","","","False","","DİĞER DÖNEN VARLIKLAR KARŞILIĞI (-)"
"tr220","Customers","220","asset_fixed","","","False","","ALICILAR"
"tr221","Notes Receivables","221","asset_fixed","","","False","",""
"tr222","Discount Of Notes Receivables (-)","222","asset_fixed","","","False","","ALACAK SENETLERİ REESKONTU (-)"
"tr224","Interest Income On Non-earned Financial Leases (-)","224","asset_fixed","","","False","","KAZANILMAMIŞ FINANSAL KIRALAMA FAIZ GELIRLERI(-)"
"tr226","Deposits And Guarantees Given","226","asset_fixed","","","False","","VERİLEN DEPOZİTO VE TEMİNATLAR"
