"id","name","description","active","sequence","amount_type","amount","tax_group_id","type_tax_use","l10n_ar_withholding_payment_type","l10n_ar_scale_id","l10n_ar_tax_type","l10n_ar_code","l10n_ar_state_id","l10n_ar_non_taxable_amount","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es"
"ex_tax_retencion_suss_sufrida","WTH SUSS","SUSS Withholding","True","10","percent","0","tax_group_withholding","none","customer","","","","","","","base","invoice","","Ret SUSS","Retención SUSS"
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_suss_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_suss_sufrida","",""
"ex_tax_retencion_profits_incurred","Profits WTH","Profits withholding","True","4","percent","0","tax_group_withholding","none","customer","","","","","","","base","invoice","","Ret Ganancias","Retención Ganancias"
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_ganancias_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_ganancias_sufrida","",""
"ex_tax_withholding_iibb_caba_applied","IIBB WTH CABA 0%","IIBB withholding Ciudad Autónoma Bs As","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_c","","","","","","Ret IIBB CABA 0%","Retención IIBB Ciudad Autónoma Bs As"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_caba_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_caba_aplicada","",""
"ex_tax_withholding_iibb_ba_applied","IIBB WTH BA 0%","IIBB withholding Buenos Aires","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_b","","","","","","Ret IIBB BA 0%","Retención IIBB Buenos Aires"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ba_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ba_aplicada","",""
"ex_tax_withholding_iibb_c_applied","IIBB WTH C 0%","IIBB withholding Catamarca","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_untaxed","","base.state_ar_k","","","","","","Ret IIBB C 0%","Retención IIBB Catamarca"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ca_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ca_aplicada","",""
"ex_tax_withholding_iibb_cba_applied","IIBB WTH CBA 0%","IIBB withholding Córdoba","True","4","percent","0","tax_group_withholding","none","supplier","","iibb_total","","base.state_ar_x","","","","","","Ret IIBB CBA 0%","Retención IIBB Córdoba"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_co_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_co_aplicada","",""
