"id","name","type_tax_use","amount_type","description","active","sequence","tax_group_id","l10n_ar_withholding_payment_type","l10n_ar_scale_id","l10n_ar_tax_type","l10n_ar_code","l10n_ar_state_id","amount","l10n_ar_non_taxable_amount","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es"
"ri_tax_withholding_vat_incurred","VAT WTH","none","percent","Withholding VAT","True","4","tax_group_withholding","customer","","","","","0","","","base","invoice","","Ret IVA","Retención IVA"
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iva_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iva_sufrida","",""
"ri_tax_withholding_suss_incurred","WTH SUSS","none","percent","SUSS Withholding","True","10","tax_group_withholding","customer","","","","","0","","","","","","Ret SUSS","Retención SUSS"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_suss_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_suss_sufrida","",""
"ri_tax_withholding_ganancias_incurred","Profits WTH","none","percent","Profits withholding","True","4","tax_group_withholding","customer","","","","","0","","","","","","Ret Ganancias","Retención Ganancias"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_ganancias_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_ganancias_sufrida","",""
"ri_tax_withholding_iibb_caba_incurred","IIBB WTH CABA","none","percent","IIBB withholding Ciudad Autónoma Bs As","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_c","1","","","","","","Ret IIBB CABA","Retención IIBB Ciudad Autónoma Bs As"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_caba_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_caba_sufrida","",""
"ri_tax_withholding_iibb_ba_incurred","IIBB WTH BA","none","percent","IIBB withholding Buenos Aires","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_b","1","","","","","","Ret IIBB BA","Retención IIBB Buenos Aires"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ba_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ba_sufrida","",""
"ri_tax_withholding_iibb_ca_incurred","IIBB WTH C","none","percent","IIBB withholding Catamarca","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_k","1","","","","","","Ret IIBB C","Retención IIBB Catamarca"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ca_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ca_sufrida","",""
"ri_tax_withholding_iibb_co_incurred","IIBB WTH CBA","none","percent","IIBB withholding Córdoba","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_x","1","","","","","","Ret IIBB CBA","Retención IIBB Córdoba"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_co_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_co_sufrida","",""
"ri_tax_withholding_iibb_rr_incurred","IIBB WTH CTS","none","percent","IIBB withholding Corrientes","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_w","1","","","","","","Ret IIBB CTS","Retención IIBB Corrientes"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_rr_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_rr_sufrida","",""
"ri_tax_withholding_iibb_er_incurred","IIBB WTH ER","none","percent","IIBB withholding Entre Ríos","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_e","1","","","","","","Ret IIBB ER","Retención IIBB Entre Ríos"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_er_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_er_sufrida","",""
"ri_tax_withholding_iibb_ju_incurred","IIBB WTH J","none","percent","IIBB withholding Jujuy","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_y","1","","","","","","Ret IIBB J","Retención IIBB Jujuy"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ju_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ju_sufrida","",""
"ri_tax_withholding_iibb_za_incurred","IIBB WTH MZA","none","percent","IIBB withholding Mendoza","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_m","1","","","","","","Ret IIBB MZA","Retención IIBB Mendoza"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_za_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_za_sufrida","",""
"ri_tax_withholding_iibb_lr_incurred","IIBB WTH LR","none","percent","IIBB withholding La Rioja","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_f","1","","","","","","Ret IIBB LR","Retención IIBB La Rioja"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_lr_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_lr_sufrida","",""
"ri_tax_withholding_iibb_sa_incurred","IIBB WTH S","none","percent","IIBB withholding Salta","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_a","1","","","","","","Ret IIBB S","Retención IIBB Salta"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_sa_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_sa_sufrida","",""
"ri_tax_withholding_iibb_nn_incurred","IIBB WTH SJ","none","percent","IIBB withholding San Juan","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_j","1","","","","","","Ret IIBB SJ","Retención IIBB San Juan"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_nn_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_nn_sufrida","",""
"ri_tax_withholding_iibb_sl_incurred","IIBB WTH SL","none","percent","IIBB withholding San Luis","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_d","1","","","","","","Ret IIBB SL","Retención IIBB San Luis"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_sl_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_sl_sufrida","",""
"ri_tax_withholding_iibb_sf_incurred","IIBB WTH SF","none","percent","IIBB withholding Santa Fe","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_s","1","","","","","","Ret IIBB SF","Retención IIBB Santa Fe"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_sf_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_sf_sufrida","",""
"ri_tax_withholding_iibb_se_incurred","IIBB WTH SE","none","percent","IIBB withholding Santiago del Estero","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_g","1","","","","","","Ret IIBB SE","Retención IIBB Santiago del Estero"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_se_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_se_sufrida","",""
"ri_tax_withholding_iibb_tn_incurred","IIBB WTH T","none","percent","IIBB withholding Tucumán","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_t","1","","","","","","Ret IIBB T","Retención IIBB Tucumán"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_tn_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_tn_sufrida","",""
"ri_tax_withholding_iibb_ha_incurred","IIBB WTH CHO","none","percent","IIBB withholding Chaco","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_h","1","","","","","","Ret IIBB CHO","Retención IIBB Chaco"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ha_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ha_sufrida","",""
"ri_tax_withholding_iibb_ct_incurred","IIBB WTH CHT","none","percent","IIBB withholding Chubut","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_u","1","","","","","","Ret IIBB CHT","Retención IIBB Chubut"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ct_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ct_sufrida","",""
"ri_tax_withholding_iibb_fo_incurred","IIBB WTH F","none","percent","IIBB withholding Formosa","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_p","1","","","","","","Ret IIBB F","Retención IIBB Formosa"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_fo_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_fo_sufrida","",""
"ri_tax_withholding_iibb_mi_incurred","IIBB WTH MS","none","percent","IIBB withholding Misiones","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_n","1","","","","","","Ret IIBB MS","Retención IIBB Misiones"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_mi_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_mi_sufrida","",""
"ri_tax_withholding_iibb_ne_incurred","IIBB WTH N","none","percent","IIBB withholding Neuquén","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_q","1","","","","","","Ret IIBB N","Retención IIBB Neuquén"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_ne_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_ne_sufrida","",""
"ri_tax_withholding_iibb_lp_incurred","IIBB WTH LP","none","percent","IIBB withholding La Pampa","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_l","1","","","","","","Ret IIBB LP","Retención IIBB La Pampa"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_lp_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_lp_sufrida","",""
"ri_tax_withholding_iibb_rn_incurred","IIBB WTH RN","none","percent","IIBB withholding Río Negro","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_r","1","","","","","","Ret IIBB RN","Retención IIBB Río Negro"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_rn_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_rn_sufrida","",""
"ri_tax_withholding_iibb_az_incurred","IIBB WTH SC","none","percent","IIBB withholding Santa Cruz","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_z","1","","","","","","Ret IIBB SC","Retención IIBB Santa Cruz"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_az_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_az_sufrida","",""
"ri_tax_withholding_iibb_tf_incurred","IIBB WTH TAIS","none","percent","IIBB withholding Tierra del Fuego","True","4","tax_group_withholding","customer","","iibb_untaxed","","base.state_ar_v","1","","","","","","Ret IIBB TAIS","Retención IIBB Tierra del Fuego"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","base_retencion_iibb_tf_sufrida","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","base_retencion_iibb_tf_sufrida","",""
"ri_tax_withholding_iibb_caba_applied","IIBB WTH CABA 1%","none","percent","IIBB withholding Ciudad Autónoma Bs As","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_c","1","","","","","","Ret IIBB CABA 0%","Retención IIBB Ciudad Autónoma Bs As"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_caba_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_caba_aplicada","",""
"ri_tax_withholding_iibb_ba_applied","IIBB WTH BA 0%","none","percent","IIBB withholding Buenos Aires","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_b","1","","","","","","Ret IIBB BA 0%","Retención IIBB Buenos Aires"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ba_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ba_aplicada","",""
"ri_tax_withholding_iibb_ca_applied","IIBB WTH C 0%","none","percent","IIBB withholding Catamarca","True","4","tax_group_withholding","supplier","","iibb_untaxed","","base.state_ar_k","1","","","","","","Ret IIBB C 0%","Retención IIBB Catamarca"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_ca_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_ca_aplicada","",""
"ri_tax_withholding_iibb_co_applied","IIBB WTH CBA 0%","none","percent","IIBB withholding Córdoba","True","4","tax_group_withholding","supplier","","iibb_total","","base.state_ar_x","1","","","","","","Ret IIBB CBA 0%","Retención IIBB Córdoba"
"","","","","","","","","","","","","","","","","base","invoice","","",""
"","","","","","","","","","","","","","","","","tax","invoice","ri_retencion_iibb_co_aplicada","",""
"","","","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","","","tax","refund","ri_retencion_iibb_co_aplicada","",""
