"id","sequence","name","auto_apply","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_template_national","1","National","1","base.ug","",""
"fiscal_position_template_non_ugandian","2","International","1","","sale_zero_rated","sale_export_0"
"","","","","","sale_exempt","sale_export_0"
"","","","","","sale_vat_18","sale_export_0"
"","","","","","sale_deemed_vat_18","sale_export_0"
"","","","","","sale_capital_goods_18","sale_export_0"
"","","","","","sale_deemed_capital_goods_18","sale_export_0"
"","","","","","purchase_zero_rated","purchase_import_vat_18"
"","","","","","purchase_vat_18","purchase_import_vat_18"
"","","","","","purchase_deemed_vat_18","purchase_import_vat_18"
"","","","","","purchase_capital_goods_18","purchase_import_vat_18"
"","","","","","purchase_deemed_capital_goods_18","purchase_import_vat_18"
"","","","","","purchase_admin_exp_18","purchase_import_vat_18"
