"id","code_prefix_start","code_prefix_end","name","name@he_IL"
"il_group_100100","100100","100499","Fixed Assets","רכוש קבוע"
"il_group_101110","101110","101400","Current Assets","רכוש שוטף"
"il_group_101401","101401","101799","Bank And Cash","בנק ומזומנים"
"il_group_111000","111000","111999","Current Liabilities","התחייבויות שוטפות"
"il_group_112000","112000","112210","Non-current Liabilities","התחייבויות לא שוטפות"
"il_group_200000","200000","200199","Sales Income","הכנסות ממכירות"
"il_group_200200","200200","200300","Other Income","הכנסות אחרות"
"il_group_201000","201000","201299","Cost of Goods","עלות המכר"
"il_group_202000","202000","220900","Expenses","הוצאות"
"il_group_300000","300000","399999","Capital And Shares","הון ומניות"
