"id","name","code_prefix_start","code_prefix_end"
"l10n_mk_group_000_009","Intangible Assets","000","009"
"l10n_mk_group_010_019","Tangible Assets","010","019"
"l10n_mk_group_020_029","Investment Property","020","029"
"l10n_mk_group_030_039","Long-Term Financial Assets","030","039"
"l10n_mk_group_040_049","Long-Term Receivables","040","049"
"l10n_mk_group_050_059","Deferred Tax Assets","050","059"
"l10n_mk_group_100_109","Cash and Cash Equivalents","100","109"
"l10n_mk_group_110_119","Receivables from Related Parties","110","119"
"l10n_mk_group_120_129","Receivables from Customers (Accounts Receivable)","120","129"
"l10n_mk_group_130_139","Receivables from State Bodies and Institutions","130","139"
"l10n_mk_group_140_149","Receivables from Employees","140","149"
"l10n_mk_group_150_159","Other Receivables","150","159"
"l10n_mk_group_160_169","Short-Term Financial Assets","160","169"
"l10n_mk_group_190_199","Prepaid Expenses and Accrued Revenue (Accruals & Deferrals)","190","199"
"l10n_mk_group_210_219","Short-Term Liabilities to Related Parties","210","219"
"l10n_mk_group_220_229","Short-Term Liabilities and Suppliers (Account Payable)","220","229"
"l10n_mk_group_230_239","Short-Term Liabilities for Taxes, Contributions, and Other Duties","230","239"
"l10n_mk_group_240_249","Liabilities to Employees","240","249"
"l10n_mk_group_250_259","Other Short-Term Liabilities and Short-Term Provisions","250","259"
"l10n_mk_group_260_269","Short-Term Financial Liabilities","260","269"
"l10n_mk_group_270_279","Long-Term Provisions","270","279"
"l10n_mk_group_280_289","Long-Term Liabilities","280","289"
"l10n_mk_group_290_299","Accrued Expenses and Deferred Revenue","290","299"
"l10n_mk_group_300_309","Calculation of Inventory Purchases","300","309"
"l10n_mk_group_310_319","Inventory of Raw Materials and Materials","310","319"
"l10n_mk_group_320_329","Inventory of Spare Parts","320","329"
"l10n_mk_group_350_359","Inventory of Small Tools, Packaging, and Car Tires","350","359"
"l10n_mk_group_400_409","Operating Costs (Materials/Energy/Spare Parts)","400","409"
"l10n_mk_group_410_419","Costs of Services","410","419"
"l10n_mk_group_420_429","Salaries and Employee Costs","420","429"
"l10n_mk_group_430_439","Depreciation/Amortization and Provisions","430","439"
"l10n_mk_group_440_449","Other Operating Expenses","440","449"
"l10n_mk_group_450_459","Impairment of Assets","450","459"
"l10n_mk_group_460_469","Other Expenses","460","469"
"l10n_mk_group_470_479","Financial Expenses","470","479"
"l10n_mk_group_480_489","Loss from Associates and Discontinued Operations","480","489"
"l10n_mk_group_490_499","Transfer of Expenses","490","499"
"l10n_mk_group_600_609","Production Inventories","600","609"
"l10n_mk_group_610_619","Biological Assets Inventories","610","619"
"l10n_mk_group_630_639","Finished Goods Inventories","630","639"
"l10n_mk_group_650_659","Calculation of Merchandise Purchases","650","659"
"l10n_mk_group_660_669","Merchandise Inventories","660","669"
"l10n_mk_group_670_679","Non-Current Assets Held for Sale","670","679"
"l10n_mk_group_700_709","Cost of Goods and Services Sold","700","709"
"l10n_mk_group_730_739","Revenue from Related Parties","730","739"
"l10n_mk_group_740_749","Revenue from Unrelated Parties","740","749"
"l10n_mk_group_750_759","Income from Impairment Reversal","750","759"
"l10n_mk_group_760_769","Other Income","760","769"
"l10n_mk_group_770_779","Financial Income","770","779"
"l10n_mk_group_780_789","Profit from Associates and Discontinued Operations","780","789"
"l10n_mk_group_790_799","Difference Between Revenues and Expenses","790","799"
"l10n_mk_group_800_809","Results: Profit/Loss Before Taxation","800","809"
"l10n_mk_group_810_819","Results: Profit Tax and Other Duties","810","819"
"l10n_mk_group_820_829","Results: Net Profit/Loss","820","829"
"l10n_mk_group_830_839","Results: Profit/Loss Attributable to Others","830","839"
"l10n_mk_group_840_849","Other Comprehensive Income/Loss","840","849"
"l10n_mk_group_850_859","OCI: Share in Associates","850","859"
"l10n_mk_group_860_869","OCI: Profit Tax on OCI Components","860","869"
"l10n_mk_group_870_879","OCI: Net Other Comprehensive Income","870","879"
"l10n_mk_group_880_889","Total Comprehensive Income/Loss","880","889"
"l10n_mk_group_890_899","Distribution of Profit","890","899"
"l10n_mk_group_900_909","Capital: Subscribed Capital","900","909"
"l10n_mk_group_910_919","Capital: Share Premiums","910","919"
"l10n_mk_group_930_939","Capital: Revaluation Reserves","930","939"
"l10n_mk_group_940_949","Capital: Reserves","940","949"
"l10n_mk_group_950_959","Capital: Retained Earnings/Profit for Year","950","959"
"l10n_mk_group_960_969","Capital: Carried Forward Loss","960","969"
"l10n_mk_group_97","Capital: Non-Controlling Interest","97","97"
"l10n_mk_group_990_994","Off-Balance Sheet Records - Assets","990","994"
"l10n_mk_group_995_999","Off-Balance Sheet Records - Liabilities","995","999"
