"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@bg","active","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"l10n_bg_sale_vat_20","101","20%","20% VAT","20% VAT","20.0","percent","sale","tax_group_vat_20","100","base","invoice","11","","20% ДДС","","fiscal_position_bg_private_eu,fiscal_position_template_dom","",""
"","","","","","","","","","100","tax","invoice","21","l10n_bg_4532","","","","",""
"","","","","","","","","","100","base","refund","11","","","","","",""
"","","","","","","","","","100","tax","refund","21","l10n_bg_4532","","","","",""
"l10n_bg_sale_vat_20_remote","102","20% R","20% Remote","20% Remote","20.0","percent","sale","tax_group_vat_20","100","base","invoice","11||18","","20% дист.прод.","False","fiscal_position_template_dom,fiscal_position_bg_private_eu","",""
"","","","","","","","","","100","tax","invoice","21","l10n_bg_4532","","","","",""
"","","","","","","","","","100","base","refund","11||18","","","","","",""
"","","","","","","","","","100","tax","refund","21","l10n_bg_4532","","","","",""
"l10n_bg_sale_vat_20_personal","103","20% Pers","20% Personal use","20% Personal use","20.0","percent","sale","tax_group_vat_20","100","base","invoice","11","","20% лични","False","fiscal_position_bg_private_eu,fiscal_position_template_dom","",""
"","","","","","","","","","100","tax","invoice","23","l10n_bg_4532","","","","",""
"","","","","","","","","","100","base","refund","11","","","","","",""
"","","","","","","","","","100","tax","refund","23","l10n_bg_4532","","","","",""
"l10n_bg_sale_vat_9","111","9%","9% VAT","9% VAT","9.0","percent","sale","tax_group_vat_9","100","base","invoice","13","","9% ДДС","","fiscal_position_bg_private_eu,fiscal_position_template_dom","",""
"","","","","","","","","","100","tax","invoice","24","l10n_bg_4532","","","","",""
"","","","","","","","","","100","base","refund","13","","","","","",""
"","","","","","","","","","100","tax","refund","24","l10n_bg_4532","","","","",""
"l10n_bg_sale_vat_9_personal","112","9% Pers","9% Personal use","9% Personal use","9.0","percent","sale","tax_group_vat_9","100","base","invoice","13","","9% лични","False","fiscal_position_bg_private_eu,fiscal_position_template_dom","",""
"","","","","","","","","","100","tax","invoice","23","l10n_bg_4532","","","","",""
"","","","","","","","","","100","base","refund","13","","","","","",""
"","","","","","","","","","100","tax","refund","23","l10n_bg_4532","","","","",""
"l10n_bg_sale_vat_0_export","121","0% EX","0% Export","0% Export","0.0","percent","sale","tax_group_vat_0","100","base","invoice","14","","0% Експорт","","fiscal_position_template_out_eu","l10n_bg_sale_vat_20_personal,l10n_bg_sale_vat_0_exempt,l10n_bg_sale_vat_9,l10n_bg_sale_vat_20",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","14","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_bg_sale_vat_0_icd","122","0% EU","0% Intra-Community Deliveries","0% Intra-Community Deliveries","0.0","percent","sale","tax_group_vat_0","100","base","invoice","15","","0% ВОД","","fiscal_position_template_in_eu","l10n_bg_sale_vat_20_personal,l10n_bg_sale_vat_0_exempt,l10n_bg_sale_vat_9_personal,l10n_bg_sale_vat_20,l10n_bg_sale_vat_9",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","15","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_bg_sale_vat_0_140","123","0% 140","0% Art. 140, 146, 173","0% Art. 140, 146, 173","0.0","percent","sale","tax_group_vat_0","100","base","invoice","16","","0% чл. 140, 146, 173","False","fiscal_position_template_dom,fiscal_position_bg_private_eu","",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","16","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_bg_sale_vat_0_21","124","0% 21","0% Art. 21","0% Art. 21","0.0","percent","sale","tax_group_vat_0","100","base","invoice","17","","0% чл. 21","False","fiscal_position_template_dom,fiscal_position_bg_private_eu","",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","17","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_bg_sale_vat_0_exempt","125","0% EXEMPT","0% Exempt","0% Exempt","0.0","percent","sale","tax_group_vat_0","100","base","invoice","19","","0% осв.","","fiscal_position_bg_private_eu,fiscal_position_template_dom","",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","19","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_bg_sale_vat_0_tri","126","0% Tri","0% Tripartite","0% Tripartite","0.0","percent","sale","tax_group_vat_0","100","base","invoice","18","","0% тристр.","False","fiscal_position_template_in_eu","","Exempt triangular transaction - Article 141 of the Directive 2006/112/EC"
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","18","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_bg_purchase_vat_20_ftc","201","20% FTC","20% Foreign Tax Credit","20% Foreign Tax Credit","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","31","","20% ПДК","","fiscal_position_bg_private_eu,fiscal_position_template_dom","",""
"","","","","","","","","","100","tax","invoice","41","l10n_bg_4531","","","","",""
"","","","","","","","","","100","base","refund","31","","","","","",""
"","","","","","","","","","100","tax","refund","41","l10n_bg_4531","","","","",""
"l10n_bg_purchase_vat_20_ptc","202","20% PTC","20% Payable Tax Credit","20% Payable Tax Credit","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","32","","20% ЧДК","","fiscal_position_bg_private_eu,fiscal_position_template_dom","",""
"","","","","","","","","","100","tax","invoice","42","l10n_bg_4531","","","","",""
"","","","","","","","","","100","base","refund","32","","","","","",""
"","","","","","","","","","100","tax","refund","42","l10n_bg_4531","","","","",""
"l10n_bg_purchase_vat_20_otc","203","20% OTC","20% Other Tax Credit","20% Other Tax Credit","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","30","","20% бДК","","fiscal_position_bg_private_eu,fiscal_position_template_dom","",""
"","","","","","","","","","100","tax","invoice","30","l10n_bg_4531","","","","",""
"","","","","","","","","","100","base","refund","30","","","","","",""
"","","","","","","","","","100","tax","refund","30","l10n_bg_4531","","","","",""
"l10n_bg_purchase_vat_20_ftc_exempt","204","20% FTC EXEMPT","20% Foreign Tax Credit – Exempt","20% Foreign Tax Credit – Exempt","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","19rc||31","","","","fiscal_position_template_out_eu","l10n_bg_purchase_vat_20_ftc",""
"","","","","","","","","","100","tax","invoice","41","l10n_bg_4531","","","","",""
"","","","","","","","","","-100","tax","invoice","22","l10n_bg_4532","","","","",""
"","","","","","","","","","100","base","refund","19rc||31","","","","","",""
"","","","","","","","","","100","tax","refund","41","l10n_bg_4531","","","","",""
"","","","","","","","","","-100","tax","refund","22","l10n_bg_4532","","","","",""
"l10n_bg_purchase_vat_20_ftc_ica","204","20% EU FTC","20% Foreign Tax Credit – Intra-Community Acquisition","20% Foreign Tax Credit – Intra-Community Acquisition","20.0","percent","purchase","tax_group_vat_20","100","base","invoice","12_1||31","","20% ПДК (ВОП)","","fiscal_position_template_in_eu","l10n_bg_purchase_vat_20_ftc",""
"","","","","","","","","","100","tax","invoice","41","l10n_bg_4531","","","","",""
"","","","","","","","","","-100","tax","invoice","22","l10n_bg_4532","","","","",""
"","","","","","","","","","100","base","refund","12_1||31","","","","","",""
"","","","","","","","","","100","tax","refund","41","l10n_bg_4531","","","","",""
