"id","name","code","account_type","tag_ids","reconcile","name@bg"
"l10n_bg_101","Fixed capital required for registration","101","equity","","False","Основен капитал, изискващ регистрация"
"l10n_bg_102","Fixed capital that does not require registration","102","equity","","False","Основен капитал, неизискващ регистрация"
"l10n_bg_103","Liquidation capital in case of insolvency and liquidation","103","equity","","False","Ликвидационен капитал при несъстоятелност и ликвидация"
"l10n_bg_104","Capital of non-profit enterprises","104","equity","","False","Капитал на предприятия с нестопанска дейност"
"l10n_bg_105","Capital premiums","105","equity","","False","Премии, свързани с капитал"
"l10n_bg_106","Deductions (discount) related to capital","106","equity","","False","Отбиви (сконто), свързани с капитал"
"l10n_bg_111","General reserves","111","equity","","False","Общи резерви"
"l10n_bg_112","Reserves from subsequent valuation of fixed assets","112","equity","","False","Резерви от последваща оценка на дълготрайни активи"
"l10n_bg_113","Reserves from subsequent valuation of current assets","113","equity","","False","Резерви от последваща оценка на краткотрайни активи"
"l10n_bg_114","Reserves from subsequent valuation of financial instruments","114","equity","","False","Резерви от последваща оценка на финансови инструменти"
"l10n_bg_115","Reserves from share issue","115","equity","","False","Резерви от емисия на акции"
"l10n_bg_116","Reserve related to repurchased own shares","116","equity","","False","Резерв, свързан с изкупени собствени акции"
"l10n_bg_117","Reserve according to constitutive act","117","equity","","False","Резерв, свързан с изкупени собствени акции"
"l10n_bg_119","Other reserves","119","equity","","False","Други резерви"
"l10n_bg_121","Uncovered loss from previous years","121","equity","","False","Непокрита загуба от минали години"
"l10n_bg_122","Retained earnings from previous years","122","equity","","False","Неразпределена печалба от минали години"
"l10n_bg_123","Profit and loss from the current year","123","equity_unaffected","","False","Печалби и загуби от текущата година"
"l10n_bg_124","Result in bankruptcy and liquidation","124","equity","","False","Резултат при несъстоятелност и ликвидация"
"l10n_bg_125","Result of the activity of non-profit enterprises","125","equity","","False","Резултат от дейността на предприятия с нестопанска цел"
"l10n_bg_131","Life insurance reserves","131","equity","","False","Резерви за животозастраховане"
"l10n_bg_132","Transmission-premium reserves","132","equity","","False","Пренос-премийни резерви"
"l10n_bg_133","Reserves for forthcoming payments","133","equity","","False","Резерви на предстоящи плащания"
"l10n_bg_134","Reserves for reserve fund","134","equity","","False","Резерви за запасен фонд"
