id,job_id:id,skill_id:id,skill_type_id:id,skill_level_id:id
hr_job_skill_cto_stress_management_expert,hr.job_cto,hr_skill_stress_management,hr_skill_type_softskill,hr_skill_level_expert_softskill
hr_job_skill_cto_leadership_expert,hr.job_cto,hr_skill_leadership,hr_skill_type_softskill,hr_skill_level_expert_softskill
hr_job_skill_cto_decision_making_advanced,hr.job_cto,hr_skill_decision_making,hr_skill_type_softskill,hr_skill_level_advanced_softskill
hr_job_skill_cto_python_expert,hr.job_cto,hr_skill_python,hr_skill_type_dev,hr_skill_level_expert
hr_job_skill_cto_scrum_master_certified,hr.job_cto,hr_skill_type_certifications_scrum_master,hr_skill_type_certifications,hr_skill_level_certifications

hr_job_skill_consultant_persuasion,hr.job_consultant,hr_skill_persuasion,hr_skill_type_softskill,hr_skill_level_intermediate_softskill
hr_job_skill_consultant_problem_solving_elementary,hr.job_consultant,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_elementary_softskill
hr_job_skill_consultant_public_speaking_L3,hr.job_consultant,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml3
hr_job_skill_consultant_english_c1,hr.job_consultant,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1

hr_job_skill_developer_python_advanced,hr.job_developer,hr_skill_python,hr_skill_type_dev,hr_skill_level_advanced
hr_job_skill_developer_html_beginner,hr.job_developer,hr_skill_html,hr_skill_type_dev,hr_skill_level_beginner
hr_job_skill_developer_js_intermediate,hr.job_developer,hr_skill_js,hr_skill_type_dev,hr_skill_level_intermediate
hr_job_skill_developer_css_beginner,hr.job_developer,hr_skill_css,hr_skill_type_dev,hr_skill_level_beginner

hr_job_skill_hrm_odoo_certified,hr.job_hrm,hr_skill_type_certifications_odoo,hr_skill_type_certifications,hr_skill_level_certifications
hr_job_skill_hrm_conflict_management_advanced,hr.job_hrm,hr_skill_conflict_management,hr_skill_type_softskill,hr_skill_level_advanced_softskill
hr_job_skill_hrm_problem_solving_elementary,hr.job_hrm,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_elementary_softskill
hr_job_skill_hrm_english_c1,hr.job_hrm,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1
hr_job_skill_hrm_french_a2,hr.job_hrm,hr_skill_french,hr_skill_type_lang,hr_skill_level_a2

hr_job_skill_marketing_teamwork_intermediate,hr.job_marketing,hr_skill_teamwork,hr_skill_type_softskill,hr_skill_level_intermediate_softskill
hr_job_skill_marketing_email_marketing_l3,hr.job_marketing,hr_skill_email,hr_skill_type_marketing,hr_skill_level_ml3
hr_job_skill_marketing_digital_advertising_l1,hr.job_marketing,hr_skill_digital_ad,hr_skill_type_marketing,hr_skill_level_ml1
