id,employee_id:id,skill_id:id,skill_type_id:id,skill_level_id:id,valid_from,valid_to
employee_skill_admin_stress_inter,hr.employee_admin,hr_skill_stress_management,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-01-01,2023-06-30
employee_skill_admin_stress_adv,hr.employee_admin,hr_skill_stress_management,hr_skill_type_softskill,hr_skill_level_advanced_softskill,2023-07-01,2023-12-31
employee_skill_admin_stress_exp,hr.employee_admin,hr_skill_stress_management,hr_skill_type_softskill,hr_skill_level_expert_softskill,2024-01-01,
employee_skill_admin_lead_adv,hr.employee_admin,hr_skill_leadership,hr_skill_type_softskill,hr_skill_level_advanced_softskill,2023-01-01,2023-06-30
employee_skill_admin_lead_exp,hr.employee_admin,hr_skill_leadership,hr_skill_type_softskill,hr_skill_level_expert_softskill,2023-07-01,
employee_skill_admin_py_exp,hr.employee_admin,hr_skill_python,hr_skill_type_dev,hr_skill_level_expert,2023-01-01,
employee_skill_admin_decision_int,hr.employee_admin,hr_skill_decision_making,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-01-01,2023-06-30
employee_skill_admin_decision_adv,hr.employee_admin,hr_skill_decision_making,hr_skill_type_softskill,hr_skill_level_advanced_softskill,2023-07-01,
employee_skill_admin_odoo_1,hr.employee_admin,hr_skill_type_certifications_odoo,hr_skill_type_certifications,hr_skill_level_certifications,2023-01-01,2023-06-30
employee_skill_admin_odoo_2,hr.employee_admin,hr_skill_type_certifications_odoo,hr_skill_type_certifications,hr_skill_level_certifications,2023-07-01,2023-12-31
employee_skill_admin_odoo_3,hr.employee_admin,hr_skill_type_certifications_odoo,hr_skill_type_certifications,hr_skill_level_certifications,2024-01-01,
employee_skill_al_stress_exp,hr.employee_al,hr_skill_stress_management,hr_skill_type_softskill,hr_skill_level_expert_softskill,2023-01-01,
employee_skill_al_lead_int,hr.employee_al,hr_skill_leadership,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-01-01,2023-06-30
employee_skill_al_lead_adv,hr.employee_al,hr_skill_leadership,hr_skill_type_softskill,hr_skill_level_advanced_softskill,2023-07-01,
employee_skill_al_py_adv,hr.employee_al,hr_skill_python,hr_skill_type_dev,hr_skill_level_advanced,2023-01-01,
employee_skill_al_decision_int,hr.employee_al,hr_skill_decision_making,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-01-01,2023-12-31
employee_skill_al_decision_adv,hr.employee_al,hr_skill_decision_making,hr_skill_type_softskill,hr_skill_level_advanced_softskill,2024-01-01,
employee_skill_hne_persuasion_elem,hr.employee_hne,hr_skill_persuasion,hr_skill_type_softskill,hr_skill_level_elementary_softskill,2023-01-01,2023-06-30
employee_skill_hne_persuasion_int,hr.employee_hne,hr_skill_persuasion,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-07-01,
employee_skill_hne_problem_beg,hr.employee_hne,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_beginner_softskill,2023-01-01,2023-06-30
employee_skill_hne_problem_elem,hr.employee_hne,hr_skill_problem_solving,hr_skill_type_softskill,hr_skill_level_elementary_softskill,2023-07-01,
employee_skill_hne_public_l3,hr.employee_hne,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml3,2023-01-01,
employee_skill_hne_en_b2,hr.employee_hne,hr_skill_english,hr_skill_type_lang,hr_skill_level_b2,2023-01-01,2023-12-31
employee_skill_hne_en_c1,hr.employee_hne,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1,2024-01-01,
employee_skill_fpi_persuasion_int,hr.employee_fpi,hr_skill_persuasion,hr_skill_type_softskill,hr_skill_level_intermediate_softskill,2023-01-01,2023-06-30
employee_skill_fpi_persuasion_adv,hr.employee_fpi,hr_skill_persuasion,hr_skill_type_softskill,hr_skill_level_advanced_softskill,2023-07-01,
employee_skill_fpi_public_l2,hr.employee_fpi,hr_skill_public,hr_skill_type_marketing,hr_skill_level_ml2,2023-01-01,2023-06-30
