"id","name","description","active","invoice_label","amount","amount_type","type_tax_use","tax_group_id","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr"
"tva_sale_19","19%","18% VAT + 1% CSS","","","","group","sale","tax_group_19","tva_sale_18,css_sale_1","","","","","","","18% TVA + 1% CSS"
"tva_purchase_19","19%","18% VAT + 1% CSS","","","","group","purchase","tax_group_19","tva_purchase_18,css_purchase_1","","","","","","","18% TVA + 1% CSS"
"tva_sale_11","11%","10% VAT + 1% CSS","","","","group","sale","tax_group_11","tva_sale_10,css_sale_1","","","","","","","10% TVA + 1% CSS"
"tva_purchase_11","11%","10% VAT + 1% CSS","","","","group","purchase","tax_group_11","tva_purchase_10,css_purchase_1","","","","","","","10% TVA + 1% CSS"
"tva_sale_6","6%","5% VAT + 1% CSS","","","","group","sale","tax_group_6","tva_sale_5,css_sale_1","","","","","","","5% TVA + 1% CSS"
"tva_purchase_6","6%","5% VAT + 1% CSS","","","","group","purchase","tax_group_6","tva_purchase_5,css_purchase_1","","","","","","","5% TVA + 1% CSS"
"tva_sale_lasm_19","19% SD","18% VAT + 1% CSS self-delivery","False","","","group","sale","tax_group_19","tva_lasm_18,css_lasm_1","","","","","","19% LASM","18% TVA + 1% CSS livraison à soi-même"
"tva_sale_18","18%","","False","","18.0","percent","sale","tax_group_18","","base","invoice","","+GA_base_3_18","","",""
"","","","","","","","","","","tax","invoice","pcg_4431","+GA_tax_3_18","","",""
"","","","","","","","","","","base","refund","","-GA_base_3_18","","",""
"","","","","","","","","","","tax","refund","pcg_4431","-GA_tax_3_18","","",""
"tva_sale_10","10%","","False","","10.0","percent","sale","tax_group_10","","base","invoice","","+GA_base_3_10","","",""
"","","","","","","","","","","tax","invoice","pcg_4431","+GA_tax_3_10","","",""
"","","","","","","","","","","base","refund","","-GA_base_3_10","","",""
"","","","","","","","","","","tax","refund","pcg_4431","-GA_tax_3_10","","",""
"tva_sale_5","5%","","False","","5.0","percent","sale","tax_group_5","","base","invoice","","+GA_base_3_5","","",""
"","","","","","","","","","","tax","invoice","pcg_4431","+GA_tax_3_5","","",""
"","","","","","","","","","","base","refund","","-GA_base_3_5","","",""
"","","","","","","","","","","tax","refund","pcg_4431","-GA_tax_3_5","","",""
"css_sale_1","1% CSS","1% Special solidarity contribution","False","","1.0","percent","sale","tax_group_1","","base","invoice","","+GA_css","","","1% Contribution spéciale de solidarité"
"","","","","","","","","","","tax","invoice","pcg_4431","+GA_css_tax","","",""
"","","","","","","","","","","base","refund","","-GA_css","","",""
"","","","","","","","","","","tax","refund","pcg_4431","-GA_css_tax","","",""
"tva_lasm_18","18% SD","18% (self-delivery)","False","","18.0","percent","sale","tax_group_18","","base","invoice","","+GA_base_5b_18","","18% LASM","18% (livraison à soi-même)"
"","","","","","","","","","","tax","invoice","pcg_4431","-GA_tax_5b_18","-100","",""
"","","","","","","","","","","tax","invoice","pcg_4452","+GA_7a_18","","",""
"","","","","","","","","","","base","refund","","-GA_base_5b_18||-GA_css_other","","",""
"","","","","","","","","","","tax","refund","pcg_4431","+GA_tax_5b_18","-100","",""
"","","","","","","","","","","tax","refund","pcg_4452","-GA_7a_18","","",""
"tva_lasm_10","10% SD","10% (self-delivery)","False","","10.0","percent","sale","tax_group_10","","base","invoice","","+GA_base_5b_10","","10% LASM","10% (livraison à soi-même)"
"","","","","","","","","","","tax","invoice","pcg_4431","-GA_tax_5b_10","-100","",""
"","","","","","","","","","","tax","invoice","pcg_4452","+GA_7a_10","","",""
"","","","","","","","","","","base","refund","","-GA_base_5b_10","","",""
"","","","","","","","","","","tax","refund","pcg_4431","+GA_tax_5b_10","-100","",""
"","","","","","","","","","","tax","refund","pcg_4452","-GA_7a_10","","",""
"tva_lasm_5","5% SD","5% (self-delivery)","False","","5.0","percent","sale","tax_group_5","","base","invoice","","+GA_base_5b_5","","5% LASM","5% (livraison à soi-même)"
"","","","","","","","","","","tax","invoice","pcg_4431","-GA_tax_5b_5","-100","",""
"","","","","","","","","","","tax","invoice","pcg_4452","+GA_7a_5","","",""
"","","","","","","","","","","base","refund","","-GA_base_5b_5","","",""
"","","","","","","","","","","tax","refund","pcg_4431","+GA_tax_5b_5","-100","",""
"","","","","","","","","","","tax","refund","pcg_4452","-GA_7a_5","","",""
"css_lasm_1","1% CSS SD","1% Special solidarity contribution, self-delivery","False","","1.0","percent","sale","tax_group_1","","base","invoice","","+GA_css_other","","1% CSS LASM","1% Contribution spéciale de solidarité, livraison à soi-même"
"","","","","","","","","","","tax","invoice","pcg_4431","+GA_css_tax","","",""
"","","","","","","","","","","base","refund","","-GA_css_other","","",""
"","","","","","","","","","","tax","refund","pcg_4431","-GA_css_tax","","",""
"tva_purchase_18","18%","","False","","18.0","percent","purchase","tax_group_18","","base","invoice","","","","",""
"","","","","","","","","","","tax","invoice","pcg_4452","+GA_7b_18","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","pcg_4452","-GA_7b_18","","",""
"tva_purchase_10","10%","","False","","10.0","percent","purchase","tax_group_10","","base","invoice","","","","",""
"","","","","","","","","","","tax","invoice","pcg_4452","+GA_7b_10","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","pcg_4452","-GA_7b_10","","",""
"tva_purchase_5","5%","","False","","5.0","percent","purchase","tax_group_5","","base","invoice","","","","",""
"","","","","","","","","","","tax","invoice","pcg_4452","+GA_7b_5","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","pcg_4452","-GA_7b_5","","",""
"css_purchase_1","1%","","False","","1.0","percent","purchase","tax_group_1","","base","invoice","","","","",""
"","","","","","","","","","","tax","invoice","pcg_4452","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","pcg_4452","","","",""
"tva_export_0","0% EX","0% (export)","","","0.0","","sale","tax_group_0","","base","invoice","","+GA_export","","","0% (exportation)"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-GA_export","","",""
"","","","","","","","","","","tax","refund","","","","",""
"tva_import_0","0% EX","0% (import)","","","0.0","","purchase","tax_group_0","","base","invoice","","","","","0% (importation)"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"tva_exempt_0","0%","0% (exempt)","","","0.0","","sale","tax_group_0","","base","invoice","","+GA_non_impo","","","0% (exonéré)"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-GA_non_impo","","",""
"","","","","","","","","","","tax","refund","","","","",""
"tva_purchase_exempt_0","0%","0% (exempt)","","","0.0","","purchase","tax_group_0","","base","invoice","","","","","0% (exonéré)"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","","","","",""
