"id","name","description","active","invoice_label","amount","amount_type","type_tax_use","tax_group_id","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr"
"syscebnl_tva_sale_19","19%","18% VAT + 1% CSS","","","","group","sale","syscebnl_tax_group_19","syscebnl_tva_sale_18,css_sale_1","","","","","","","18% TVA + 1% CSS"
"syscebnl_tva_purchase_19","19%","18% VAT + 1% CSS","","","","group","purchase","syscebnl_tax_group_19","syscebnl_tva_purchase_18,css_purchase_1","","","","","","","18% TVA + 1% CSS"
"syscebnl_tva_sale_11","11%","10% VAT + 1% CSS","","","","group","sale","syscebnl_tax_group_11","syscebnl_tva_sale_10,css_sale_1","","","","","","","10% TVA + 1% CSS"
"syscebnl_tva_purchase_11","11%","10% VAT + 1% CSS","","","","group","purchase","syscebnl_tax_group_11","syscebnl_tva_purchase_10,css_purchase_1","","","","","","","10% TVA + 1% CSS"
"syscebnl_tva_sale_6","6%","5% VAT + 1% CSS","","","","group","sale","syscebnl_tax_group_6","syscebnl_tva_sale_5,css_sale_1","","","","","","","5% TVA + 1% CSS"
"syscebnl_tva_purchase_6","6%","5% VAT + 1% CSS","","","","group","purchase","syscebnl_tax_group_6","syscebnl_tva_purchase_5,css_purchase_1","","","","","","","5% TVA + 1% CSS"
"syscebnl_tva_sale_lasm_19","19% SD","18% VAT + 1% CSS self-delivery","False","","","group","sale","syscebnl_tax_group_19","syscebnl_tva_lasm_18,css_lasm_1","","","","","","19% LASM","18% TVA + 1% CSS livraison à soi-même"
"syscebnl_tva_sale_18","18%","","False","","18.0","percent","sale","syscebnl_tax_group_18","","base","invoice","","+GA_base_3_18","","",""
"","","","","","","","","","","tax","invoice","syscebnl_443","+GA_tax_3_18","","",""
"","","","","","","","","","","base","refund","","-GA_base_3_18","","",""
"","","","","","","","","","","tax","refund","syscebnl_443","-GA_tax_3_18","","",""
"syscebnl_tva_sale_10","10%","","False","","10.0","percent","sale","syscebnl_tax_group_10","","base","invoice","","+GA_base_3_10","","",""
"","","","","","","","","","","tax","invoice","syscebnl_443","+GA_tax_3_10","","",""
"","","","","","","","","","","base","refund","","-GA_base_3_10","","",""
"","","","","","","","","","","tax","refund","syscebnl_443","-GA_tax_3_10","","",""
"syscebnl_tva_sale_5","5%","","False","","5.0","percent","sale","syscebnl_tax_group_5","","base","invoice","","+GA_base_3_5","","",""
"","","","","","","","","","","tax","invoice","syscebnl_443","+GA_tax_3_5","","",""
"","","","","","","","","","","base","refund","","-GA_base_3_5","","",""
"","","","","","","","","","","tax","refund","syscebnl_443","-GA_tax_3_5","","",""
"css_sale_1","1% CSS","1% Special solidarity contribution","False","","1.0","percent","sale","syscebnl_tax_group_1","","base","invoice","","+GA_css","","","1% Contribution spéciale de solidarité"
