"id","name","description","invoice_label","amount","amount_type","type_tax_use","price_include","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@zh_CN"
"l10n_cn_sales_included_13","13% INC","VAT 13% (included)","13%","13.0","percent","sale","True","l10n_cn_tax_group_vat_13","base","invoice","","税收13% (含)"
"","","","","","","","","","tax","invoice","l10n_cn_2221",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","l10n_cn_2221",""
"l10n_cn_sales_included_9","9% INC","VAT 9% (included)","9%","9.0","percent","sale","True","l10n_cn_tax_group_vat_9","base","invoice","","税收9% (含)"
"","","","","","","","","","tax","invoice","l10n_cn_2221",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","l10n_cn_2221",""
"l10n_cn_sales_included_6","6% INC","VAT 6% (included)","6%","6.0","percent","sale","True","l10n_cn_tax_group_vat_6","base","invoice","","税收6% (含)"
"","","","","","","","","","tax","invoice","l10n_cn_2221",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","l10n_cn_2221",""
"l10n_cn_sales_excluded_13","13%","VAT 13%","13%","13.0","percent","sale","False","l10n_cn_tax_group_vat_13","base","invoice","","增值税13%"
"","","","","","","","","","tax","invoice","l10n_cn_2221",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","l10n_cn_2221",""
"l10n_cn_sales_excluded_9","9%","VAT 9%","9%","9.0","percent","sale","False","l10n_cn_tax_group_vat_9","base","invoice","","增值税9%"
"","","","","","","","","","tax","invoice","l10n_cn_2221",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","l10n_cn_2221",""
"l10n_cn_sales_excluded_6","6%","VAT 6%","6%","6.0","percent","sale","False","l10n_cn_tax_group_vat_6","base","invoice","","增值税6%"
"","","","","","","","","","tax","invoice","l10n_cn_2221",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","l10n_cn_2221",""
"l10n_cn_purchase_excluded_13","13%","VAT 13%","13%","13.0","percent","purchase","False","l10n_cn_tax_group_vat_13","base","invoice","","增值税13%"
"","","","","","","","","","tax","invoice","l10n_cn_2221",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","l10n_cn_2221",""
"l10n_cn_purchase_excluded_9","9%","VAT 9%","9%","9.0","percent","purchase","False","l10n_cn_tax_group_vat_9","base","invoice","","增值税9%"
"","","","","","","","","","tax","invoice","l10n_cn_2221",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","l10n_cn_2221",""
"l10n_cn_purchase_excluded_6","6%","VAT 6%","6%","6.0","percent","purchase","False","l10n_cn_tax_group_vat_6","base","invoice","","增值税6%"
"","","","","","","","","","tax","invoice","l10n_cn_2221",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","l10n_cn_2221",""
