"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@zh_CN"
"l10n_cn_tax_large_bis_sales_excluded_13","13%","VAT 13%","13%","13.0","percent","sale","l10n_cn_tax_group_vat_13","base","invoice","","增值税13%"
"","","","","","","","","tax","invoice","l10n_cn_common_account_2221",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_cn_common_account_2221",""
"l10n_cn_tax_large_bis_sales_excluded_9","9%","VAT 9%","9%","9.0","percent","sale","l10n_cn_tax_group_vat_9","base","invoice","","增值税9%"
"","","","","","","","","tax","invoice","l10n_cn_common_account_2221",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_cn_common_account_2221",""
"l10n_cn_tax_large_bis_sales_excluded_6","6%","VAT 6%","6%","6.0","percent","sale","l10n_cn_tax_group_vat_6","base","invoice","","增值税6%"
"","","","","","","","","tax","invoice","l10n_cn_common_account_2221",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_cn_common_account_2221",""
"l10n_cn_tax_large_bis_purchase_excluded_13","13%","VAT 13%","13%","13.0","percent","purchase","l10n_cn_tax_group_vat_13","base","invoice","","增值税13%"
"","","","","","","","","tax","invoice","l10n_cn_common_account_2221",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_cn_common_account_2221",""
"l10n_cn_tax_large_bis_purchase_excluded_9","9%","VAT 9%","9%","9.0","percent","purchase","l10n_cn_tax_group_vat_9","base","invoice","","增值税9%"
"","","","","","","","","tax","invoice","l10n_cn_common_account_2221",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_cn_common_account_2221",""
"l10n_cn_tax_large_bis_purchase_excluded_6","6%","VAT 6%","6%","6.0","percent","purchase","l10n_cn_tax_group_vat_6","base","invoice","","增值税6%"
"","","","","","","","","tax","invoice","l10n_cn_common_account_2221",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","l10n_cn_common_account_2221",""
