"id","code","name","account_type","reconcile","name@zh_CN"
"l10n_cn_account_1003","1003","Credit Card","liability_credit_card","True","信用卡"
"l10n_cn_account_101201","101201","Bank Suspense Account","asset_current","False","银行待清算账户"
"l10n_cn_account_101202","101202","Liquidity Transfer","asset_current","True","流动性转账"
"l10n_cn_account_1101","1101","Short-Term Investment","asset_current","False","短期投资"
"l10n_cn_account_122101","122101","Tax Paid","asset_current","False","已付税金"
"l10n_cn_account_122102","122102","Tax Receivable","asset_current","False","应收税金"
"l10n_cn_account_1231","1231","Other Current Assets","asset_current","False","其他流动资产"
"l10n_cn_account_140201","140201","Stock Interim (Received)","asset_current","False","暂收存货"
"l10n_cn_account_140202","140202","Stock Interim (Delivered)","asset_current","False","暂付存货"
"l10n_cn_account_1406","1406","Work In Progress","asset_current","False","在产品"
"l10n_cn_account_140601","140601","Work In Progress Overhead","asset_current","False","在产品费用"
"l10n_cn_account_1501","1501","Long-Term Bond Investment","asset_non_current","False","长期债券投资"
"l10n_cn_account_1602","1602","Tangible Assets Depreciation","asset_fixed","False","有形资产折旧"
"l10n_cn_account_1604","1604","Construction In Progress","asset_fixed","False","在建工程"
"l10n_cn_account_1605","1605","Construction Materials","asset_fixed","False","工程物资"
"l10n_cn_account_1606","1606","Liquidation Of Fixed Assets","asset_fixed","False","固定资产清理"
"l10n_cn_account_1621","1621","Productive Biological Assets","asset_fixed","False","生产性生物资产"
"l10n_cn_account_1622","1622","Accumulated Depreciation Of Productive Biological Assets","asset_fixed","False","生产性生物资产累计折旧"
"l10n_cn_account_1802","1802","Research And Development (R&D) Costs","asset_non_current","False","开发支出"
"l10n_cn_account_2232","2232","Profit Payable","liability_current","False","应付利润"
"l10n_cn_account_2301","2301","Other Current Liabilities","liability_current","False","其他流动负债"
"l10n_cn_account_2801","2801","Other Non-Current Liabilities","liability_non_current","False","其他非流动负债"
"l10n_cn_account_3001","3001","Paid-In Capital","equity","False","实收资本"
"l10n_cn_account_3002","3002","Capital Reserve","equity","False","资本公积"
"l10n_cn_account_3101","3101","Surplus Reserve","equity","False","盈余公积"
"l10n_cn_account_3103","3103","Current Year Profit","equity_unaffected","False","本年利润"
"l10n_cn_account_3104","3104","Profit Distribution","equity","False","利润分配"
"l10n_cn_account_4001","4001","Production Costs","expense_direct_cost","False","生产成本"
"l10n_cn_account_4101","4101","Depreciation","expense_direct_cost","False","制造费用"
"l10n_cn_account_4301","4301","R&D Expenditure","expense_direct_cost","False","研发支出"
"l10n_cn_account_4401","4401","Construction Cost","expense_direct_cost","False","工程施工"
"l10n_cn_account_4403","4403","Cost Of Repair","expense_direct_cost","False","机械作业"
"l10n_cn_account_5001","5001","Revenue","income","False","主营业务收入"
"l10n_cn_account_5051","5051","Other Operating Income","income","False","其他业务收入"
"l10n_cn_account_5111","5111","Income From Investments","income","False","投资收益"
"l10n_cn_account_5301","5301","Non-Operating Income","income_other","False","营业外收入"
"l10n_cn_account_530101","530101","Government Subsidies","income_other","False","政府补助"
"l10n_cn_account_530102","530102","Foreign Exchange Gain","income_other","False","汇兑收益"
"l10n_cn_account_530103","530103","Cash Difference Gain","income_other","False","现金溢余收益"
"l10n_cn_account_530104","530104","Cash Discount Gain","income_other","False","现金折扣收益"
"l10n_cn_account_5401","5401","Main Business Costs","expense_direct_cost","False","主营业务成本"
"l10n_cn_account_5402","5402","Other Business Costs","expense_direct_cost","False","其他业务成本"
"l10n_cn_account_5403","5403","Operating Taxes And Surcharges","expense","False","营业税金及附加"
"l10n_cn_account_540301","540301","Consumption Tax","expense","False","消费税"
"l10n_cn_account_540302","540302","Business Taxes And Surcharges","expense","False","营业税"
"l10n_cn_account_540303","540303","Urban Maintenance And Construction Tax","expense","False","城市维护建设税"
"l10n_cn_account_540304","540304","Resource Tax","expense","False","资源税"
"l10n_cn_account_540305","540305","Land Value Added Tax","expense","False","土地增值税"
"l10n_cn_account_540306","540306","Urban Land Use Tax","expense","False","城镇土地使用税"
"l10n_cn_account_540307","540307","Property Tax","expense","False","房产税"
"l10n_cn_account_540308","540308","Vehicle And Vessel Tax","expense","False","车船税"
"l10n_cn_account_540309","540309","Stamp Duty","expense","False","印花税"
"l10n_cn_account_540310","540310","Education Fee Surcharge","expense","False","教育费附加"
"l10n_cn_account_540311","540311","Mineral Resource Compensation Fee","expense","False","矿产资源补偿费"
"l10n_cn_account_540312","540312","Pollution Discharge Fee","expense","False","排污费"
"l10n_cn_account_5601","5601","Sales Expenses","expense","False","销售费用"
"l10n_cn_account_560101","560101","Product Repair Fee","expense","False","商品维修费"
"l10n_cn_account_560102","560102","Advertising And Promotion Expenses","expense","False","广告费和业务宣传费"
