"id","code_prefix_start","code_prefix_end","name","name@ar"
"bh_group_01","1000","1000","Liquidity","السيولة"
"bh_group_02","1001","1001","Liquidity","السيولة"
"bh_group_03","1009","1009","Liquidity","السيولة"
"bh_group_04","1002","1002","Receivables","الحسابات المدينة"
"bh_group_05","1003","1003","Deposits","الإيداعات"
"bh_group_06","1004","1004","Prepaid Expenses","النفقات مسبقة الدفع"
"bh_group_07","1005","1005","Inventory","المخزون"
"bh_group_08","1006","1006","Company Assets & Depreciation","أصول الشركة والإهلاك"
"bh_group_09","1007","1007","Licensing and Copyrights","الترخيص وحقوق النشر"
"bh_group_10","1008","1008","IFRS16 Assets & Depreciation","أصول IFRS16 والإهلاك"
"bh_group_11","2001","2001","Payables","الحسابات الدائنة"
"bh_group_12","2002","2002","Accrued Employee Expenses","نفقات الموظفين المستحقة"
"bh_group_13","2003","2003","Accrued Expenses","النفقات المستحقة"
"bh_group_14","2004","2004","Deferrals","التأجيلات"
"bh_group_15","2005","2005","Provisions","الأحكام"
"bh_group_16","2009","2009"," VAT","ضريبة القيمة المضافة"
"bh_group_17","4001","4001","Operating Income","الإيرادات التشغيلية"
"bh_group_18","4002","4002","Non-Operating Income","الإيرادات غير التشغيلية"
"bh_group_19","4003","4003","Other gains & losses - Other Income","المكاسب والخسائر الأخرى - إيرادات أخرى"
"bh_group_20","5001","5001","Cost of Sales","تكلفة المبيعات"
"bh_group_21","5002","5002","Employees Expenses","مصروفات الموظفين"
"bh_group_22","5003","5003","Payroll Expenses","مصروفات الرواتب"
"bh_group_23","5004","5004","Office and Location Expenses","نفقات المكتب والموقع"
"bh_group_24","5005","5005","Company Expenses","مصروفات الشركة"
"bh_group_25","500600","500649","Finance Expenses","المصروفات المالية"
"bh_group_26","500650","500699","Income Tax","ضريبة الدخل"
"bh_group_27","5007","5007","Misc. Company Expenses","متفرقات. مصروفات الشركة"
"bh_group_28","500800","500849","Assets Depreciation Expenses","مصروفات استهلاك الأصول"
"bh_group_29","500851","500899","IFRS16 Depreciation","IFRS16 الإهلاك"
"bh_group_30","5009","5009","Other gains & losses - Expenses","الأرباح والخسائر الأخرى - المصروفات"
"bh_group_31","5011","5011","Misc. Office Expenses","متفرقات. نفقات مكتبية"
