"id","l10n_hr_tax_category_id"
"VAT_S_IN_ROC_25","l10n_hr_edi.vat_type_pdv25"
"VAT_S_IN_ROC_13","l10n_hr_edi.vat_type_pdv13"
"VAT_S_IN_ROC_5","l10n_hr_edi.vat_type_pdv5"
"VAT_S_TAX_PERSON_25%","l10n_hr_edi.vat_type_pdv25"
"VAT_S_TAX_PERSON_13%","l10n_hr_edi.vat_type_pdv13"
"VAT_S_TAX_PERSON_5%","l10n_hr_edi.vat_type_pdv5"
"VAT_S_EU_G","l10n_hr_edi.vat_type_k"
"VAT_S_EU_S",""
"VAT_S_EX_O","l10n_hr_edi.vat_type_g"
"VAT_S_reverse_O",""
"VAT_S_carried_other_state_O",""
"VAT_S_person_not_in_ROC_O",""
"VAT_S_new_transport_other_state_O",""
"VAT_S_other_exempt_O","l10n_hr_edi.vat_type_e"
"VAT_P_install_assemb_goods_O",""
