"id","name","account_ids/account_src_id","account_ids/account_dest_id","name@es","country_id"
"l10n_cl_domestic_fiscal_position","CL Domestic","","","Compras - destinadas a generar operaciones no gravadas o exentas","base.cl"
"afpt_non_recoverable_vat_1","Purchases - intended to generate non-taxable or exempt transactions","","","Compras - destinadas a generar operaciones no gravadas o exentas","base.cl"
"afpt_non_recoverable_vat_2","Purchasing - Invoices from suppliers registered after the due date","","","Compras - Facturas de proveedores registrados fuera de plazo","base.cl"
"afpt_non_recoverable_vat_3","Purchases - Rejected expenses","","","Compras - Gastos rechazados","base.cl"
"afpt_non_recoverable_vat_4","Purchases - Free deliveries (prizes, bonuses, etc.) received","","","Compras - Entregas gratuitas (premios, bonificaciones, etc.) recibidos","base.cl"
"","","account_410235","account_410165","",""
"","","account_410230","account_410165","",""
"afpt_non_recoverable_vat_9","Purchases - Others","","","Compras - Otros","base.cl"
"afpt_fixed_asset","Purchases - Fixed Assets","","","Compras - Activo Fijo","base.cl"
"","","account_410230","account_121140","",""
"","","account_410235","account_121140","",""
"afpt_purchase_exempt","Purchases - Exempt","","","Compras - Exentas","base.cl"
"","","account_410230","account_410130","",""
"afpt_purchase_supermarket","Shopping - Supermarket","","","Compras - Supermercado","base.cl"
"","","account_410230","account_410233","",""
"","","account_410235","account_410233","",""
"afpt_sale_exempt","Sales - Exempt","","","Ventas - Exentas","base.cl"
"","","account_310115","account_310120","",""
"afpt_sale_exports","Sales - Exports","","","Ventas - Exportaciones","base.cl"
"","","account_310120","account_310125","",""
"","","account_310115","account_310125","",""
"afpt_purchase_imports","Purchases - Imports","","","Compras - Importaciones","base.cl"
"","","account_410230","account_410240","",""
"afpt_purchase_fees","Purchases - Fees","","","Compras - Honorarios","base.cl"
"","","account_410230","account_410130","",""
