"id","name","description","invoice_label","amount","amount_type","type_tax_use","l10n_cl_sii_code","tax_group_id","active","sequence","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@es","name@es","invoice_label@es"
"ITAX_19","19% VAT","VAT 19% Sale","VAT 19% Sale","19.0","percent","sale","14","tax_group_iva_19","","","base","invoice","+Ventas Netas Gravadas con IVA","","","IVA 19% Venta","19% IVA","IVA 19% Vta"
"","","","","","","","","","","","tax","invoice","+IVA Debito Fiscal","account_210710","","","",""
"","","","","","","","","","","","base","refund","-Ventas Netas Gravadas con IVA","","","","",""
"","","","","","","","","","","","tax","refund","-IVA Debito Fiscal","account_210710","","","",""
"OTAX_19","19% VAT","VAT 19% Purchase","VAT 19% Purchase","19.0","percent","purchase","14","tax_group_iva_19","","","base","invoice","+Compras Netas Gravadas Con IVA (recuperable)","","","IVA 19% Compra","19% IVA","IVA 19% Comp"
"","","","","","","","","","","","tax","invoice","+IVA Pagado Compras Recuperables","account_110710","","","",""
"","","","","","","","","","","","base","refund","-Compras Netas Gravadas Con IVA (recuperable)","","","","",""
"","","","","","","","","","","","tax","refund","-IVA Pagado Compras Recuperables","account_110710","","","",""
"I_IU2C","10.75% WH","Withholding 2nd Category 2020","Ret. 2da 2020","-10.75","percent","purchase","15","tax_group_2da_categ","False","2","base","invoice","+Base Retención Segunda Categoría","","","Ret. 2da Categoría 2020","10.75% Ret. 2da 2020","Ret. 2da 2020"
"","","","","","","","","","","","tax","invoice","+Retención Segunda Categoría","account_210740","","","",""
"","","","","","","","","","","","base","refund","-Base Retención Segunda Categoría","","","","",""
"","","","","","","","","","","","tax","refund","-Retención Segunda Categoría","account_210740","","","",""
"I_IR2C_2021","11.5% WH","Withholding 2nd Category 2021","Ret. 2da 2021","-11.5","percent","purchase","15","tax_group_2da_categ","False","2","base","invoice","+Base Retención Segunda Categoría","","100","Ret. 2da Categoría 2021","11.5% Ret. 2da 2021","Ret. 2da 2021"
"","","","","","","","","","","","tax","invoice","+Retención Segunda Categoría","account_210740","100","","",""
"","","","","","","","","","","","base","refund","-Base Retención Segunda Categoría","","100","","",""
"","","","","","","","","","","","tax","refund","-Retención Segunda Categoría","account_210740","100","","",""
"I_IR2C_2022","12.25% WH","Withholding 2nd Category 2022","Ret. 2da 2022","-12.25","percent","purchase","15","tax_group_2da_categ","","2","base","invoice","+Base Retención Segunda Categoría","","100","Ret. 2da Categoría 2022","12.25% Ret. 2da 2022","Ret. 2da 2022"
"","","","","","","","","","","","tax","invoice","+Retención Segunda Categoría","account_210740","100","","",""
"","","","","","","","","","","","base","refund","-Base Retención Segunda Categoría","","100","","",""
"","","","","","","","","","","","tax","refund","-Retención Segunda Categoría","account_210740","100","","",""
"I_IR2C_2023","13% WH","Withholding 2nd Category 2023","Ret. 2da 2023","-13.0","percent","purchase","15","tax_group_2da_categ","","2","base","invoice","+Base Retención Segunda Categoría","","100","Ret. 2da Categoría 2023","13% Ret. 2da 2023","Ret. 2da 2023"
"","","","","","","","","","","","tax","invoice","+Retención Segunda Categoría","account_210740","100","","",""
"","","","","","","","","","","","base","refund","-Base Retención Segunda Categoría","","100","","",""
"","","","","","","","","","","","tax","refund","-Retención Segunda Categoría","account_210740","100","","",""
"I_IR2C_2024","13.75% WH","Withholding 2nd Category 2024","Ret. 2da 2024","-13.75","percent","purchase","15","tax_group_2da_categ","","2","base","invoice","+Base Retención Segunda Categoría","","100","Ret. 2da Categoría 2024","13.75% Ret. 2da 2024","Ret. 2da 2024"
"","","","","","","","","","","","tax","invoice","+Retención Segunda Categoría","account_210740","100","","",""
"","","","","","","","","","","","base","refund","-Base Retención Segunda Categoría","","100","","",""
"","","","","","","","","","","","tax","refund","-Retención Segunda Categoría","account_210740","100","","",""
"I_IR2C_2025","14.5% WH","Withholding 2nd Category 2025","Ret. 2da 2025","-14.5","percent","purchase","15","tax_group_2da_categ","","2","base","invoice","+Base Retención Segunda Categoría","","100","Ret. 2da Categoría 2025","14.5% Ret. 2da 2025","Ret. 2da 2025"
"","","","","","","","","","","","tax","invoice","+Retención Segunda Categoría","account_210740","100","","",""
"","","","","","","","","","","","base","refund","-Base Retención Segunda Categoría","","100","","",""
"","","","","","","","","","","","tax","refund","-Retención Segunda Categoría","account_210740","100","","",""
"I_IR2C_2026","15.25% WH","Withholding 2nd Category 2026","Ret. 2da 2026","-15.25","percent","purchase","15","tax_group_2da_categ","","2","base","invoice","+Base Retención Segunda Categoría","","100","Ret. 2da Categoría 2026","15.25% Ret. 2da 2026","Ret. 2da 2026"
"","","","","","","","","","","","tax","invoice","+Retención Segunda Categoría","account_210740","100","","",""
"","","","","","","","","","","","base","refund","-Base Retención Segunda Categoría","","100","","",""
"","","","","","","","","","","","tax","refund","-Retención Segunda Categoría","account_210740","100","","",""
"I_RTI","19% WH","Total VAT withholding","Total VAT withholding","-19.0","percent","purchase","15","tax_group_retenciones","","2","base","invoice","+Retención Total (compras)","","","Retención Total IVA","19% Ret. Tot. IVA","Retención total IVA"
"","","","","","","","","","","","tax","invoice","+Retención Total (compras)","account_210715","","","",""
"","","","","","","","","","","","base","refund","-Retención Total (compras)","","","","",""
"","","","","","","","","","","","tax","refund","-Retención Total (compras)","account_210715","","","",""
"especifico_compra","63% Spec","Specific Purchase","Specific purchase","63.0","percent","purchase","29","tax_group_impuestos_especificos","","5","base","invoice","","","","Específico Compra","63% Espec. Comp.","Espec. Comp"
"","","","","","","","","","","","tax","invoice","","account_420220","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","account_420220","","","",""
"iva_activo_fijo","19% F A","VAT Purchase 19% Fixed Assets","VAT 19% fixed assets","19.0","percent","purchase","14","tax_group_iva_19","","6","base","invoice","+Compras de Activo Fijo","","","IVA Compra 19% Activo Fijo","19% IVA Act. F","IVA 19% ActF"
"","","","","","","","","","","","tax","invoice","+Compras Activo Fijo","account_110730","","","",""
"","","","","","","","","","","","base","refund","-Compras de Activo Fijo","","","","",""
"","","","","","","","","","","","tax","refund","-Compras Activo Fijo","account_110730","","","",""
"iva_activo_fijo_uso_comun","19% F A C","VAT Purchase 19% Fixed Assets Common Use","VAT 19% fixed assets common use","19.0","percent","purchase","14","tax_group_iva_19","","6","base","invoice","+Compras de Activo Fijo Uso Común","","","IVA Compra 19% Act. Fijo Uso Común","19% IVA Act. FUC","IVA 19% ActFUC"
