"id","name","description","active","invoice_label","amount","amount_type","type_tax_use","tax_group_id","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@fr","name@fr","fiscal_position_ids","original_tax_ids"
"syscebnl_tva_sale_18_9","18.9%","","True","","","group","sale","syscebnl_tax_group_18_9","syscebnl_tva_sale_18,syscebnl_tva_sale_09","","","","","","","","syscebnl_fiscal_position_template_1",""
"syscebnl_tva_purchase_18_9","18.9%","","True","","","group","purchase","syscebnl_tax_group_18_9","syscebnl_tva_purchase_18,syscebnl_tva_purchase_09","","","","","","","","syscebnl_fiscal_position_template_1",""
"syscebnl_tva_export_0","0% EX","0% (export)","True","","0.0","","sale","syscebnl_tax_group_0","","base","invoice","export","","","0% (exportation)","","syscebnl_fiscal_position_template_2","syscebnl_tva_sale_18_9"
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","export","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_exempt_0","0%","0% (exempt)","True","","0.0","","sale","syscebnl_tax_group_0","","base","invoice","sale_exempt","","","0% (exonéré)","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","sale_exempt","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_import_0","0% EX","0% (import)","True","","0.0","","purchase","syscebnl_tax_group_0","","base","invoice","","","","0% (importation)","","syscebnl_fiscal_position_template_2","syscebnl_tva_purchase_18_9"
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_purchase_exempt_0","0%","0% (exempt)","True","","0.0","","purchase","syscebnl_tax_group_0","","base","invoice","purc_exempt","","","0% (exonéré)","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","purc_exempt","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_sale_18","18%","","False","","18.0","percent","sale","syscebnl_tax_group_18","","base","invoice","base_18","","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","","","tax","invoice","tax_18","syscebnl_443","","","","",""
"","","","","","","","","","","base","refund","base_18","","","","","",""
"","","","","","","","","","","tax","refund","tax_18","syscebnl_443","","","","",""
"syscebnl_tva_purchase_18","18%","","False","","18.0","percent","purchase","syscebnl_tax_group_18","","base","invoice","purc_base","","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","","","tax","invoice","purc_tax","syscebnl_445","","","","",""
"","","","","","","","","","","base","refund","purc_base","","","","","",""
"","","","","","","","","","","tax","refund","purc_tax","syscebnl_445","","","","",""
"syscebnl_tva_sale_09","0.9%","additional cents","False","","0.9","percent","sale","syscebnl_tax_group_09","","base","invoice","base_cents","","","centimes additionaux","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","","","tax","invoice","tax_cents","syscebnl_443","","","","",""
"","","","","","","","","","","base","refund","base_cents","","","","","",""
"","","","","","","","","","","tax","refund","tax_cents","syscebnl_443","","","","",""
"syscebnl_tva_purchase_09","0.9%","","False","","0.9","percent","purchase","syscebnl_tax_group_09","","base","invoice","purc_base","","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","","","tax","invoice","","syscebnl_445","","","","",""
"","","","","","","","","","","base","refund","purc_base","","","","","",""
"","","","","","","","","","","tax","refund","","syscebnl_445","","","","",""
