"id","name","code","account_type","reconcile","non_trade","name@sk","description","description@sk","tax_ids","depreciation_model_id"
"chart_sk_012000","Activated development costs","012000","asset_fixed","False","False","Aktivované náklady na vývoj","Capitalized costs of internally developed projects, such as R&D, that are expected to bring long-term economic benefit.","Aktivované náklady na interné vývojové projekty, napríklad výskum a vývoj, s dlhodobým ekonomickým prínosom.","","asset_5_year_linear"
"chart_sk_013000","Software","013000","asset_fixed","False","False","Softvér","Acquisition costs of software licenses, ERP/CRM systems, and custom-developed applications used long-term by the business.","Obstarávacie náklady na softvérové licencie, ERP/CRM systémy a zákazkovo vyvinuté aplikácie využívané dlhodobo.","","asset_4_year_linear"
"chart_sk_014000","Appreciable rights","014000","asset_fixed","False","False","Oceniteľné práva","Acquisition costs of patents, trademarks, licenses, and other valuable intangible rights held long-term.","Obstarávacie náklady na patenty, ochranné známky, licencie a iné oceniteľné nehmotné práva držané dlhodobo.","","asset_5_year_linear"
"chart_sk_015000","Goodwill","015000","asset_fixed","False","False","Goodwill","Excess of the purchase price over the fair value of net assets acquired in a business combination.","Rozdiel medzi kúpnou cenou a reálnou hodnotou čistých aktív nadobudnutých pri kúpe podniku.","","asset_5_year_linear"
"chart_sk_019000","Other intangible fixed assets","019000","asset_fixed","False","False","Ostatný dlhodobý nehmotný majetok","Other long-term intangible assets not classified under development costs, software, rights, or goodwill.","Ostatný dlhodobý nehmotný majetok nezaradený medzi vývoj, softvér, práva alebo goodwill.","","asset_5_year_linear"
"chart_sk_021000","Buildings","021000","asset_fixed","False","False","Stavby","Acquisition value of buildings, including construction, renovation, and associated permitting or architect fees.","Obstarávacia hodnota stavieb vrátane výstavby, rekonštrukcie a súvisiacich poplatkov za povolenia či architektov.","","asset_40_year_linear"
"chart_sk_022000","Separate movables and sets of movables","022000","asset_fixed","False","False","Samostatné hnuteľné veci a súbory hnuteľných vecí","Acquisition value of standalone movable assets and sets of movable assets used in operations, such as equipment and machinery.","Obstarávacia hodnota samostatných hnuteľných vecí a ich súborov využívaných v prevádzke, napríklad zariadení a strojov.","","asset_6_year_linear"
"chart_sk_025000","Growing units of permanent crops","025000","asset_fixed","False","False","Pestovateľské celky trvalých porastov","Acquisition value of orchards, vineyards, and other permanent crop plantations with multi-year productive life.","Obstarávacia hodnota sadov, viníc a iných trvalých porastov s viacročnou úžitkovou dobou.","","asset_12_year_linear"
"chart_sk_026000","Basic herd and draft animals","026000","asset_fixed","False","False","Základné stádo a ťažné zvieratá","Acquisition value of breeding stock and draft animals held for long-term productive use.","Obstarávacia hodnota základného stáda a ťažných zvierat držaných na dlhodobé produkčné využitie.","","asset_4_year_linear"
"chart_sk_029000","Other tangible fixed assets","029000","asset_fixed","False","False","Ostatný dlhodobý hmotný majetok","Other long-term tangible fixed assets not classified elsewhere in the tangible asset group.","Ostatný dlhodobý hmotný majetok nezaradený inde v skupine hmotného majetku.","","asset_6_year_linear"
"chart_sk_031000","Land","031000","asset_fixed","False","False","Pozemky","Acquisition value of land held by the company; land is not depreciated.","Obstarávacia hodnota pozemkov vo vlastníctve spoločnosti; pozemky sa neodpisujú.","",""
