Pregunta,Tipo,Ponderacion,Categoria,Opciones
Ejemplo para una pregunta de opcion multiple,multiple_choice,,datos_generales,"1,2,3"
Ejemplo de una pregunta abierta,open_question,,reclutamiento_y_seleccion_de_personal,
Ejemplo para una pregunta escala,escala,ascendente,formacion_y_capacitacion,
Ejemplo para una pregunta escala,escala,descendente,permanencia_y_ascenso,
Ejemplo para una pregunta de opcion multiple,multiple_choice,,corresponsabilidad_en_la_vida_laboral_familiar_y_personal,"Siempre, Casi Siempre, A veces, Casi Nunca,Nunca"
Ejemplo para una pregunta de opcion multiple,multiple_choice,,clima_laboral_libre_de_violencia,"A,B,C,D"
Ejemplo de una pregunta abierta,open_question,,acoso_y_hostigamiento,
Ejemplo para una pregunta escala,escala,ascendente,accesibilidad,
Ejemplo de una pregunta abierta,open_question,,respeto_a_la_diversidad,
Ejemplo para una pregunta escala,escala,descendente,condiciones_generales_de_trabajo,
