code,description,long_description,type,category,fs_mapping,parent_code,normal_balance,tags,default_vendors,regulatory_mapping,start_date,end_date,notes,subcategory,cash_flow_classification,cost_center,GAAP_classification,detailed_description
10000,ASSET,This is a header account that organizes all asset accounts in the chart of accounts. Header accounts are used for reporting and organizational purposes only; transactions should not be posted directly to this account. All detail accounts within this category will roll up to this header for financial statement presentation.,Header,Asset,Balance Sheet,,Debit,"asset, header, rollup, summary",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,Header account - do not post transactions,,,,Asset,Asset category header
20000,LIABILITY,This is a header account that organizes all liability accounts in the chart of accounts. Header accounts are used for reporting and organizational purposes only; transactions should not be posted directly to this account. All detail accounts within this category will roll up to this header for financial statement presentation.,Header,Liability,Balance Sheet,,Credit,"liability, header, rollup, summary",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,Header account - do not post transactions,,,,Liability,Liability category header
30000,EQUITY,This is a header account that organizes all equity accounts in the chart of accounts. Header accounts are used for reporting and organizational purposes only; transactions should not be posted directly to this account. All detail accounts within this category will roll up to this header for financial statement presentation.,Header,Equity,Balance Sheet,,Credit,"equity, header, rollup, summary",,IAS 1 - Presentation of Financial Statements; ASC 505 - Equity,,,Header account - do not post transactions,,,,Equity,Equity category header
40000,REVENUE,This is a header account that organizes all revenue accounts in the chart of accounts. Header accounts are used for reporting and organizational purposes only; transactions should not be posted directly to this account. All detail accounts within this category will roll up to this header for financial statement presentation.,Header,Revenue,Income Statement,,Credit,"revenue, header, rollup, summary",,IFRS 15 - Revenue from Contracts; ASC 606 - Revenue Recognition,,,Header account - do not post transactions,,,,Revenue,Revenue category header
50000,COST OF GOODS SOLD,This is a header account that organizes all cost of goods sold accounts in the chart of accounts. Header accounts are used for reporting and organizational purposes only; transactions should not be posted directly to this account. All detail accounts within this category will roll up to this header for financial statement presentation.,Header,Cost of Goods Sold,Income Statement,,Debit,"cost of goods sold, header, rollup, summary",,IAS 2 - Inventories; ASC 330 - Inventory,,,Header account - do not post transactions,,,,Cost of Goods Sold,Cost of Goods Sold category header
60000,EXPENSE,This is a header account that organizes all expense accounts in the chart of accounts. Header accounts are used for reporting and organizational purposes only; transactions should not be posted directly to this account. All detail accounts within this category will roll up to this header for financial statement presentation.,Header,Expense,Income Statement,,Debit,"expense, header, rollup, summary",,IAS 1 - Presentation of Financial Statements; ASC 220 - Income Statement,,,Header account - do not post transactions,,,,Expense,Expense category header
80000,OTHER,This is a header account that organizes all other accounts in the chart of accounts. Header accounts are used for reporting and organizational purposes only; transactions should not be posted directly to this account. All detail accounts within this category will roll up to this header for financial statement presentation.,Header,Other,Income Statement,,Credit,"other, header, rollup, summary",,IAS 1 - Presentation of Financial Statements; ASC 205 - Presentation of Financial Statements,,,Header account - do not post transactions,,,,Other,Other category header
10000,Loans to others,"This account represents loans to others classified as Asset - General. Loans to others - This account is used to record Short-term loans provided to an employee or others.

Purpose: This account tracks asset items specifically related to loans to others. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of loans to others transactions
- Adjustments related to loans to others
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"borrowing, debt, debit, financing, general, asset, operating-activities, credit",,IFRS 9 - Financial Instruments; ASC 470 - Debt,,,,Asset - General,Operating Activities,CC-0000,US-GAAP Asset,"Loans to others - This account is used to record Short-term loans provided to an employee or others.

Purpose: This account tracks asset items specifically related to loans to others. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of loans to others transactions
- Adjustments related to loans to others
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."
10069,Payments to deposit,"This account represents payments to deposit classified as Current Asset - Cash and Cash Equivalents. Payments to deposit - This account is used to record Cash or checks your business is ready to deposit at the bank.

Purpose: This account tracks asset items specifically related to payments to deposit. It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of payments to deposit transactions
- Adjustments related to payments to deposit
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"debit, equivalents, asset, operating-activities, cash, and",,IAS 7 - Statement of Cash Flows; ASC 305 - Cash and Cash Equivalents,,,,Current Asset - Cash and Cash Equivalents,Operating Activities,CC-0000,US-GAAP Asset,"Payments to deposit - This account is used to record Cash or checks your business is ready to deposit at the bank.

Purpose: This account tracks asset items specifically related to payments to deposit. It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.

Transaction Examples:
- Recording of payments to deposit transactions
- Adjustments related to payments to deposit
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."
10138,Prepaid expenses,"This account represents prepaid expenses classified as Current Asset - Prepaid Expenses. Prepaid expenses - This account is used to record Payments made in advance for products and services.

Purpose: This account tracks asset items specifically related to prepaid expenses. It is classified under Current Asset - Prepaid Expenses in accordance with US-GAAP standards.

Transaction Examples:
- Recording of prepaid expenses transactions
- Adjustments related to prepaid expenses
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Prepaid Expenses classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"debit, asset, operating-activities, expenses, prepaid",,IAS 1 - Presentation of Financial Statements; ASC 210 - Balance Sheet,,,,Current Asset - Prepaid Expenses,Operating Activities,CC-0000,US-GAAP Asset,"Prepaid expenses - This account is used to record Payments made in advance for products and services.

Purpose: This account tracks asset items specifically related to prepaid expenses. It is classified under Current Asset - Prepaid Expenses in accordance with US-GAAP standards.

Transaction Examples:
- Recording of prepaid expenses transactions
- Adjustments related to prepaid expenses
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Current Asset - Prepaid Expenses classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."
10207,Real estate loans to others,"This account represents real estate loans to others classified as Asset - General. Real estate loans to others - This account is used to record Loans given to others for real estate purchases to be paid back within a year.

Purpose: This account tracks asset items specifically related to real estate loans to others. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of real estate loans to others transactions
- Adjustments related to real estate loans to others
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance. The account is measured and reported in accordance with applicable IFRS and US-GAAP standards, ensuring accurate presentation of the entity's financial position.",Detail,Asset,Balance Sheet,10000,Debit,"borrowing, debt, debit, financing, general, asset, operating-activities, credit",,IFRS 9 - Financial Instruments; ASC 470 - Debt,,,,Asset - General,Operating Activities,CC-0000,US-GAAP Asset,"Real estate loans to others - This account is used to record Loans given to others for real estate purchases to be paid back within a year.

Purpose: This account tracks asset items specifically related to real estate loans to others. It is classified under Asset - General in accordance with US-GAAP standards.

Transaction Examples:
- Recording of real estate loans to others transactions
- Adjustments related to real estate loans to others
- Period-end reconciliation and reporting

GAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.

When NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.

Cross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.

Frequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."
