"id","parent_id","active","name","code","account_type","reconcile","non_trade","name@ar"
"bh_group_02","","False","Liquidity","1001","asset_current","","","السيولة"
"bh_group_04","","False","Receivables","1002","asset_current","","","الحسابات المدينة"
"bh_group_05","","False","Deposits","1003","asset_current","","","الإيداعات"
"bh_group_06","","False","Prepaid Expenses","1004","asset_current","","","النفقات مسبقة الدفع"
"bh_group_07","","False","Inventory","1005","asset_current","","","المخزون"
"bh_group_08","","False","Company Assets & Depreciation","1006","asset_fixed","","","أصول الشركة والإهلاك"
"bh_group_09","","False","Licensing and Copyrights","1007","asset_current","","","الترخيص وحقوق النشر"
"bh_group_10","","False","IFRS16 Assets & Depreciation","1008","asset_fixed","","","أصول IFRS16 والإهلاك"
"bh_group_11","","False","Payables","2001","liability_current","","","الحسابات الدائنة"
"bh_group_12","","False","Accrued Employee Expenses","2002","liability_current","","","نفقات الموظفين المستحقة"
"bh_group_13","","False","Accrued Expenses","2003","liability_current","","","النفقات المستحقة"
"bh_group_14","","False","Deferrals","2004","liability_current","","","التأجيلات"
"bh_group_15","","False","Provisions","2005","liability_non_current","","","الأحكام"
"bh_group_16","","False"," VAT","2009","asset_current","","","ضريبة القيمة المضافة"
"bh_group_17","","False","Operating Income","4001","income","","","الإيرادات التشغيلية"
"bh_group_18","","False","Non-Operating Income","4002","income_other","","","الإيرادات غير التشغيلية"
"bh_group_19","","False","Other gains & losses - Other Income","4003","income_other","","","المكاسب والخسائر الأخرى - إيرادات أخرى"
"bh_group_20","","False","Cost of Sales","5001","expense_direct_cost","","","تكلفة المبيعات"
"bh_group_21","","False","Employees Expenses","5002","expense","","","مصروفات الموظفين"
"bh_group_22","","False","Payroll Expenses","5003","expense","","","مصروفات الرواتب"
"bh_group_23","","False","Office and Location Expenses","5004","expense","","","نفقات المكتب والموقع"
"bh_group_24","","False","Company Expenses","5005","expense","","","مصروفات الشركة"
"bh_group_25","","False","Finance Expenses","500600-500649","expense","","","المصروفات المالية"
"bh_group_26","","False","Income Tax","500650-500699","expense","","","ضريبة الدخل"
"bh_group_27","","False","Misc. Company Expenses","5007","expense","","","متفرقات. مصروفات الشركة"
"bh_group_28","","False","Assets Depreciation Expenses","500800-500849","expense_depreciation","","","مصروفات استهلاك الأصول"
"bh_group_29","","False","IFRS16 Depreciation","500851-500899","expense_depreciation","","","IFRS16 الإهلاك"
