"id","sequence","name","description","invoice_label","price_include","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@ar","fiscal_position_ids","original_tax_ids"
"l10n_bh_sale_vat_10","1","10%","","10%","False","10.0","percent","sale","bh_tax_group_10","","base","invoice","1(a) B","","","fiscal_position_template_dom",""
"","","","","","","","","","","","tax","invoice","1(a) T","bh_account_200902","","",""
"","","","","","","","","","","","base","refund","1(a) B","","","",""
"","","","","","","","","","","","tax","refund","1(a) T","bh_account_200902","","",""
"l10n_bh_purchase_vat_10","2","10%","","10%","False","10.0","percent","purchase","bh_tax_group_10","","base","invoice","8(a) B","","","fiscal_position_template_dom",""
"","","","","","","","","","","","tax","invoice","8(a) T","bh_account_200901","","",""
"","","","","","","","","","","","base","refund","8(a) B","","","",""
"","","","","","","","","","","","tax","refund","8(a) T","bh_account_200901","","",""
"l10n_bh_purchase_vat_10_ex_df","3","10% EX DF","Subject to Deferral at Customs","10% Deferred Import","False","10.0","percent","purchase","bh_tax_group_10","","base","invoice","10 B","","خاضعة للتأجيل في الجمارك","fiscal_position_non_bahrain_gcc,fiscal_position_non_bahrain",""
"","","","","","","","","","","","tax","invoice","10 T","bh_account_200901","","",""
"","","","","","","","","","","","base","refund","10 B","","","",""
"","","","","","","","","","","","tax","refund","10 T","bh_account_200901","","",""
"l10n_bh_purchase_vat_10_ex","4","10% EX","Import","10% Import","False","10.0","percent","purchase","bh_tax_group_10","","base","invoice","9(a) B","","الاستيراد","fiscal_position_non_bahrain,fiscal_position_non_bahrain_gcc","l10n_bh_purchase_vat_10"
"","","","","","","","","","","","tax","invoice","9(a) T","bh_account_200901","","",""
"","","","","","","","","","","","base","refund","9(a) B","","","",""
"","","","","","","","","","","","tax","refund","9(a) T","bh_account_200901","","",""
"l10n_bh_sale_vat_0_gcc","5","0% GCC","GCC","0% GCC","False","0.0","percent","sale","bh_tax_group_0","","base","invoice","2 B","","دول مجلس التعاون الخليجي","fiscal_position_non_bahrain_gcc","l10n_bh_sale_vat_10"
"","","","","","","","","","","","tax","invoice","","bh_account_200902","","",""
"","","","","","","","","","","","base","refund","2 B","","","",""
"","","","","","","","","","","","tax","refund","","bh_account_200902","","",""
"l10n_bh_sale_0","6","0%","","0%","False","0.0","percent","sale","bh_tax_group_0","","base","invoice","4 B","","","fiscal_position_template_dom",""
"","","","","","","","","","","","tax","invoice","","bh_account_200902","","",""
"","","","","","","","","","","","base","refund","4 B","","","",""
"","","","","","","","","","","","tax","refund","","bh_account_200902","","",""
"l10n_bh_purchase_0","7","0%","","0%","False","0.0","percent","purchase","bh_tax_group_0","","base","invoice","13 B","","","fiscal_position_template_dom",""
"","","","","","","","","","","","tax","invoice","","bh_account_200901","","",""
"","","","","","","","","","","","base","refund","13 B","","","",""
"","","","","","","","","","","","tax","refund","","bh_account_200901","","",""
"l10n_bh_sale_0_ex","8","0% EX","Zero-rated exports","0% Export","False","0.0","percent","sale","bh_tax_group_0","","base","invoice","5 B","","الصادرات ذات التصنيف الصفري","fiscal_position_non_bahrain_gcc,fiscal_position_non_bahrain","l10n_bh_sale_vat_10"
"","","","","","","","","","","","tax","invoice","","bh_account_200902","","",""
"","","","","","","","","","","","base","refund","5 B","","","",""
"","","","","","","","","","","","tax","refund","","bh_account_200902","","",""
"l10n_bh_sale_0_EXT","9","0% EXT","Exempt","Exempt","False","0.0","percent","sale","bh_tax_group_exempt","","base","invoice","6 B","","معفاة","",""
"","","","","","","","","","","","tax","invoice","","bh_account_200902","","",""
"","","","","","","","","","","","base","refund","6 B","","","",""
"","","","","","","","","","","","tax","refund","","bh_account_200902","","",""
"l10n_bh_purchase_0_EXT","10","0% EXT","Exempt","Exempt","False","0.0","percent","purchase","bh_tax_group_exempt","","base","invoice","13 B","","معفاة","",""
"","","","","","","","","","","","tax","invoice","","bh_account_200901","","",""
"","","","","","","","","","","","base","refund","13 B","","","",""
"","","","","","","","","","","","tax","refund","","bh_account_200901","","",""
"l10n_bh_purchase_10_RC_D","11","10% RC D","Domestic supplies subject to reverse charge provisions","10% Domestic Reverse Charge","False","10.0","percent","purchase","bh_tax_group_10","","base","invoice","12 B","","التوريدات المحلية الخاضعة لأحكام الرسوم العكسية","fiscal_position_template_dom",""
"","","","","","","","","","","","tax","invoice","12 T","bh_account_200907","","",""
"","","","","","","","","","","-100","tax","invoice","12 T","bh_account_200902","","",""
"","","","","","","","","","","","base","refund","12 B","","","",""
"","","","","","","","","","","","tax","refund","12 T","bh_account_200907","","",""
"","","","","","","","","","","-100","tax","refund","12 T","bh_account_200902","","",""
"l10n_bh_purchase_10_RC","12","10% RC","Supplies subject to reverse charge provisions","10% Reverse Charge","False","10.0","percent","purchase","bh_tax_group_rc_10","","base","invoice","11(a) B","","التوريدات الخاضعة لأحكام الرسوم العكسية","fiscal_position_non_bahrain_gcc,fiscal_position_non_bahrain",""
