"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@fr"
"fiscal_position_template_domestic","1","Domestic - France","1","1","base.fr","","","","Domestique - France"
"fiscal_position_template_intraeub2c","2","EU private","1","","","base.europe","","","EU privé"
"fiscal_position_template_intraeub2b","3","Intra-EU B2B","1","1","","base.europe","tva_normale","tva_sale_good_intra_0","Intra-EU B2B"
"","","","","","","","tva_normale_ttc","tva_sale_good_intra_0",""
"","","","","","","","tva_intermediaire_encaissement","tva_sale_service_intra_0",""
"","","","","","","","tva_normale_encaissement","tva_sale_service_intra_0",""
"","","","","","","","tva_normale_encaissement_ttc","tva_sale_service_intra_0",""
"","","","","","","","tva_intermediaire_encaissement_ttc","tva_sale_service_intra_0",""
"","","","","","","","tva_specifique","tva_sale_good_intra_0",""
"","","","","","","","tva_specifique_ttc","tva_sale_good_intra_0",""
"","","","","","","","tva_intermediaire","tva_sale_good_intra_0",""
"","","","","","","","tva_intermediaire_ttc","tva_sale_good_intra_0",""
"","","","","","","","tva_reduite","tva_sale_good_intra_0",""
"","","","","","","","tva_reduite_ttc","tva_sale_good_intra_0",""
"","","","","","","","tva_reduite_encaissement_ttc","tva_sale_service_intra_0",""
"","","","","","","","tva_reduite_encaissement","tva_sale_service_intra_0",""
"","","","","","","","tva_super_reduite","tva_sale_good_intra_0",""
"","","","","","","","tva_super_reduite_ttc","tva_sale_good_intra_0",""
"","","","","","","","tva_super_reduite_encaissement_ttc","tva_sale_service_intra_0",""
"","","","","","","","tva_super_reduite_encaissement","tva_sale_service_intra_0",""
"","","","","","","","tva_acq_normale","tva_intra_normale_biens",""
"","","","","","","","tva_acq_specifique","tva_intra_specifique_biens",""
"","","","","","","","tva_acq_encaissement","tva_intra_normale_services",""
"","","","","","","","tva_acq_intermediaire_encaissement","tva_intra_intermediaire_services",""
"","","","","","","","tva_acq_intermediaire","tva_intra_intermediaire_biens",""
"","","","","","","","tva_acq_reduite","tva_intra_reduite_biens",""
"","","","","","","","tva_acq_encaissement_reduite","tva_intra_reduite_services",""
"","","","","","","","tva_acq_super_reduite","tva_intra_super_reduite_biens",""
"","","","","","","","tva_acq_encaissement_super_reduite","tva_intra_super_reduite_services",""
"fiscal_position_template_import_export","50","Import/Export Outside Europe + DOM-TOM","1","","","","tva_normale","tva_sale_good_export_0","Import/Export Hors Europe + DOM-TOM"
"","","","","","","","tva_normale_ttc","tva_sale_good_export_0",""
"","","","","","","","tva_normale_encaissement","tva_sale_service_export_0",""
"","","","","","","","tva_intermediaire_encaissement","tva_sale_service_export_0",""
"","","","","","","","tva_normale_encaissement_ttc","tva_sale_service_export_0",""
"","","","","","","","tva_intermediaire_encaissement_ttc","tva_sale_service_export_0",""
"","","","","","","","tva_specifique","tva_sale_good_export_0",""
"","","","","","","","tva_specifique_ttc","tva_sale_good_export_0",""
"","","","","","","","tva_intermediaire","tva_sale_good_export_0",""
"","","","","","","","tva_intermediaire_ttc","tva_sale_good_export_0",""
"","","","","","","","tva_reduite","tva_sale_good_export_0",""
"","","","","","","","tva_reduite_ttc","tva_sale_good_export_0",""
"","","","","","","","tva_reduite_encaissement_ttc","tva_sale_service_export_0",""
"","","","","","","","tva_reduite_encaissement","tva_sale_service_export_0",""
"","","","","","","","tva_super_reduite","tva_sale_good_export_0",""
"","","","","","","","tva_super_reduite_ttc","tva_sale_good_export_0",""
"","","","","","","","tva_super_reduite_encaissement_ttc","tva_sale_service_export_0",""
"","","","","","","","tva_super_reduite_encaissement","tva_sale_service_export_0",""
"","","","","","","","tva_acq_normale","tva_import_outside_eu_20",""
"","","","","","","","tva_acq_specifique","tva_import_outside_eu_8_5",""
"","","","","","","","tva_acq_intermediaire","tva_import_outside_eu_10",""
"","","","","","","","tva_acq_reduite","tva_import_outside_eu_5_5",""
"","","","","","","","tva_acq_super_reduite","tva_import_outside_eu_2_1",""
