"id","code_prefix_start","code_prefix_end","name","name@fr"
"syscebnl_group_1","1",,"Sustainable resources accounts","Comptes de ressources durables"
"syscebnl_group_10","10",,"Endowment","Dotation"
"syscebnl_group_11","11",,"Reserves","Réserves"
"syscebnl_group_12","12",,"Retained earnings","Report à nouveau"
"syscebnl_group_13","13",,"Net income for the year","Résultat net de l'exercice"
"syscebnl_group_14","14",,"Investment grants","Subventions d'investissement"
"syscebnl_group_15","15",,"Regulated provisions and similar funds","Provisions réglementées et fonds assimilés"
"syscebnl_group_16","16",,"Restricted funds","Fonds affectés"
"syscebnl_group_17","17",,"Funds carried forward","Fonds reportés"
"syscebnl_group_18","18",,"Loans and similar debt","Emprunts et dette assimilées"
"syscebnl_group_19","19",,"Provisions for liabilities and charges","Provisions pour risques et charges"
"syscebnl_group_2","2",,"Non-current assets","Compte d'actif immobilisé"
"syscebnl_group_20","20",,"Fixed assets held for sale from gifts and bequests not yet received and temporary usufruct","Immobilisations destinées à la vente provenant de dons et legs non encore reçus et usufruit temporaire"
"syscebnl_group_21","21",,"Intangible fixed assets","Immobilisations incorporelles"
"syscebnl_group_22","22",,"Land","Terrains"
"syscebnl_group_23","23",,"Buildings, technical installations and fixtures","Bâtiments, installations techniques et agencements"
"syscebnl_group_24","24",,"Equipment, furniture and biological assets","Matériel, mobilier et actifs biologiques"
"syscebnl_group_25","25",,"Advances and deposits paid on fixed assets","Avances et acomptes versés sur immobilisations"
"syscebnl_group_26","26",,"Investments in associates","Titres de participation"
"syscebnl_group_27","27",,"Other non-current financial assets","Autres immoblisations financières"
"syscebnl_group_28","28",,"Depreciation","Amortissements"
"syscebnl_group_29","29",,"Impairment of fixed assets","Dépréciations des immobilisations"
"syscebnl_group_3","3",,"Inventories","Comptes de stocks"
"syscebnl_group_31","31",,"Business assets","Biens liés à l'activité"
"syscebnl_group_32","32",,"Related goods, raw materials and supplies","Marchandises, matières premières et fournitures liées"
"syscebnl_group_33","33",,"Other supplies","Autres approvisionnements"
"syscebnl_group_34","34",,"Donations in kind","Dons en nature"
"syscebnl_group_36","36",,"Finished goods","Produits finis"
"syscebnl_group_38","38",,"Donations in kind H.A.O.","Dons en nature H.A.O."
"syscebnl_group_39","39",,"Inventory and work-in-progress write-downs","Dépréciations des stocks et des productions en cours"
"syscebnl_group_4","4",,"Third-party accounts","Comptes de tiers"
"syscebnl_group_40","40",,"Suppliers and related accounts","Fournisseurs et comptes rattachés"
"syscebnl_group_41","41",,"Members, customer-users and related accounts","Adhérents, clients-usagers et comptes rattachés"
"syscebnl_group_42","42",,"Employees","Personnel"
"syscebnl_group_43","43",,"Social organizations","Organismes sociaux"
"syscebnl_group_44","44",,"State and public authorities","État et collectivités publiques"
"syscebnl_group_45","45",,"Founders, contributors and current accounts","Fondateurs, apporteurs et comptes courants"
"syscebnl_group_46","46",,"Lessors, government and other bodies, administration funds","Bailleurs, Etat et autres organismes, fonds d'administration"
"syscebnl_group_47","47",,"Sundry debtors and creditors","Débiteurs et créditeurs divers"
"syscebnl_group_48","48",,"Receivables and payables from donations other than ordinary activities (H.A.O.)","Créances et dettes dons hors activités ordinaires (H.A.O.)"
"syscebnl_group_49","49",,"Depreciation and provisions for short-term liabilities and charges (third parties)","Dépréciations et provisions pour risques et charges à court terme (tiers)"
"syscebnl_group_5","5",,"Cash account","Compte de trésorerie"
"syscebnl_group_50","50",,"Marketable securities","Titres de placement"
"syscebnl_group_51","51",,"Cash in hand","Valeurs à encaisser"
"syscebnl_group_52","52",,"Banks","Banques"
"syscebnl_group_53","53",,"Financial institutions and similar","Établissements financiers et assimilés"
"syscebnl_group_55","55",,"Electronic money instruments","Instruments de monnaie électronique"
"syscebnl_group_56","56",,"Banks, cash and discount credits","Banques, crédits de trésorerie et d’escompte"
"syscebnl_group_57","57",,"Cash","Caisse"
"syscebnl_group_58","58",,"Internal transfers","Virements internes"
"syscebnl_group_59","59",,"Depreciation and provisions for short-term liabilities and charges","Dépréciations et provisions pour risques et charges à court terme"
"syscebnl_group_6","6",,"Expense accounts for ordinary activities","Comptes de charges des activités ordinaires"
"syscebnl_group_60","60",,"Purchases and changes in inventories","Achats et variations de stocks"
"syscebnl_group_61","61",,"Transport","Transports"
"syscebnl_group_62","62",,"External services","Services extérieurs"
"syscebnl_group_63","63",,"Other external services","Autres services extérieurs"
"syscebnl_group_64","64",,"Taxes and duties","Impôts et taxes"
"syscebnl_group_65","65",,"Other expenses","Autres charges"
"syscebnl_group_66","66",,"Personnel expenses","Charges de personnel"
"syscebnl_group_67","67",,"Financial expenses and similar charges","Frais financiers et charges assimilées"
"syscebnl_group_68","68",,"Depreciation and amortization","Dotations aux amortissements"
"syscebnl_group_69","69",,"Provisions and impairment losses","Dotations aux provisions et aux dépréciations"
"syscebnl_group_7","7",,"Income from ordinary activities","Comptes de produits des activites ordinaires"
"syscebnl_group_70","70",,"Income","Revenus"
"syscebnl_group_71","71",,"Operating subsidies","Subventions d'exploitation"
"syscebnl_group_72","72",,"Capitalized production","Production immobilisée"
"syscebnl_group_73","73",,"Changes in inventories of goods produced","Variations des stocks de biens produits"
"syscebnl_group_75","75",,"Other income","Autres produits"
"syscebnl_group_77","77",,"Financial income and similar","Revenus financiers et produits assimilés"
"syscebnl_group_78","78",,"Expense transfers","Transferts de charges"
"syscebnl_group_79","79",,"Reversals of provisions, impairment and other items","Reprises de provisions, de dépréciations et autres"
"syscebnl_group_8","8",,"Other expenses and other income","Comptes des autres charges et des autres produits"
"syscebnl_group_81","81",,"Book value of fixed asset disposals","Valeurs comptables des cessions d'immobilisations"
"syscebnl_group_82","82",,"Income from fixed asset disposals","Produits des cessions d'immobilisations"
"syscebnl_group_83","83",,"Non-operating expenses","Charges hors activités ordinaires"
"syscebnl_group_84","84",,"Income from ordinary activities","Revenus hors activités ordinaires"
"syscebnl_group_85","85",,"Non-operating allocations","Dotations hors activités ordinaires"
"syscebnl_group_86","86",,"Reversals of depreciation, amortization and provisions H.A.O.","Reprises d'amortissements, provisions et dépréciations H.A.O."
"syscebnl_group_87","87",,"Changes in inventories of gifts in kind H.A.O.","Variations de stocks de dons en nature H.A.O."
"syscebnl_group_88","88",,"Balancing subsidies","Subventions d'équilibre"
"syscebnl_group_9","9",,"Voluntary contributions in kind","Contributions volontaires en nature"
"syscebnl_group_90","90",,"Use of voluntary contributions in kind","Emplois des contributions volontaires en nature"
"syscebnl_group_91","91",,"Voluntary contributions in kind","Contributions volontaires en nature"
"syscebnl_group_92","92",,"Reflected accounts","Comptes réfléchis"
"syscebnl_group_93","93",,"Reclassification accounts","Comptes de reclassements"
"syscebnl_group_94","94",,"Cost accounts","Comptes de coûts"
"syscebnl_group_95","95",,"Inventory accounts","Comptes de stocks"
"syscebnl_group_96","96",,"Scheduled cost variance accounts","Comptes d'écarts sur coûts préétablis"
"syscebnl_group_97","97",,"Differences in accounting treatment","Comptes de différences de traitement comptable"
"syscebnl_group_98","98",,"Profit and loss accounts","Comptes de résultats"
"syscebnl_group_99","99",,"Internal linkage accounts","Comptes de liaisons internes"
