id,name,sector,description
"KPD011111","01.11.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Tvrda pšenica"
"KPD011112","01.11.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Pšenica, osim tvrde"
"KPD011120","01.11.20","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kukuruz"
"KPD011131","01.11.31","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ječam"
"KPD011132","01.11.32","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Raž"
"KPD011133","01.11.33","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Zob"
"KPD011141","01.11.41","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sirak"
"KPD011142","01.11.42","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Proso"
"KPD011143","01.11.43","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Tritikale (pšenoraž)"
"KPD011149","01.11.49","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostale žitarice, d. n."
"KPD011150","01.11.50","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Slama i pljeva od žitarica"
"KPD011161","01.11.61","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Grah, svježi, neoljušten"
"KPD011162","01.11.62","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Grašak, svježi, neoljušten"
"KPD011169","01.11.69","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Mahunasto povrće, svježe, neoljušteno, d. n."
"KPD011171","01.11.71","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Grah, suhi"
"KPD011172","01.11.72","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Bob, suhi"
"KPD011173","01.11.73","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Slanutak, suhi"
"KPD011174","01.11.74","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Leća, suha"
"KPD011175","01.11.75","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Grašak, suhi"
"KPD011176","01.11.76","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Mletački grah (crnookica)"
"KPD011177","01.11.77","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Golublji grašak (kajan), suhi"
"KPD011179","01.11.79","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Mahunasto povrće, suho, d. n."
"KPD011181","01.11.81","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Soja"
"KPD011182","01.11.82","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kikiriki, neoljušten"
"KPD011191","01.11.91","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Laneno sjeme"
"KPD011192","01.11.92","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjeme gorušice"
"KPD011193","01.11.93","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjeme uljane repice"
"KPD011194","01.11.94","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjeme sezama"
"KPD011195","01.11.95","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjeme suncokreta"
"KPD011196","01.11.96","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Sjeme ricinusa"
"KPD011199","01.11.99","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Ostalo uljano sjemenje, d. n."
"KPD011200","01.12.00","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Riža, neočišćena"
"KPD011311","01.13.11","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Šparoge"
"KPD011312","01.13.12","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Kupus"
"KPD011313","01.13.13","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Cvjetača i brokula"
"KPD011314","01.13.14","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Salata"
"KPD011315","01.13.15","[A] PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","Radič"
