"id","code","name","account_type","reconcile"
"l10n_et1100","1100","Sales of Goods and Services","income",""
"l10n_et120001","120001","Cash Discount Gain","income_other",""
"l10n_et2102","2102","Cash at bank in foreigh currency","asset_current",""
"l10n_et2104","2104","Letter of Credit restricted account","asset_current",""
"l10n_et2201","2201","Suspense","asset_receivable","True"
"l10n_et2202","2202","Cash shortage","asset_receivable","True"
"l10n_et2203","2203","Advance to staff","asset_receivable","True"
"l10n_et2204","2204","Cash Registers","asset_receivable","True"
"l10n_et2211","2211","Trade Debtors","asset_receivable","True"
"l10n_et2212","2212","VAT Receivable on Purchases","liability_current",""
"l10n_et2213","2213","Withholding Receivable on Sales","liability_current",""
"l10n_et2214","2214","VAT Withholding Receivable on Sales","liability_current",""
"l10n_et2215","2215","Trade Debtors (PoS)","asset_receivable","True"
"l10n_et2251","2251","Advance to contractors","asset_current",""
"l10n_et2252","2252","Advance to consultant","asset_current",""
"l10n_et2253","2253","Advance to supplier","asset_current",""
"l10n_et2274","2254","Other Debtors","asset_current",""
"l10n_et2301","2301","Goods in Transit","asset_current",""
"l10n_et2351","2351","Stock","asset_current",""
"l10n_et2411","2411","Work in Progress","asset_current",""
"l10n_et2412","2412","Finished Goods","asset_current",""
"l10n_et2501","2501","Construction of buildings","asset_fixed",""
"l10n_et2503","2503","Construction of infrastructure","asset_fixed",""
"l10n_et2521","2521","Vehicles and other vehicular transport","asset_fixed",""
"l10n_et2522","2522","Aircraft, etc","asset_fixed",""
"l10n_et2523","2523","Plant machinery and equipment","asset_fixed",""
"l10n_et2525","2525","Buildings","asset_fixed",""
"l10n_et2527","2527","Infrastructure","asset_fixed",""
"l10n_et2529","2529","Furnishings and fixtures","asset_fixed",""
"l10n_et2530","2530","Livestock and tansport animals","asset_fixed",""
"l10n_et3001","3001","Grace period payables","liability_payable","True"
"l10n_et3002","3002","Trade Creditors","liability_payable","True"
"l10n_et3003","3003","Pension contribution payable","liability_payable","True"
"l10n_et3004","3004","Salary payable","liability_payable","True"
"l10n_et3006","3006","Witholding Payable","asset_current",""
"l10n_et3007","3007","VAT Payable","asset_current",""
"l10n_et3008","3008","Federal Income Tax","asset_current",""
"l10n_et3054","3054","Other deposits","liability_current",""
"l10n_et3061","3061","Retention on contract","liability_current",""
"l10n_et3103","3103","Commercial Loan","liability_current",""
"l10n_et3153","3153","Commercial Loan","liability_current",""
"l10n_et4001","4010","Share capital / equity","equity",""
"l10n_et4004","4020","Reserves","equity",""
"l10n_et5111","5111","Cost of Goods and Services","expense",""
"l10n_et5901","5901","Inventory Adjustments","expense",""
"l10n_et5911","5911","Purchase Returns and Allowances","expense",""
"l10n_et5921","5921","Other","expense",""
"l10n_et6111","6111","Salaries to permanent staff","expense",""
"l10n_et6113","6113","Wages to contract staff","expense",""
"l10n_et6114","6114","Wages to casual staff","expense",""
"l10n_et6115","6115","Wages to external contract staff","expense",""
"l10n_et6116","6116","Miscellaneous payments to staff","expense",""
