"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","price_include_override"
"id_tax03","15%","VAT 15% rated sales","tax03","15.0","percent","sale","tax_group_vat_15","base","invoice","-Taxable Sales VAT Rated 15%","",""
"","","","","","","","","tax","invoice","-Sales VAT Rated 15%","l10n_et3007",""
"","","","","","","","","base","refund","+Taxable Sales VAT Rated 15%","",""
"","","","","","","","","tax","refund","+Sales VAT Rated 15%","l10n_et3007",""
"id_tax04","0%","VAT 0% rated sales","tax04","0.0","percent","sale","tax_group_vat_0","base","invoice","-Taxable Sales VAT Rated 0%","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","+Taxable Sales VAT Rated 0%","",""
"","","","","","","","","tax","refund","","",""
"id_tax06","0% EXEMPT","VAT Exempt rated sales","tax06","0.0","percent","sale","tax_group_vat_0","base","invoice","+Taxable Sales VAT Exempt","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-Taxable Sales VAT Exempt","",""
"","","","","","","","","tax","refund","","",""
"id_tax11","0% Out","VAT Out of Scope rated sales","tax11","0.0","percent","sale","tax_group_vat_0","base","invoice","+Taxable Sales VAT Out of Scope (Sales)","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-Taxable Sales VAT Out of Scope (Sales)","",""
"","","","","","","","","tax","refund","","",""
"id_tax02","2% WH","Withholding 2% rated sales","tax02","-2.0","percent","sale","tax_group_withh_2","base","invoice","-Taxable 2% Withholding on Sales","","tax_excluded"
"","","","","","","","","tax","invoice","-2% Withheld on Sales","l10n_et3006",""
"","","","","","","","","base","refund","+Taxable 2% Withholding on Sales","",""
"","","","","","","","","tax","refund","+2% Withheld on Sales","l10n_et3006",""
"id_tax13","35% WH","Withholding 35% rated sales","tax13","-35.0","percent","sale","tax_group_withh_35","base","invoice","+Taxable 35% Withholding on Sales","","tax_excluded"
"","","","","","","","","tax","invoice","+35% Withheld on Sales","l10n_et3006",""
"","","","","","","","","base","refund","-Taxable 35% Withholding on Sales","",""
"","","","","","","","","tax","refund","-35% Withheld on Sales","l10n_et3006",""
"id_tax14","15% WH","Withholding VAT 15% rated sales","tax14","-15.0","percent","sale","tax_group_withh_15","base","invoice","+Taxable VAT Withholding on Sales","","tax_excluded"
"","","","","","","","","tax","invoice","+VAT Withheld on Sales","l10n_et3006",""
"","","","","","","","","base","refund","-Taxable VAT Withholding on Sales","",""
"","","","","","","","","tax","refund","-VAT Withheld on Sales","l10n_et3006",""
"id_tax08","15%","VAT 15% rated purchases","tax08","15.0","percent","purchase","tax_group_vat_15","base","invoice","+Taxable Purchase VAT Rated 15%","",""
"","","","","","","","","tax","invoice","+Purchase VAT Rated 15%","l10n_et2212",""
"","","","","","","","","base","refund","-Taxable Purchase VAT Rated 15%","",""
"","","","","","","","","tax","refund","-Purchase VAT Rated 15%","l10n_et2212",""
"id_tax07","0%","VAT 0% rated purchases","tax07","0.0","percent","purchase","tax_group_vat_0","base","invoice","+Taxable Purchase VAT Rated 0%","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-Taxable Purchase VAT Rated 0%","",""
"","","","","","","","","tax","refund","","",""
"id_tax10","0% EXEMPT","VAT Exempt rated purchases","tax10","0.0","percent","purchase","tax_group_vat_0","base","invoice","+Taxable Purchase VAT Exempt","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-Taxable Purchase VAT Exempt","",""
"","","","","","","","","tax","refund","","",""
"id_tax09","0% Out","VAT Out of Scope rated purchases","tax09","0.0","percent","purchase","tax_group_vat_0","base","invoice","+Taxable Purchase VAT Out of Scope","",""
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","-Taxable Purchase VAT Out of Scope","",""
"","","","","","","","","tax","refund","","",""
"id_tax05","2% WH","Withholding 2% rated purchases","tax05","-2.0","percent","purchase","tax_group_withh_2","base","invoice","+Taxable 2% Withholding on Purchases","",""
"","","","","","","","","tax","invoice","+2% Withholding on Purchases","l10n_et2213",""
"","","","","","","","","base","refund","-Taxable 2% Withholding on Purchases","",""
"","","","","","","","","tax","refund","-2% Withholding on Purchases","l10n_et2213",""
"id_tax12","35% WH","Withholding 35% rated purchases","tax12","-35.0","percent","purchase","tax_group_withh_35","base","invoice","+Taxable 35% Withholding on Purchases","",""
"","","","","","","","","tax","invoice","+35% Withholding on Purchases","l10n_et2213",""
"","","","","","","","","base","refund","-Taxable 35% Withholding on Purchases","",""
"","","","","","","","","tax","refund","-35% Withholding on Purchases","l10n_et2213",""
