"id","name","description","invoice_label","l10n_pe_edi_tax_code","l10n_pe_edi_unece_category","amount","amount_type","children_tax_ids","type_tax_use","sequence","include_base_amount","tax_group_id","price_include","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@es"
"sale_tax_igv_18","18%","","IGV 18%","1000","S","18.0","percent","","sale","1","1","tax_group_igv","","base","invoice","","","18%"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
"sale_tax_igv_18_included","18% TTC","","IGV 18%","1000","S","18.0","percent","","sale","1","1","tax_group_igv","True","base","invoice","","","18% (Incluido en precio)"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
"sale_tax_exo","0% Exo","","EXO 0%","9997","E","0.0","percent","","sale","1","","tax_group_exo","","base","invoice","","","0% Exonerado"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
"sale_tax_ina","0% Una","","INA 0%","9998","Z","0.0","percent","","sale","1","","tax_group_ina","","base","invoice","","","0% Inafectado"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
"sale_tax_gra","0%","","GRA 0%","9996","E","0.0","percent","","sale","1","","tax_group_gra","","base","invoice","","","0% Gratis"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
"sale_tax_ics_0","0% ISC","","ISC 0%","2000","S","0.0","percent","","sale","1","1","tax_group_isc","","base","invoice","","100",""
"","","","","","","","","","","","","","","tax","invoice","chart4012","100",""
"","","","","","","","","","","","","","","base","refund","","100",""
"","","","","","","","","","","","","","","tax","refund","chart4012","100",""
"purchase_tax_igv_18","18%","","IGV 18%","1000","S","18.0","percent","","purchase","1","1","tax_group_igv","","base","invoice","","","18%"
"","","","","","","","","","","","","","","tax","invoice","chart40111","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","chart40111","",""
