"id","note","code","name","reconcile","user_type_id:id","chart_template_id:id"
"ru_acc_000","    Счет 000 является специальным счетом плана счетов и предназначен для ввода начальных остатков при начале работы с системой. Остатки по каждому счету вводятся операциями, содержащими проводки в корреспонденции со счетом 000. Дебетовые остатки счета вводятся по дебету данного счета и кредиту счета 000. Кредитовые остатки счета вводятся по кредиту данного счета и дебету счета 000. Остатки по счетам, для которых в плане счетов задано ведение аналитического учета, вводятся с указанием субконто.  После ввода входящих остатков необходимо проверить их правильность. Для этого необходимо получить отчет ""Оборотно-сальдовая ведомость"" за период, включающий дату ввода остатков. Если остатки введены правильно, дебетовый оборот счета 000 будет равен кредитовому обороту.","000","Вспомогательный счет","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_001","    Счет 001 ""Арендованные основные средства"" предназначен для обобщения информации о наличии и движении основных средств, арендованных организацией.     Аналитический учет ведется по арендодателям (субконто ""Контрагенты"") и по каждому объекту арендованных основных средств (субконто ""Основные средства""). Каждое арендованное основное средство - элемент справочника ""Основные средства"". Каждый арендодатель - элемент справочника ""Контрагенты"".","001","Арендованные основные средства","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_002","    Счет 002 ""Товарно-материальные ценности, принятые на ответственное хранение"" предназначен для обобщения информации о наличии и движении товарно-материальных ценностей, принятых на ответственное хранение.    Аналитический учет по счету ведется по покупателям и поставщикам товарно-материальных ценностей (субконто ""Контрагенты"") и по отдельным наименованиям товарно-материальных ценностей (субконто ""Номенклатура"").","002","Товарно-материальные ценности, принятые на ответственное хранение","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_003","    Счет 003 ""Материалы, принятые в переработку"" предназначен для обобщения информации о наличии и движении сырья и материалов заказчика, принятых в переработку (давальческое сырье), не оплачиваемых организацией-изготовителем. Учет затрат по переработке или доработке сырья и материалов ведется на счетах учета затрат на производство, отражающих связанные с этим затраты (за исключением стоимости сырья и материалов заказчика). Сырье и материалы заказчика, принятые в переработку, учитываются на счете 003 ""Материалы, принятые в переработку"" по ценам, предусмотренным в договорах.     Аналитический учет ведется по заказчикам (субконто ""Контрагенты""), видам, сортам сырья и материалов (субконто ""Номенклатура""). Каждый заказчик - элемент справочника ""Контрагенты"". Каждый вид, сорт - элемент справочника ""Номенклатура"". ","003","Материалы, принятые в переработку","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_003_01","    Субсчет 003.01 ""Материалы на складе"" предназначен для обобщения информации о наличии и движении сырья и материалов заказчика, поступивших на переработку (давальческое сырье).      Аналитический учет ведется по заказчикам (субконто ""Контрагенты""), видам, сортам сырья и материалов (субконто ""Номенклатура"") и местам их нахождения (субконто ""Склады""). Каждый заказчик - элемент справочника ""Контрагенты"". Каждый вид, сорт - элемент справочника ""Номенклатура"". Каждое место хранения - элемент справочника ""Склады (места хранения)"".     Для ведения аналитического учета по субконто ""Склады"" следует выполнить соответствующие настройки параметров учета (меню ""Предприятие"" - ""Настройка параметров учета"" - ""Запасы"").","003.01","Материалы на складе","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_003_02","    Субсчет 003.02 ""Материалы, переданные в производство"" предназначен для обобщения информации о наличии и движении сырья и материалов заказчика, переданных в производство для переработки (давальческое сырье).      Аналитический учет ведется по заказчикам (субконто ""Контрагенты""), видам, сортам сырья и материалов (субконто ""Номенклатура""). Каждый заказчик - элемент справочника ""Контрагенты"". Каждый вид, сорт - элемент справочника ""Номенклатура"". ","003.02","Материалы, переданные в производство","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_004","    Счет 004 ""Товары, принятые на комиссию"" предназначен для обобщения информации о наличии и движении товаров, принятых на комиссию в соответствии с договором. Этот счет используется организациями-комиссионерами.     Аналитический учет по счету ведется по партиям (субконто ""Партии"") и видам товаров (субконто ""Номенклатура""). Каждый вид товара - элемент справочника ""Номенклатура"". ","004","Товары, принятые на комиссию","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_004_01","    Субсчет 004.01 ""Товары на складе"" предназначен для обобщения информации о наличии и движении товаров, принятых на комиссию в соответствии с договором.    Аналитический учет ведется по партиям (субконто ""Партии""), видам товаров (субконто ""Номенклатура"") и местам их хранения (субконто ""Склады""). Каждый вид товара - элемент справочника ""Номенклатура"". Каждое место хранения - элемент справочника ""Склады (места хранения)"".     Для ведения аналитического учета по субконто ""Склады"" следует выполнить соответствующие настройки параметров учета (меню ""Предприятие"" - ""Настройка параметров учета"" - ""Запасы"").","004.01","Товары на складе","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_004_02","    Субсчет 004.02 ""Товары, переданные на комиссию"" предназначен для обобщения информации о наличии и движении товаров, принятых на комиссию и переданных для реализации комиссионеру.      Аналитический учет ведется по партиям (субконто ""Партии""), комиссионерам (субконто ""Контрагенты"") и видам товаров (субконто ""Номенклатура""). Каждый вид товара - элемент справочника ""Номенклатура"". Каждый комиссионер - элемент справочника ""Контрагенты"".","004.02","Товары, переданные на комиссию","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_004_K","    На субсчете 004.K "" Корректировка комиссионных товаров прошлого периода"" учитывается результат корректировки остатков товаров на комиссии, которая была произведена после завершения отчетного периода.     Корректировка товарных остатков и (или) их стоимости учитывается на счете с даты операции, которая подлежит корректировке, по дату корректирующей операции.     Аналитический учет ведется по партиям (субконто ""Партии""), видам товаров (субконто ""Номенклатура"") и местам их хранения (субконто ""Склады""). Каждый вид товара - элемент справочника ""Номенклатура"". Каждое место хранения - элемент справочника ""Склады (места хранения)"".     Для ведения аналитического учета по субконто ""Склады"" следует выполнить соответствующие настройки параметров учета (меню ""Предприятие"" - ""Настройка параметров учета"" - ""Запасы"").","004.K","Корректировка комиссионных товаров прошлого периода","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_005","    Счет 005 ""Оборудование, принятое для монтажа"" предназначен для обобщения информации о наличии и движении всех видов оборудования, полученного организацией от заказчика для монтажа. Этот счет используется организациями-подрядчиками.     Оборудование учитывается на счете 005 ""Оборудование, принятое для монтажа"" в ценах, указанных заказчиком в сопроводительных документах.     Аналитический учет ведется по заказчикам (субконто ""Контрагенты"") и отдельным объектам или агрегатам (субконто ""Номенклатура""). Каждый заказчик - элемент справочника ""Контрагенты"". Каждый объект или агрегат - элемент справочника ""Номенклатура"".","005","Оборудование, принятое для монтажа","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_006","    Счет 006 ""Бланки строгой отчетности"" предназначен для обобщения информации о наличии и движении находящихся на хранении и выдаваемых под отчет бланков строгой отчетности - квитанционные книжки, бланки удостоверений, дипломов, различные абонементы, талоны, билеты, бланки товарно-сопроводительных документов и т.п.     Бланки строгой отчетности учитываются на счете 006 ""Бланки строгой отчетности"" в условной оценке.     Аналитический учет ведется по каждому виду бланков строгой отчетности (субконто ""Бланки строгой отчетности"") и местам их хранения (субконто ""Склады""). Каждый вид бланка - элемент справочника ""Бланки строгой отчетности"". Каждое место хранения - элемент справочника ""Склады (места хранения)"".","006","Бланки строгой отчетности","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_007","    Счет 007 ""Списанная в убыток задолженность неплатежеспособных дебиторов"" предназначен для обобщения информации о состоянии дебиторской задолженности, списанной в убыток вследствие неплатежеспособности должников. Эта задолженность должна учитываться за балансом в течение пяти лет с момента списания для наблюдения за возможностью ее взыскания в случае изменения имущественного положения должников.     Аналитический учет по счету ведется по каждому должнику, чья задолженность списана в убыток (субконто ""Контрагенты""), и каждому списанному в убыток долгу (субконто ""Договоры""). Каждый должник - элемент справочника ""Контрагенты"". Каждое основание долга - элемент справочника ""Договоры контрагентов"".","007","Списанная в убыток задолженность неплатежеспособных дебиторов","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_008","    Счет 008 ""Обеспечения обязательств и платежей полученные"" предназначен для обобщения информации о наличии и движении полученных гарантий в обеспечение выполнения обязательств и платежей, а также обеспечений, полученных под товары, переданные другим организациям (лицам).     В случае если в гарантии не указана сумма, то для бухгалтерского учета она определяется исходя из условий договора.     Аналитический учет по счету  ведется по каждому полученному обеспечению (субконто ""Контрагенты"" и субконто ""Договоры""). Каждый гарант - элемент справочника ""Контрагенты"". Каждая гарантия - элемент справочника ""Договоры контрагентов"".","008","Обеспечения обязательств и платежей полученные","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_009","    Счет 009 ""Обеспечения обязательств и платежей выданные"" предназначен для обобщения информации о наличии и движении выданных гарантий в обеспечение выполнения обязательств и платежей. В случае если в гарантии не указана сумма, то для бухгалтерского учета она определяется исходя из условий договора.     Суммы обеспечений, учтенные на счете 009 ""Обеспечения обязательств и платежей выданные"", списываются по мере погашения задолженности.     Аналитический учет ведется по каждому выданному обеспечению (субконто ""Контрагенты"" и субконто ""Договоры""). Каждый получатель гарантии - элемент справочника ""Контрагенты"". Каждая гарантия - элемент справочника ""Договоры контрагентов"".","009","Обеспечения обязательств и платежей выданные","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_01","    Счет 01 ""Основные средства"" предназначен для обобщения информации о наличии и движении основных средств организации, находящихся в эксплуатации, запасе, на консервации, в аренде, доверительном управлении.     Аналитический учет по счету в целом ведется по отдельным инвентарным объектам основных средств (субконто ""Основные средства""). Каждый инвентарный объект основных средств - элемент справочника ""Основные средства"".","01","Основные средства","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_01_01","    Субсчет 01.01 ""Основные средства в организации"" предназначен для обобщения информации о наличии и движении основных средств организации, находящихся в эксплуатации, запасе, на консервации, в аренде, доверительном управлении до момента их выбытия.     Аналитический учет ведется по отдельным инвентарным объектам основных средств (субконто ""Основные средства""). Каждый инвентарный объект основных средств - элемент справочника ""Основные средства"".","01.01","Основные средства в организации","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
"ru_acc_01_08","    Субсчет 01.08 ""Объекты недвижимости, права собственности на которые не зарегистрированы"" предназначен для обобщения информации о наличии и движении основных средств организации, права собственности на которые не зарегистрированы в установленном законодательством порядке.     Аналитический учет ведется по отдельным инвентарным объектам основных средств (субконто ""Основные средства""). Каждый инвентарный объект основных средств - элемент справочника ""Основные средства"".","01.08","Объекты недвижимости, права собственности на которые не зарегистрированы","True","account.data_account_type_expenses","l10n_ru_account_chart_template"
