"id","name","description","invoice_label","amount","amount_type","type_tax_use","sequence","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"vyc_tuz_21","DPH na výstupu 21%","","21%","21.0","percent","sale","0","tax_group_vat_21","base","invoice","",""
"","","","","","","","","","tax","invoice","chart_cz_343221",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","chart_cz_343221",""
"vyc_tuz_15","DPH na výstupu 15%","","15%","15.0","percent","sale","0","tax_group_vat_15","base","invoice","",""
"","","","","","","","","","tax","invoice","chart_cz_343215",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","chart_cz_343215",""
"vyc_tuz_12","DPH na výstupu 12%","","12%","12.0","percent","sale","0","tax_group_vat_12","base","invoice","",""
"","","","","","","","","","tax","invoice","chart_cz_343212",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","chart_cz_343212",""
"vyc_tuz_0","DPH na výstupu 0%","","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","",""
"","","","","","","","","","tax","invoice","",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","",""
"vsc_tuz_21","DPH na vstupu 21%","","21%","21.0","percent","purchase","0","tax_group_vat_21","base","invoice","",""
"","","","","","","","","","tax","invoice","chart_cz_343121",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","chart_cz_343121",""
"vsc_tuz_15","DPH na vstupu 15%","","15%","15.0","percent","purchase","0","tax_group_vat_15","base","invoice","",""
"","","","","","","","","","tax","invoice","chart_cz_343115",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","chart_cz_343115",""
"vsc_tuz_12","DPH na vstupu 12%","","12%","12.0","percent","purchase","0","tax_group_vat_12","base","invoice","",""
"","","","","","","","","","tax","invoice","chart_cz_343112",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","chart_cz_343112",""
"vyc_dod_eu","Dodání do EU","","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","",""
"","","","","","","","","","tax","invoice","",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","",""
"vsc_nad_eu","Pořízení z EU","","21%","21.0","percent","purchase","","tax_group_vat_21","base","invoice","",""
"","","","","","","","","","tax","invoice","chart_cz_343121",""
"","","","","","","","","","tax","invoice","chart_cz_343221","-100"
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","chart_cz_343121",""
"","","","","","","","","","tax","refund","chart_cz_343221","-100"
