"id",name,reveal_id
"crm_iap_lead_role_1","ceo","ceo"
"crm_iap_lead_role_2","communications","communications"
"crm_iap_lead_role_3","consulting","consulting"
"crm_iap_lead_role_4","customer_service","customer_service"
"crm_iap_lead_role_5","education","education"
"crm_iap_lead_role_6","engineering","engineering"
"crm_iap_lead_role_7","finance","finance"
"crm_iap_lead_role_8","founder","founder"
"crm_iap_lead_role_9","health_professional","health_professional"
"crm_iap_lead_role_10","human_resources","human_resources"
"crm_iap_lead_role_11","information_technology","information_technology"
"crm_iap_lead_role_12","legal","legal"
"crm_iap_lead_role_13","marketing","marketing"
"crm_iap_lead_role_14","operations","operations"
"crm_iap_lead_role_15","owner","owner"
"crm_iap_lead_role_16","president","president"
"crm_iap_lead_role_17","product","product"
"crm_iap_lead_role_18","public_relations","public_relations"
"crm_iap_lead_role_19","real_estate","real_estate"
"crm_iap_lead_role_20","recruiting","recruiting"
"crm_iap_lead_role_21","research","research"
"crm_iap_lead_role_22","sale","sale"
