"id","parent_id","active","name","account_type","description","reconcile","non_trade","depreciation_model_id"
"us_group_61","","False","Payroll Expenses","expense","","","",""
"us_group_62","","False","Professional Fees","expense","","","",""
"us_group_64","","False","Utilities","expense","","","",""
"us_group_650","","False","Bank Service Charges","expense","","","",""
"us_group_651","","False","Office Expenses","expense","","","",""
"us_group_655","","False","Insurance Expenses","expense","","","",""
"us_group_661","","False","Travel Expenses","expense","","","",""
"us_group_665","","False","Automobile Expenses","expense","","","",""
"us_group_67","","False","Marketing Expenses","expense","","","",""
"us_group_8","","False","Taxes","expense_other","","","",""
"account_account_us_current_assets","","True","Current Assets","asset_current","","False","False",""
"account_account_us_pos_receivable","","True","Accounts Receivable (PoS)","asset_receivable","","True","False",""
"account_account_us_inventory_valuation","","True","Inventory Valuation","asset_current","","False","False",""
"account_account_us_cost_of_production","","True","Cost of Production","asset_current","","True","False",""
"account_account_us_wip","","True","Work in Progress","asset_current","","True","False",""
"account_account_us_receivable","","True","Accounts Receivable","asset_receivable","","True","False",""
"account_account_us_to_receive_rec","","True","Products to receive","asset_current","","True","False",""
"account_account_us_owner_current_account","","True","Owner's Current Account","asset_receivable","","True","True",""
"account_account_us_prepaid_expenses","","True","Prepaid Expenses","asset_current","","False","False",""
"account_account_us_tax_paid","","True","Tax Paid","asset_current","","False","False",""
"account_account_us_tax_receivable","","True","Tax Receivable","asset_receivable","","True","True",""
"account_account_us_prepayments","","True","Prepayments","asset_prepayments","","False","False",""
"account_account_us_acc_depreciation","","True","Accumulated Depreciation","asset_fixed","","False","False",""
"account_account_us_technology","","True","Technology","asset_fixed","Technological products like laptops, desktops, servers, etc.","False","False","asset_36_months_linear"
"account_account_us_land","","True","Land (not built)","asset_fixed","Purchases of land without buildings","False","False",""
"account_account_us_buildings","","True","Buildings","asset_fixed","Construction of buildings and costs associated to buildings","False","False","asset_468_months_linear"
"account_account_us_improvements","","True","Improvements","asset_fixed","Purchases of installations related to buildings, like solar panels or HVAC","False","False","asset_180_months_linear"
"account_account_us_machines","","True","Machines & Tools","asset_fixed","Equipment, machinery and tools directly related to your business","False","False","asset_60_months_linear"
"account_account_us_other_property","","True","Other property","asset_fixed","Other type of property, like plants, machinery or various equipment","False","False","asset_84_months_linear"
"account_account_us_furniture","","True","Furniture & Fixtures","asset_fixed","Office desks, chairs, shelving, etc","False","False","asset_84_months_linear"
"account_account_us_vehicles","","True","Vehicles","asset_fixed","Purchase of a car or truck, including second hand or after-lease contract","False","False","asset_60_months_linear"
"account_account_us_depreciation_technology","","True","Accumulated Amortization - Technology","asset_fixed","Cumulative amortization recorded for capitalized technology assets.","False","False",""
